RegionName,Median Price 2009,Inflated Median Price 2009,Median Price 2019,Percent Change,Outcome
91746,251800.0,300070.06,489850.0,0.6324521013525974,0
91748,391300.0,466312.21,628550.0,0.3479166672474649,0
91754,402750.0,479957.175,662800.0,0.38095654054968553,0
91761,230100.0,274210.17,442450.0,0.6135433634718946,0
91763,211050.0,251508.285,424450.0,0.6876183621545509,0
91767,191750.0,228508.475,429950.0,0.8815494698829004,1
91768,184650.0,220047.405,424000.0,0.926857533266525,1
91773,386650.0,460770.805,594950.0,0.2912059391436487,0
91780,507500.0,604787.75,741650.0,0.22629798635967743,0
91784,431550.0,514278.135,656250.0,0.2760604726078817,0
91786,265400.0,316277.18,472150.0,0.4928361255782033,0
91789,548600.0,653766.62,742400.0,0.1355734252690968,0
91790,340300.0,405535.51,557800.0,0.3754652459411014,0
91791,380650.0,453620.605,624900.0,0.3775829252729823,0
91792,314650.0,374968.40499999997,533600.0,0.42305323031149794,0
91801,428000.0,510047.6,642500.0,0.2596863508425489,0
91901,423550.0,504744.535,621850.0,0.23200937678304934,0
91902,375700.0,447721.69,649650.0,0.45101301659073073,0
91910,257050.0,306326.485,513600.0,0.6766424881609568,0
91913,324650.0,386885.40499999997,518600.0,0.340448601311285,0
91914,433600.0,516721.12,694350.0,0.3437616020030302,0
91915,316650.0,377351.805,518350.0,0.3736518366461769,0
91941,382900.0,456301.93,636100.0,0.39403311311876327,0
91945,221300.0,263723.21,470750.0,0.7850154334159666,0
91977,212650.0,253415.005,464900.0,0.8345401449294606,1
92010,455600.0,542938.52,719800.0,0.32574863172353286,0
92011,595750.0,709955.275,873700.0,0.23064090199203038,0
92021,235750.0,280943.275,486350.0,0.7311323789473159,0
92024,582600.0,694284.42,1121900.0,0.6159083621666175,0
92028,314050.0,374253.385,542850.0,0.45048788269476836,0
92040,259800.0,309603.66,506650.0,0.6364470626736133,0
92056,291300.0,347142.21,531000.0,0.529632481166724,0
92057,224400.0,267417.48,464850.0,0.7382932484443426,0
92064,424550.0,505936.235,728800.0,0.44049773386956564,0
92065,314950.0,375325.915,527900.0,0.40651092531140576,0
92069,292900.0,349048.93,561450.0,0.6085137404661289,0
92078,408300.0,486571.11,651650.0,0.3392698140257444,0
