OBJECTID,zipcode,Rank,Neighborho,IRS_Ratio,HH_Size,Per_White,Per_Colleg,Rent,Index_Scor,IRS_Rati_1,IRS_Rati_2,HH_Incom_2,HH_Size_20,HH_Size_21,Percent_Wh,Percent__1,College_Pe,College__1,Gross_Rent,Gross_Re_1,MedInc4,HHChangAdj,Population,Populati_1,Populati_2,Evaluated
118,90212,0,Mostly not LA (Beverly Hills),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11347,12415,9.4,No
119,90232,0,Mostly not LA (Culver City w/ some Palms),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15175,15353,1.2,No
120,90245,0,Mostly not LA (El Segundo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16033,16839,5,No
121,90262,0,Mostly not LA (Lynwood),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69830,70650,1.2,No
122,90265,0,Mostly not LA (Malibu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19614,17660,-10,No
123,90275,0,Mostly not LA (Rancho Palos Verdes),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41261,42420,2.8,No
124,90280,0,Mostly not LA (South Gate),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96260,95515,-0.8,No
125,90301,0,Mostly not LA (Inglewood),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37507,36714,-2.1,No
126,90302,0,Mostly not LA (Inglewood),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30770,30219,-1.8,No
127,90304,0,Mostly not LA (Lennox),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28679,26936,-6.1,No
128,90305,0,Mostly not LA (Inglewood),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13763,15501,12.6,No
129,90403,0,Mostly not LA (Santa Monica),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23556,25116,6.6,No
130,90404,0,Mostly not LA (Santa Monica),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19956,21641,8.4,No
131,90405,0,Mostly not LA (Santa Monica),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26089,28535,9.4,No
132,90504,0,Mostly not LA (Torrance),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31664,32777,3.5,No
133,90717,0,Mostly not LA (Lomita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21060,21612,2.6,No
134,90745,0,Mostly not LA (Carson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55473,57727,4.1,No
135,90802,0,Mostly not LA (Long Beach),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38419,38816,1,No
136,90810,0,Mostly not LA (Carson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35637,36736,3.1,No
137,90813,0,Mostly not LA (Long Beach),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63129,60017,-4.9,No
138,91030,0,Mostly not LA (South Pasadena),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23975,25914,8.1,No
139,91105,0,Mostly not LA (Pasadena),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10245,11373,11,No
140,91201,0,Mostly not LA (Burbank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23978,22985,-4.1,No
141,91202,0,Mostly not LA (Glendale),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21971,23007,4.7,No
142,91204,0,Mostly not LA (Glendale),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16997,16292,-4.1,No
143,91205,0,"Mostly not LA (Glendale, with some Glassell Park)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41381,38138,-7.8,No
144,91206,0,Mostly not LA (Glendale),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31284,33706,7.7,No
145,91214,0,Mostly not LA (LA Crescenta),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29101,31078,6.8,No
146,91302,0,Mostly not LA (Calabasas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23644,25165,6.4,No
147,91321,0,Mostly not LA (Santa Clarita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30727,34576,12.5,No
148,91330,0,Cal State Northridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708,0,No
149,91340,0,"Mostly not LA (San Fernando, with some Pacoima)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33373,35455,6.2,No
150,91505,0,Mostly not LA (Burbank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29235,31133,6.5,No
151,91506,0,Mostly not LA (Burbank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18530,18428,-0.6,No
152,91522,0,Mostly not LA (Burbank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
153,91608,0,Mostly not LA (Universal City),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
154,91801,0,Mostly not LA (Alhambra),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54381,53792,-1.1,No
155,91803,0,Mostly not LA (Alhambra),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30629,30586,-0.1,No
