 ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autopartssupplies,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cannabis_clinics,cannabisdispensaries,carshares,cocktailbars,coffee,coffeeroasteries,cyclingclasses,divebars,dog_parks,doulas,empanadas,foodbanks,galleries,hairstylists,healthmarkets,homelessshelters,intlgrocery,juicebars,kombucha,mexican,movietheaters,musicvenues,organic_stores,paintandsip,pawn,pets,pubs,skate_parks,tattoo,thrift_stores
97210,42759.00,58780.71,71949.00,0.22,N,0,0,5,0,0,2,2,0,0,0,1,3,0,0,2,24,0,0,0,1,0,1,9,0,0,0,0,1,0,8,0,0,0,1,0,1,0,0,2,0,0,0,4,3
97211,40582.00,55787.99,62938.00,0.13,N,0,1,12,1,0,2,5,0,9,0,5,5,0,0,2,24,0,0,2,0,1,1,8,0,0,0,0,3,0,17,0,6,0,0,0,5,0,0,1,0,7,1,5,2
97212,53679.00,73792.41,84100.00,0.14,N,0,0,5,0,0,3,0,6,5,0,0,4,0,0,0,10,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,3,0,1,0,3,0,0,2,0,2,1,4,1
97213,44395.00,61029.72,58176.00,-0.05,N,0,0,5,0,0,4,5,0,8,1,2,4,2,0,0,19,1,0,2,1,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,8,0,0,5,0,0,1,8,1
97214,35013.00,48132.30,52440.00,0.09,N,1,0,26,0,0,17,8,0,25,4,6,8,3,1,8,46,0,0,10,0,1,0,20,0,4,1,0,6,0,27,1,7,0,0,0,9,0,0,7,0,13,3,22,7
97215,48262.00,66345.68,68016.00,0.03,N,0,0,4,1,0,1,2,0,5,0,4,0,0,0,0,12,0,0,7,0,0,0,2,0,0,0,0,2,0,5,0,0,0,0,0,6,0,0,0,0,0,2,5,1
97216,38066.00,52329.25,44919.00,-0.14,N,0,0,1,0,0,1,9,0,3,0,3,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,1,0
97217,38442.00,52846.14,53704.00,0.02,N,0,0,16,0,0,3,2,1,13,0,4,5,3,0,4,19,0,0,3,1,0,0,3,0,2,0,0,0,1,22,0,4,0,0,1,9,0,0,0,0,6,0,5,4
97218,37011.00,50878.95,48448.00,-0.05,N,0,0,6,0,0,2,3,0,5,0,2,1,0,0,0,10,2,0,0,1,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1
97219,58461.00,80366.22,77598.00,-0.03,N,0,0,3,0,0,2,3,0,4,0,4,7,4,0,0,12,0,0,1,1,1,1,0,1,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,2,0,1,0
