zip,percent_change_house,percent_change_income,percent_change_rent,index_change,percent_change_public_tranp,percent_change_population,percent_change_white,outcome
95066,0.42904582700000005,0.47,0.467,0.35,-0.166666667,0.037000000000000005,-0.033,0
90746,0.847672065,0.26,0.857,0.66,-0.028571429,0.046,0.28800000000000003,0
91945,0.7852389590000001,0.31,0.622,-0.1,-0.258064516,0.043,-0.013000000000000001,0
94530,1.0085470090000002,0.54,0.613,0.25,0.155339806,0.051,-0.019,0
96143,0.692549372,0.05,0.43200000000000005,0.41,-0.556701031,-0.19699999999999998,0.21600000000000003,1
93041,0.733978235,0.26,0.84,0.16,1.0,-0.063,0.203,0
94709,0.7987711209999999,0.53,0.7659999999999999,0.22,-0.020725389,0.18600000000000003,-0.084,0
95695,0.7582417579999999,0.21,0.41600000000000004,0.46,0.636363636,0.006999999999999999,0.075,0
90745,0.8474957790000001,0.42,0.826,0.72,0.074074074,0.040999999999999995,0.138,0
93003,0.753552578,0.28,0.649,0.4,0.5555555560000001,0.09699999999999999,0.004,0
90230,0.911149228,0.44,0.8029999999999999,0.72,0.18918918899999998,0.036000000000000004,0.134,0
95482,0.7407181979999999,0.27,0.603,0.37,-0.333333333,0.07,0.027999999999999997,0
92882,0.757418011,0.28,0.621,0.36,0.5555555560000001,0.16399999999999998,0.177,0
91354,0.734958111,0.31,0.546,0.27,0.125,0.627,-0.16,0
92124,0.878831076,0.36,0.731,0.1,0.0,0.0,0.017,0
94122,0.944878049,0.42,0.6,0.54,0.016949153,0.055,-0.095,0
92377,0.724808895,0.38,0.647,0.08,-0.7826086959999999,0.068,0.21100000000000002,1
90232,1.32705206,0.55,0.78,0.69,-0.5671641789999999,0.012,0.264,1
96025,0.7632469,0.39,0.748,0.68,0.305555556,-0.18899999999999997,-0.019,0
91601,1.168015231,0.49,0.8859999999999999,1.15,0.636363636,0.059000000000000004,0.27399999999999997,0
92307,0.45892116200000005,0.37,0.737,0.25,0.428571429,0.19899999999999998,0.017,0
95827,0.484033613,0.18,0.474,0.3,-0.058823529000000006,0.035,0.064,0
91744,0.97846568,0.24,0.7040000000000001,0.55,-0.333333333,0.025,0.431,0
94547,0.526595745,0.32,0.436,0.39,0.2875,0.096,-0.171,0
94577,0.602774275,0.27,0.462,0.35,-0.043859649,0.094,-0.16899999999999998,0
93513,0.632307692,0.38,0.696,0.8,7.666666667,-0.128,-0.018000000000000002,0
91740,0.9777660140000001,0.27,0.742,0.37,0.24,0.048,0.004,0
90031,1.2748876040000001,0.37,0.747,1.19,-0.108280255,0.024,0.298,0
95033,0.498964088,0.18,0.359,0.37,-0.5,-0.053,-0.015,1
92301,0.156479218,0.1,1.202,0.07,0.666666667,0.722,0.113,1
92250,0.473631841,0.09,0.535,-0.05,0.28571428600000004,0.05,0.198,1
91331,1.005486968,0.31,0.961,0.68,-0.102941176,0.052000000000000005,0.6890000000000001,0
90254,0.921600692,0.29,0.627,0.17,0.2,0.055999999999999994,-0.023,0
94541,0.47207446799999997,0.19,0.428,0.45,0.291666667,0.040999999999999995,-0.004,0
94117,0.22602560800000002,0.62,0.679,0.5,0.042134831,0.10099999999999999,0.022000000000000002,1
90630,0.986050219,0.32,0.748,0.5,-0.083333333,0.032,-0.121,0
95838,0.41375661399999997,0.26,0.544,0.19,-0.085714286,0.03,-0.036000000000000004,0
94509,0.07731434400000001,-0.1,0.541,-0.29,0.627906977,-0.303,-0.133,1
95490,0.665920955,0.11,0.738,0.21,7.5,-0.040999999999999995,0.02,1
95570,0.812469075,0.52,0.386,0.65,2.142857143,-0.114,-0.06,0
93247,0.6728754370000001,0.25,0.5479999999999999,0.41,1.5,0.221,0.682,0
93637,0.511214953,0.33,0.622,0.28,-0.625,0.41,0.368,1
92833,1.2696793,0.32,0.7809999999999999,0.62,0.193548387,0.156,-0.247,0
95630,0.7229020979999999,0.37,0.508,0.55,0.857142857,0.415,-0.098,0
92584,0.6053615960000001,0.43,0.8759999999999999,0.42,0.333333333,2.296,-0.16,0
91932,0.991860465,0.34,0.733,0.36,-0.33846153799999995,-0.015,0.14300000000000002,0
92345,0.47967479700000004,0.02,0.591,0.13,0.571428571,0.183,0.017,1
93710,0.632050134,0.27,0.561,0.07,0.7777777779999999,0.129,-0.036000000000000004,0
92883,0.8618634890000001,0.35,0.9279999999999999,0.47,0.7,1.426,-0.036000000000000004,0
93012,0.775119617,0.34,0.578,0.61,0.666666667,0.419,-0.10300000000000001,0
91205,1.082179132,0.35,0.7609999999999999,0.65,-0.315217391,-0.078,0.314,0
95356,0.467741935,0.4,0.602,0.38,-0.7,0.259,-0.114,1
92019,0.6684125710000001,0.32,0.7809999999999999,0.07,1.111111111,0.08199999999999999,-0.057999999999999996,0
94583,0.540799626,0.28,0.24,0.29,-0.06122449,-0.2,-0.19399999999999998,1
92551,0.497363796,0.02,0.503,-0.15,-0.571428571,0.439,0.19699999999999998,1
93955,0.44077019700000003,0.27,0.8140000000000001,0.68,0.2,-0.10800000000000001,0.22,0
94952,0.640675007,0.32,0.544,0.45,-0.380952381,0.099,-0.063,0
90402,0.0,0.11,0.893,0.29,-0.526315789,0.001,-0.018000000000000002,1
92054,1.15596817,0.39,0.6729999999999999,0.43,-0.03030303,-0.562,0.20199999999999999,0
90026,1.854519091,0.62,0.88,1.46,-0.083743842,-0.077,0.807,0
95017,0.698882682,0.18,0.653,0.86,-0.68,-0.231,0.19699999999999998,1
95501,1.1337359790000001,0.46,0.695,0.6,-0.15789473699999998,0.024,-0.055,0
90275,0.700999643,0.26,0.33399999999999996,0.44,0.3,0.027999999999999997,-0.08199999999999999,0
91914,1.121470193,0.6,0.455,-0.11,-0.176470588,5.507000000000001,-0.11699999999999999,1
91711,1.128763867,0.34,0.7090000000000001,0.27,0.5,0.051,-0.031,0
93204,0.651362984,0.01,0.449,-0.48,1.571428571,-0.01,0.5770000000000001,1
94521,0.594369548,0.32,0.488,0.44,-0.11956521699999999,0.031,-0.065,0
92553,0.572427572,0.11,0.696,-0.11,-0.291666667,0.20600000000000002,0.315,1
92869,0.936546463,0.19,0.657,0.15,0.272727273,-0.013000000000000001,-0.092,0
94924,0.8351809240000001,0.4,0.51,0.34,4.8,-0.081,-0.013000000000000001,0
95661,0.676056338,0.24,0.43700000000000006,0.34,-0.375,0.215,-0.053,0
90814,0.846320346,0.32,0.706,0.55,0.25,-0.012,0.136,0
91710,0.94205393,0.3,0.721,0.77,0.14285714300000002,0.10300000000000001,0.006999999999999999,0
94502,0.7685683529999999,0.2,0.276,0.48,0.0,-0.055999999999999994,-0.191,0
90502,0.886192017,0.29,0.55,0.86,-0.24,0.006,-0.11900000000000001,0
94545,0.45606183899999997,0.26,0.381,0.5,0.127272727,0.133,-0.1,0
91320,1.015463918,0.37,0.581,0.48,1.8333333330000001,0.19,-0.091,0
96150,1.063905325,0.19,0.38799999999999996,0.22,-0.243243243,-0.133,-0.033,0
93706,0.706395349,0.33,0.672,0.86,-0.576923077,0.11199999999999999,0.401,1
92240,0.449101796,0.29,0.816,0.15,-0.071428571,0.575,-0.128,0
95835,0.373284055,0.26,4.793,0.72,0.1,45.85,-0.369,0
90057,0.692485549,0.37,0.727,0.57,0.015765766,0.04,-0.192,0
93446,1.147774481,0.54,0.778,0.45,1.142857143,0.245,0.004,0
93063,0.8028583440000001,0.25,0.605,0.56,0.133333333,0.157,-0.063,0
95969,0.569348659,0.32,0.5660000000000001,0.47,0.625,-0.03,-0.003,0
96130,0.550176056,0.42,0.574,-0.2,2.5,0.128,-0.13,0
95626,0.668674699,0.3,0.6709999999999999,0.26,1.0,0.025,-0.021,0
93465,1.00211685,0.59,0.419,0.33,0.0,0.222,-0.055,0
90043,1.077591199,0.14,0.7020000000000001,0.41,-0.23157894699999998,-0.037000000000000005,1.012,1
94523,0.750848608,0.2,0.521,0.54,0.221238938,0.054000000000000006,-0.071,0
94702,1.130065612,0.52,0.78,1.09,0.068965517,0.079,0.249,0
95824,0.265330189,0.04,0.523,0.21,-0.380952381,-0.026000000000000002,0.132,1
91208,0.829765545,0.17,0.736,0.12,0.7777777779999999,-0.021,0.049,0
93702,0.421875,0.21,0.6629999999999999,0.31,-0.507692308,-0.003,0.198,0
95348,0.382922535,0.22,0.547,0.34,2.25,0.359,0.025,0
93301,0.012773723,0.21,0.56,0.22,-0.818181818,-0.098,0.016,1
90255,0.745752427,0.18,0.5920000000000001,0.4,-0.125874126,-0.024,0.6559999999999999,0
95747,0.610407876,0.47,0.696,0.48,0.4,1.22,-0.111,0
95076,0.42449600600000004,0.25,0.627,0.26,-0.272727273,0.043,0.40299999999999997,0
91364,0.73416711,0.18,0.547,-0.03,-0.384615385,0.038,-0.094,0
95073,0.329367702,0.41,0.42,0.36,-0.578947368,0.106,-0.031,1
93726,0.5988165679999999,0.12,0.654,0.17,0.0,0.08900000000000001,-0.054000000000000006,1
91750,0.879231091,0.27,0.653,0.38,-0.25,-0.043,-0.023,0
95616,1.207957342,0.08,0.5660000000000001,0.26,-0.215384615,-0.28600000000000003,-0.11699999999999999,1
92121,0.6949928470000001,0.46,0.57,0.27,0.526315789,0.13699999999999998,-0.27699999999999997,0
92082,0.573560768,0.36,0.624,0.08,1.333333333,0.36200000000000004,0.035,0
94123,0.0,0.43,0.48200000000000004,0.18,0.14527027,0.115,-0.034,1
94060,0.822600243,0.02,0.036000000000000004,-0.63,-0.794117647,-0.192,0.135,1
92118,0.462417374,0.37,0.9540000000000001,0.61,-0.296296296,-0.059000000000000004,0.069,0
94587,0.53941513,0.15,0.387,0.42,0.322580645,0.079,-0.293,1
93535,0.307608696,0.08,0.6559999999999999,-0.09,-0.23809523800000001,0.268,0.055999999999999994,1
95758,0.452510587,0.03,0.48,-0.31,0.9411764709999999,0.319,-0.213,1
96001,0.913446677,0.34,0.626,0.43,-0.41176470600000004,0.091,-0.047,0
90631,0.9083068540000001,0.31,0.662,0.43,0.571428571,0.023,-0.047,0
91214,1.074383038,0.39,0.7509999999999999,0.62,-0.111111111,0.068,-0.11599999999999999,0
95762,0.751835536,0.29,0.611,0.07,0.41666666700000005,0.8440000000000001,-0.10300000000000001,0
92867,1.128214415,0.24,0.6729999999999999,0.34,-0.14285714300000002,0.08900000000000001,-0.037000000000000005,0
93546,0.6653723970000001,0.39,0.614,-0.42,1.2380952379999999,0.145,0.019,0
92506,0.740119112,0.25,0.621,0.31,-0.15789473699999998,0.085,0.057999999999999996,0
92653,1.309551657,0.99,0.593,0.37,0.35714285700000004,-0.402,-0.17300000000000001,0
94618,0.780948553,0.59,0.622,0.36,0.185393258,0.10300000000000001,-0.109,0
92027,0.761276128,0.16,0.5710000000000001,-0.17,-0.347826087,0.16899999999999998,0.12300000000000001,1
93703,0.403768506,0.09,0.68,0.19,-0.111111111,0.095,-0.054000000000000006,1
95379,0.9635499209999999,0.43,0.561,0.72,-0.75,-0.034,-0.015,1
92544,0.215331611,0.13,0.693,0.03,-0.222222222,0.201,-0.07400000000000001,1
91502,0.7383778440000001,0.38,0.857,0.92,-0.5476190479999999,0.096,0.23600000000000002,0
95821,0.589760207,0.09,0.516,0.21,-0.145833333,-0.027000000000000003,-0.048,1
90301,0.7646318440000001,0.21,0.594,0.55,0.034883721,-0.021,0.46399999999999997,0
95621,0.36235294100000004,0.22,0.49700000000000005,0.18,0.111111111,-0.004,-0.04,0
92129,1.003777473,0.4,0.741,0.32,0.307692308,0.158,-0.096,0
