ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,Percent Change,Gentrified,Auto Customization,Auto Loan Providers,Auto Parts Supplies,Auto Repair,Barbers,Barre Classes,Bars,Beer Gardens,Bespoke,Bikes,Blowout Services,Body Shops,Boot Camps,Breakfast/Brunch,Breweries,Cafes,Cannabis Clinics,Cannabis Dispensaries,Cannabis Referrals,Car Shares,Cocktail Bars,Coffee,Coffee Roasteries,Cycling Classes,Discount Store,Distilleries,Dive Bars,Dog Parks,Doulas,Empanadas,Food Banks,Galleries,Guns and Ammo,Gyms,Hairstylists,Health Markets,Homeless Shelters,Intl Grocery,Juice Bars,Kombucha,Mexican,Movie Theaters,Music Venues,Organic Stores,Paint And Sip,Pawn,Pets,Pilates,Public Art,Pubs,Skate Parks,Tattoo,Theater,Thrift Stores,Vape Shops,Vegan,Vegetarian,Vintage,Wine Bars,Yoga
78746,100571,138254.7537,128556,-0.070151322,N,0,0,0,0,5,3,0,0,0,0,0,0,0,5,1,3,null,null,null,0,null,11,null,0,0,null,0,0,0,null,0,3,0,8,13,3,null,null,5,0,8,null,2,0,0,0,null,6,null,null,0,0,null,1,null,0,0,1,0,10
78747,60861,83665.49568,62243,-0.256049349,N,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,null,null,null,0,null,1,null,0,0,null,0,0,0,null,0,0,0,0,6,0,null,null,0,0,1,null,0,0,0,0,null,0,null,null,0,0,null,0,null,0,0,0,0,2
78748,57710,79333.82224,68835,-0.13233728,N,4,0,4,0,5,1,7,0,0,0,1,3,3,0,0,0,null,null,null,0,null,6,null,0,3,null,2,0,0,null,0,0,0,10,6,0,null,null,1,0,13,null,3,0,1,1,null,0,null,null,0,3,null,1,null,0,0,1,0,0
78749,68244,93814.8911,84954,-0.094450796,N,0,0,1,1,0,1,0,0,0,0,0,0,1,4,1,0,null,null,null,0,null,6,null,0,0,null,0,0,0,null,0,2,0,5,9,3,null,null,1,0,6,null,0,0,0,0,null,3,null,null,0,0,null,0,null,0,0,0,0,3
78750,78428,107814.8156,73659,-0.316800761,N,0,0,4,3,5,0,0,0,0,0,0,5,0,5,0,1,null,null,null,0,null,4,null,0,0,null,1,1,0,null,0,0,2,6,18,1,null,null,2,0,12,null,0,0,2,2,null,1,null,null,0,3,null,3,null,0,0,2,0,4
78751,29779,40937.13209,41279,0.008351047,N,0,0,3,2,3,0,4,0,0,4,0,0,3,4,0,0,null,null,null,0,null,5,null,0,0,null,1,0,2,null,0,5,0,9,1,0,null,null,2,0,9,null,0,0,0,1,null,2,null,null,0,4,null,0,null,4,1,9,1,5
78752,30207,41525.50283,37396,-0.099444981,N,0,0,4,2,4,0,2,0,0,2,0,5,1,0,1,2,null,null,null,0,null,4,null,0,0,null,0,0,0,null,0,1,0,6,1,0,null,null,1,0,15,null,1,0,0,3,null,0,null,null,0,0,null,1,null,0,0,0,0,2
78753,38206,52521.71223,39228,-0.253108889,N,4,0,13,15,3,0,3,0,0,0,0,21,0,0,0,0,null,null,null,0,null,3,null,0,3,null,1,0,0,null,0,0,0,4,4,2,null,null,6,0,37,null,0,0,0,4,null,0,null,null,0,1,null,1,null,2,0,0,0,1
78754,51810,71223.10398,53040,-0.255297831,N,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,null,null,null,0,null,1,null,0,0,null,0,0,0,null,0,0,0,1,2,0,null,null,0,0,3,null,0,0,0,0,null,0,null,null,0,0,null,0,null,0,0,0,0,0
78756,36978,50833.58307,63750,0.254092199,Y,0,0,2,1,3,1,0,0,0,0,0,0,0,5,0,3,null,null,null,0,null,7,null,0,0,null,1,0,0,null,0,3,0,6,7,2,null,null,1,0,10,null,0,0,0,0,null,3,null,null,0,6,null,6,null,0,2,4,2,6
78757,45090,61985.13334,60856,-0.018216196,N,0,0,4,2,15,0,6,0,0,2,4,3,1,6,0,0,null,null,null,0,null,7,null,0,2,null,2,0,1,null,0,5,0,10,25,0,null,null,4,0,17,null,0,0,1,2,null,0,null,null,0,7,null,2,null,0,0,5,0,8
78758,42398,58284.44629,44476,-0.236914772,N,0,0,19,20,5,1,8,0,2,1,3,20,2,3,5,0,null,null,null,0,null,9,null,0,2,null,2,0,1,null,0,2,0,9,10,2,null,null,3,0,19,null,1,0,1,1,null,4,null,null,0,2,null,1,null,0,1,2,2,4
78759,61284,84246.99294,70095,-0.167982173,N,0,0,3,3,2,0,2,0,0,3,0,2,1,6,2,4,null,null,null,0,null,5,null,0,0,null,0,0,0,null,0,2,0,6,10,3,null,null,4,0,14,null,0,0,0,3,null,0,null,null,0,2,null,1,null,0,0,0,0,5
94102,22351,30725.87526,24127,-0.214766063,N,0,null,0,null,9,2,19,0,3,0,4,8,0,20,0,22,1,0,null,1,19,64,0,0,null,null,5,0,0,0,0,50,null,null,22,1,1,0,3,0,19,0,20,0,0,0,0,null,null,4,0,3,null,0,null,3,1,2,11,11
94103,31131,42795.7238,41612,-0.027659862,N,0,null,6,null,7,2,21,0,2,1,0,30,4,23,3,21,18,0,null,0,12,66,0,0,null,null,11,1,0,3,0,69,null,null,18,0,1,0,12,0,33,0,19,0,1,5,0,null,null,0,3,9,null,0,null,8,0,3,5,17
