zip,Median House Value 2000,Median House Value 2014,% Change in House Value,Median Income 2000,Median Income 2014,% Change in Income,Median Rent 2000,Median Rent 2014,% Change in Rent,Outcome
94506,657600.0,959000.0,0.4583333333333333,142459.0,176241.0,0.24,2001.0,2001.0,0.0,
94402,657400.0,1000001.0,0.5211454213568604,82796.0,115807.0,0.4,1220.0,1610.0,0.32,
95014,654900.0,1000001.0,0.5269522064437319,100020.0,130961.0,0.31,1657.0,2001.0,0.208,
94965,652000.0,929600.0,0.42576687116564416,76808.0,89715.0,0.17,1453.0,1815.0,0.249,
90403,648400.0,947500.0,0.4612893275755706,54964.0,72366.0,0.32,888.0,1699.0,0.913,
92660,644700.0,1000001.0,0.5511105940747635,98119.0,112008.0,0.14,1424.0,2001.0,0.405,
94563,638000.0,987500.0,0.5478056426332288,119832.0,166147.0,0.39,1254.0,2001.0,0.596,
93923,631700.0,896300.0,0.41886971663764444,67315.0,98219.0,0.46,1247.0,2001.0,0.605,
94065,628400.0,869100.0,0.3830362826225334,104958.0,132462.0,0.26,1900.0,2001.0,0.053,
94070,627000.0,942400.0,0.503030303030303,89016.0,125335.0,0.41,1188.0,1667.0,0.403,
95120,626300.0,941000.0,0.502474852307201,120117.0,152721.0,0.27,1872.0,2001.0,0.069,
94940,625000.0,1000001.0,0.6000016,36625.0,28958.0,-0.21,775.0,1125.0,0.452,
94705,612400.0,951200.0,0.5532331809274984,68112.0,96537.0,0.42,770.0,1350.0,0.753,
96146,597500.0,670300.0,0.12184100418410042,64000.0,53250.0,-0.17,1100.0,908.0,-0.175,
95138,597200.0,719300.0,0.20445411922304085,103389.0,145505.0,0.41,1572.0,2001.0,0.273,
92663,595100.0,1000001.0,0.6803915308351538,66978.0,86967.0,0.3,1118.0,1772.0,0.585,
94002,594800.0,909200.0,0.5285810356422327,80973.0,105985.0,0.31,1114.0,1586.0,0.424,
92861,591000.0,934200.0,0.5807106598984771,116658.0,150864.0,0.29,892.0,2001.0,1.243,
91302,587700.0,988200.0,0.6814701378254211,93378.0,121715.0,0.3,1222.0,1983.0,0.623,
94111,585900.0,908900.0,0.5512886158047449,56569.0,103472.0,0.83,1173.0,2001.0,0.706,
91011,583500.0,1000001.0,0.7137977720651243,109802.0,152210.0,0.39,1144.0,2001.0,0.749,
91436,583400.0,1000001.0,0.7140915323962975,102652.0,128060.0,0.25,1260.0,2001.0,0.588,
94960,582900.0,899300.0,0.5428032252530451,76627.0,108295.0,0.41,1084.0,1543.0,0.423,
94087,581500.0,948700.0,0.6314703353396388,84856.0,122354.0,0.44,1244.0,1701.0,0.367,
95033,579200.0,868200.0,0.49896408839779005,106675.0,126397.0,0.18,1160.0,1576.0,0.359,
94303,578100.0,1000001.0,0.7298062618924062,64256.0,89464.0,0.39,956.0,1634.0,0.709,
94549,573300.0,976600.0,0.7034711320425606,101555.0,137344.0,0.35,1065.0,1616.0,0.517,
94925,572800.0,912800.0,0.5935754189944135,77455.0,113279.0,0.46,1311.0,1721.0,0.313,
90275,560200.0,952900.0,0.7009996429846483,95643.0,120742.0,0.26,1500.0,2001.0,0.334,
94127,554400.0,938800.0,0.6933621933621934,95313.0,131108.0,0.38,1110.0,2001.0,0.803,
95129,554100.0,908300.0,0.6392347951633279,79489.0,107493.0,0.35,1282.0,1762.0,0.374,
94030,553600.0,915100.0,0.6529985549132948,68067.0,92006.0,0.35,1157.0,1779.0,0.538,
90293,552700.0,498300.0,-0.09842590917314999,66425.0,84588.0,0.27,991.0,1767.0,0.783,
94041,551600.0,860700.0,0.5603698332124728,67889.0,88810.0,0.31,1257.0,1736.0,0.381,
94404,548400.0,810400.0,0.4777534646243618,92989.0,114779.0,0.23,1622.0,2001.0,0.234,
95432,538500.0,457100.0,-0.1511606313834726,46875.0,32431.0,-0.31,800.0,1292.0,0.615,
94556,537100.0,905400.0,0.685719605287656,98525.0,133088.0,0.35,1112.0,1862.0,0.674,
93103,535800.0,812600.0,0.5166106756252333,47625.0,67383.0,0.41,917.0,1573.0,0.715,
94539,535200.0,912600.0,0.7051569506726457,101977.0,144152.0,0.41,1315.0,1989.0,0.513,
94526,532800.0,836300.0,0.5696321321321322,109771.0,128802.0,0.17,1560.0,2001.0,0.283,
94901,529400.0,777100.0,0.46788817529278426,59889.0,76909.0,0.28,985.0,1424.0,0.446,
90742,524500.0,1000001.0,0.9065795996186845,65990.0,88971.0,0.35,1154.0,1577.0,0.367,
90046,521500.0,860100.0,0.64928092042186,37398.0,56337.0,0.51,773.0,1403.0,0.815,
90254,520400.0,1000001.0,0.9216006917755573,81352.0,105029.0,0.29,1146.0,1865.0,0.627,
95046,513200.0,693400.0,0.3511301636788776,69063.0,108205.0,0.57,748.0,1613.0,1.156,
94019,511600.0,735000.0,0.43666927286942925,82735.0,103378.0,0.25,1222.0,1760.0,0.44,
93105,511500.0,882300.0,0.7249266862170088,57780.0,81308.0,0.41,1065.0,1645.0,0.545,
93110,511500.0,707100.0,0.3824046920821114,52493.0,75915.0,0.45,940.0,1463.0,0.556,
94038,511100.0,649800.0,0.27137546468401486,82777.0,81622.0,-0.01,1405.0,1432.0,0.019,
90405,508500.0,1000001.0,0.9665703048180925,50540.0,78756.0,0.56,741.0,1547.0,1.088,
94107,506700.0,747800.0,0.47582395895006907,61362.0,120610.0,0.97,1050.0,2001.0,0.906,
94061,497700.0,799500.0,0.6063893911995177,64839.0,81907.0,0.26,1143.0,1629.0,0.425,
94618,497600.0,886200.0,0.7809485530546624,77952.0,123575.0,0.59,935.0,1517.0,0.622,
93109,497200.0,911600.0,0.833467417538214,56898.0,99638.0,0.75,1218.0,2001.0,0.643,
94956,496500.0,879900.0,0.7722054380664652,50673.0,38750.0,-0.24,933.0,975.0,0.045,
95125,496200.0,744400.0,0.5002015316404675,68613.0,102479.0,0.49,1155.0,1499.0,0.298,
91105,495900.0,884500.0,0.783625730994152,83737.0,108882.0,0.3,1017.0,1958.0,0.925,
90068,495600.0,958900.0,0.9348264729620662,52890.0,73373.0,0.39,818.0,1443.0,0.764,
90290,490700.0,926500.0,0.8881190136539637,88661.0,106750.0,0.2,1189.0,1961.0,0.649,
94131,489500.0,873100.0,0.7836567926455567,76044.0,100114.0,0.32,1123.0,1858.0,0.654,
