,zip,Index Change,Percent_Change_House,Percent_Change_Rent,Percent_Change_Public_Transp,Percent_Change_Population,Percent_Change_White,Outcome
68,90301,0.55,0.35346097200000004,0.593703148,0.003,-0.02114272,0.111,0
69,92021,0.25,0.410076977,0.635446686,-0.003,0.080590936,0.006,0
70,92648,0.25,0.348426046,0.6415882970000001,0.002,0.093281745,-0.028,0
71,90606,0.73,0.481226054,0.6523489929999999,-0.006999999999999999,0.025977662,-0.029,0
72,94949,0.57,0.300827967,0.38022508,0.002,0.22649700600000006,-0.055,0
73,93907,-0.09,0.373619632,0.409836066,-0.003,-0.020917497,0.057,0
74,95965,0.69,0.6209068010000001,0.628691983,-0.001,0.15867926699999998,-0.066,0
75,95678,0.46,0.39744553,0.667560322,-0.005,0.370363107,-0.043,0
76,94607,1.5,0.8588421890000001,0.893787575,0.0,0.179684531,0.142,1
77,94599,1.04,0.552495697,0.8147389970000001,-0.001,0.110452962,-0.027000000000000003,1
78,93033,0.11,0.414996288,0.645371578,0.0,0.05756894,0.375,0
79,95070,0.6,0.24409204,0.193202147,0.0,0.016875428999999997,-0.165,0
80,95351,0.47,0.33512352300000003,0.589473684,-0.013,0.019061244,0.173,0
81,94590,0.53,0.45081266,0.562406015,-0.008,-0.06328263599999999,0.099,0
82,95064,0.26,0.240727782,0.923076923,-0.085,0.847992981,-0.04,1
83,94305,-0.07,0.132075472,0.8078291809999999,0.014,0.012489717,-0.016,0
84,92551,-0.15,0.387124464,0.50275634,-0.012,0.439271872,0.079,0
85,94519,0.37,0.445372303,0.498958333,0.032,0.068873035,-0.023,0
86,94619,0.62,0.597071929,0.8310991959999999,0.039,-0.014489205,0.043,1
87,94303,0.91,0.762538383,0.7092050209999999,-0.004,0.036848933,0.08199999999999999,0
88,95118,0.49,0.509205681,0.456756757,-0.013,-0.010558967,-0.056,0
89,95131,0.51,0.394046418,0.242021277,0.002,0.124166161,-0.065,0
90,90620,0.62,0.576223776,0.7187839309999999,-0.003,0.035109831,0.024,0
91,94928,-0.1,0.30006566,0.432522124,-0.01,0.0029617790000000003,-0.042,0
92,93535,-0.09,0.344344344,0.655523256,-0.005,0.268052119,0.034,0
93,90803,0.33,0.234196012,0.642857143,0.001,-0.017353026,-0.016,0
94,94538,0.57,0.435626102,0.372305141,0.039,0.137923045,-0.2,0
95,93286,0.6,0.513274336,0.8828125,0.003,0.123136014,0.266,1
96,95608,0.31,0.466026588,0.438569207,0.004,0.0324725,-0.061,0
97,95409,0.62,0.416826004,0.478033473,-0.008,0.003034311,-0.033,0
98,93021,0.32,0.505482456,0.47008547,0.008,0.10397841,0.043,0
