zip,Average Education Index 2000,Average Education Index 2014,Index Change,Median Cost for House 2000,Median Cost for House 2014,Change in Cost for House,Median Income 2000,Median Income 2014,Income Change,Median Rent 2000,Median Rent 2014,Rent Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Take Public Transp % Change,Total Population % in 2000,Total Population % in 2014,Total Population % Change,White Population % in 2000,White Population % in 2014,White Population % Change,Outcome
94920,16.14,16.32,0.17999999999999972,3734.0,4001.0,267.0,106492.0,132486.0,25994.0,1700.0,2001.0,301.0,0.1,0.11900000000000001,0.019000000000000003,13048.0,12583.0,-465.0,0.9129999999999999,0.915,0.002000000000000113,
90402,16.13,16.42,0.2900000000000027,4001.0,4001.0,0.0,118553.0,131607.0,13054.0,977.0,1849.0,872.0,0.019,0.009000000000000001,-0.009999999999999998,11492.0,11503.0,11.0,0.897,0.8809999999999999,-0.016000000000000125,
95616,16.05,16.31,0.259999999999998,1600.0,2359.0,759.0,42110.0,45332.0,3222.0,763.0,1195.0,432.0,0.065,0.051,-0.014000000000000005,67407.0,48106.0,-19301.0,0.6920000000000001,0.611,-0.08100000000000007,
92037,16.04,16.57,0.5300000000000011,2705.0,3810.0,1105.0,68691.0,95306.0,26615.0,1067.0,1759.0,692.0,0.021,0.046,0.024999999999999998,42603.0,39241.0,-3362.0,0.825,0.818,-0.007000000000000006,
90049,16.03,16.44,0.41000000000000014,4001.0,4001.0,0.0,84342.0,116732.0,32390.0,1148.0,1872.0,724.0,0.013000000000000001,0.028999999999999998,0.015999999999999997,33520.0,35262.0,1742.0,0.875,0.852,-0.02300000000000002,
91108,16.03,16.04,0.00999999999999801,3189.0,4001.0,812.0,119147.0,120152.0,1005.0,1906.0,2001.0,95.0,0.003,0.009000000000000001,0.006000000000000001,13149.0,13613.0,464.0,0.484,0.44,-0.043999999999999984,
94123,16.01,16.19,0.17999999999999972,4001.0,4001.0,0.0,84710.0,121200.0,36490.0,1281.0,1899.0,618.0,0.29600000000000004,0.33899999999999997,0.04299999999999993,22903.0,25528.0,2625.0,0.865,0.836,-0.029000000000000026,
94704,16.01,15.92,-0.09000000000000163,2030.0,2531.0,501.0,19750.0,30997.0,11247.0,732.0,1338.0,606.0,0.174,0.22899999999999998,0.05499999999999999,21203.0,26334.0,5131.0,0.505,0.488,-0.017000000000000015,
92612,16.0,15.62,-0.3800000000000008,1960.0,2602.0,642.0,60257.0,67039.0,6782.0,1204.0,1888.0,684.0,0.01,0.017,0.007000000000000001,41051.0,29325.0,-11726.0,0.59,0.545,-0.04499999999999993,
95030,16.0,16.3,0.3000000000000007,3570.0,4001.0,431.0,117564.0,154107.0,36543.0,1335.0,1940.0,605.0,0.005,0.01,0.005,13289.0,13429.0,140.0,0.8809999999999999,0.8640000000000001,-0.016999999999999793,
95070,15.99,16.59,0.5999999999999996,3216.0,4001.0,785.0,138206.0,167386.0,29180.0,1677.0,2001.0,324.0,0.009000000000000001,0.009000000000000001,0.0,30577.0,31093.0,516.0,0.6759999999999999,0.511,-0.16499999999999992,
94939,15.94,15.82,-0.11999999999999922,2648.0,4001.0,1353.0,75747.0,93750.0,18003.0,1403.0,1839.0,436.0,0.155,0.16399999999999998,0.00899999999999998,6766.0,6935.0,169.0,0.9229999999999999,0.884,-0.038999999999999924,
94556,15.9,16.39,0.4900000000000002,2625.0,3345.0,720.0,98525.0,133088.0,34563.0,1112.0,1862.0,750.0,0.127,0.157,0.03,16501.0,15505.0,-996.0,0.809,0.765,-0.04400000000000004,
