zip,Average Education Index 2000,Median Income 2000,Inflated Median Income 2000,Median Rent 2000,Inflated Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
94960,15.57,76627.0,107224.31,1084.0,2159.1228317,0.09699999999999999,16846.0,0.924
90293,15.55,66425.0,92948.63,991.0,2472.5664573,0.009000000000000001,11252.0,0.795
91105,15.55,83737.0,117173.34,1017.0,2739.8331202,0.01,10245.0,0.802
90265,15.54,100857.0,141129.39,1638.0,2800.0031019,0.004,19614.0,0.894
94970,15.53,88184.0,123396.04,1220.0,2800.0031019,0.026000000000000002,772.0,0.951
94598,15.5,85479.0,119610.93,1246.0,2476.764363,0.145,26011.0,0.825
90403,15.49,54964.0,76911.23,888.0,2377.4139281,0.027999999999999997,23556.0,0.865
90292,15.46,72215.0,101050.59,1442.0,2800.0031019,0.013000000000000001,18057.0,0.833
94925,15.46,77455.0,108382.93,1311.0,2408.1985699,0.09300000000000001,9019.0,0.877
94117,15.45,63983.0,89531.53,1056.0,2480.9622687,0.35600000000000004,38738.0,0.727
94131,15.45,76044.0,106408.51,1123.0,2599.9029302,0.256,27897.0,0.693
90275,15.45,95643.0,133833.43,1500.0,2800.0031019,0.01,41261.0,0.6729999999999999
95033,15.45,106675.0,149270.53,1160.0,2205.2997944,0.002,10170.0,0.9209999999999999
92614,15.44,76934.0,107653.89,1358.0,2658.67361,0.006,22493.0,0.616
90212,15.42,61039.0,85411.99,1200.0,2661.4722138,0.02,11347.0,0.8490000000000001
94404,15.42,92989.0,130119.68,1622.0,2800.0031019,0.040999999999999995,31866.0,0.607
93921,15.41,53750.0,75212.48,1125.0,2269.6676818,0.013000000000000001,2963.0,0.943
92651,15.41,76644.0,107248.09,1093.0,2601.3022321,0.016,25186.0,0.9209999999999999
91436,15.41,102652.0,143641.14,1260.0,2800.0031019,0.011000000000000001,13109.0,0.899
91302,15.39,93378.0,130664.01,1222.0,2774.8156677,0.006,23644.0,0.873
92782,15.39,85977.0,120307.78,1340.0,2800.0031019,0.009000000000000001,17485.0,0.669
94610,15.36,49066.0,68658.15,794.0,1767.3182997,0.17800000000000002,29963.0,0.5329999999999999
95032,15.35,93118.0,130300.19,1370.0,2479.5629668,0.012,24427.0,0.857
94526,15.33,109771.0,153602.77,1560.0,2800.0031019,0.049,32853.0,0.883
92661,15.32,64293.0,89965.32,1006.0,2328.4383616,0.011000000000000001,4225.0,0.9420000000000001
90803,15.31,60513.0,84675.96,826.0,1898.8526783,0.022000000000000002,31349.0,0.86
91030,15.29,55701.0,77942.52,833.0,1950.6268486,0.011000000000000001,23975.0,0.604
94087,15.29,84856.0,118739.16,1244.0,2380.2125319,0.017,50051.0,0.613
92620,15.29,86467.0,120993.44,1165.0,2604.1008358999998,0.003,26415.0,0.65
94539,15.28,101977.0,142696.61,1315.0,2783.2114791,0.028999999999999998,46910.0,0.418
