zip,Average Education Index 2014,Median Income 2014,Median Rent 2014,Take Public Transp % in 2014,Total Population % in 2014,White Population % in 2014
94530,15.46,87598.0,1460.0,0.23800000000000002,24301.0,0.57
91361,15.5,103306.0,1908.0,0.006999999999999999,20266.0,0.8590000000000001
92679,15.45,149538.0,1956.0,0.001,32822.0,0.8340000000000001
90036,15.61,71049.0,1818.0,0.033,36425.0,0.6559999999999999
94956,14.66,38750.0,975.0,0.016,1687.0,0.682
91377,15.62,117326.0,2001.0,0.002,14512.0,0.818
91711,15.44,89508.0,1345.0,0.039,36484.0,0.7120000000000001
92009,15.58,102212.0,1845.0,0.02,43627.0,0.835
92118,15.77,90876.0,2001.0,0.019,22664.0,0.902
94010,15.71,118125.0,1606.0,0.113,42223.0,0.6779999999999999
94502,15.62,105480.0,2001.0,0.153,13192.0,0.433
92606,15.53,90228.0,1896.0,0.024,22294.0,0.444
94037,14.91,147568.0,1646.0,0.008,2880.0,0.927
94583,15.39,121948.0,1720.0,0.046,35272.0,0.622
94596,15.47,78856.0,1429.0,0.151,20778.0,0.8009999999999999
94924,15.44,73621.0,1750.0,0.028999999999999998,1434.0,0.904
94703,15.57,58613.0,1303.0,0.23,21421.0,0.597
95762,15.16,117700.0,1994.0,0.017,40603.0,0.812
94062,15.42,126557.0,1557.0,0.043,27014.0,0.833
91604,15.48,90528.0,1675.0,0.027000000000000003,29072.0,0.816
90068,15.69,73373.0,1443.0,0.035,21943.0,0.7709999999999999
90277,15.64,99398.0,1762.0,0.019,34546.0,0.787
94973,15.94,88750.0,1242.0,0.042,1831.0,0.971
94002,15.46,105985.0,1586.0,0.054000000000000006,26679.0,0.64
91024,15.73,90780.0,1430.0,0.032,11060.0,0.757
95746,15.25,118919.0,1752.0,0.013999999999999999,23715.0,0.8240000000000001
92887,15.26,126984.0,1817.0,0.012,20071.0,0.73
94127,15.85,131108.0,2001.0,0.23199999999999998,19356.0,0.583
94040,15.97,101912.0,1683.0,0.067,33958.0,0.583
94115,15.62,85330.0,1630.0,0.33399999999999996,34556.0,0.618
90210,15.45,138750.0,2001.0,0.006,21478.0,0.862
91364,15.0,93919.0,1810.0,0.008,26975.0,0.7709999999999999
92128,15.42,90298.0,1717.0,0.004,49264.0,0.679
92127,15.89,123459.0,1835.0,0.012,41900.0,0.5660000000000001
92663,15.46,86967.0,1772.0,0.016,22772.0,0.868
91301,15.13,109913.0,1965.0,0.006999999999999999,26439.0,0.848
94930,15.62,93049.0,1564.0,0.061,8756.0,0.895
94111,15.11,103472.0,2001.0,0.16399999999999998,3477.0,0.574
92610,15.5,120984.0,1766.0,0.004,11799.0,0.705
90069,15.46,78607.0,1570.0,0.031,20426.0,0.7829999999999999
94552,15.18,132826.0,2001.0,0.124,15209.0,0.465
91403,15.47,75334.0,1563.0,0.03,24353.0,0.812
94070,15.66,125335.0,1667.0,0.049,29879.0,0.792
92129,15.27,109267.0,1697.0,0.017,54664.0,0.5670000000000001
94588,15.47,127684.0,1856.0,0.085,31910.0,0.594
92109,15.49,67025.0,1433.0,0.025,45304.0,0.917
93109,15.69,99638.0,2001.0,0.015,11031.0,0.861
