zip,Average Education Index 2000,Median Cost for House 2000,Median Income 2000,Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
90803,15.31,2357.0,60513.0,826.0,0.022000000000000002,31349.0,0.86
91030,15.29,2074.0,55701.0,833.0,0.011000000000000001,23975.0,0.604
94087,15.29,2255.0,84856.0,1244.0,0.017,50051.0,0.613
92620,15.29,2022.0,86467.0,1165.0,0.003,26415.0,0.65
94539,15.28,2417.0,101977.0,1315.0,0.028999999999999998,46910.0,0.418
93923,15.27,2430.0,67315.0,1247.0,0.003,13108.0,0.935
92075,15.27,2259.0,69057.0,1114.0,0.034,12170.0,0.867
94025,15.26,2706.0,89572.0,1324.0,0.039,39061.0,0.741
90056,15.24,2544.0,72193.0,856.0,0.02,8108.0,0.183
95129,15.21,2075.0,79489.0,1282.0,0.021,37565.0,0.498
90405,15.21,2394.0,50540.0,741.0,0.032,26089.0,0.785
94530,15.21,1634.0,56905.0,905.0,0.20600000000000002,23121.0,0.581
91361,15.2,2418.0,86646.0,1198.0,0.005,18724.0,0.905
92679,15.19,2457.0,112998.0,1301.0,0.006,32267.0,0.875
90036,15.19,2298.0,47746.0,1043.0,0.040999999999999995,32885.0,0.7
94956,15.17,1824.0,50673.0,933.0,0.024,1874.0,0.9159999999999999
91377,15.17,2336.0,89561.0,1480.0,0.006,14809.0,0.88
91711,15.17,1624.0,66663.0,787.0,0.026000000000000002,34715.0,0.735
92009,15.16,1980.0,76368.0,1176.0,0.019,43155.0,0.888
92118,15.16,2709.0,66489.0,1024.0,0.027000000000000003,24085.0,0.8440000000000001
94010,15.14,3375.0,82188.0,1119.0,0.063,40328.0,0.7559999999999999
94502,15.14,1965.0,87855.0,1568.0,0.153,13980.0,0.535
92606,15.13,1954.0,71155.0,1368.0,0.004,17619.0,0.496
94037,15.11,2039.0,93859.0,1473.0,0.079,2332.0,0.9
94583,15.1,2223.0,95588.0,1387.0,0.049,44076.0,0.772
94596,15.1,2031.0,64389.0,1010.0,0.162,40916.0,0.82
94924,15.1,2133.0,52772.0,1159.0,0.005,1560.0,0.9159999999999999
94703,15.1,1602.0,43640.0,718.0,0.225,19743.0,0.504
95762,15.09,1940.0,91529.0,1238.0,0.012,22021.0,0.905
94062,15.09,2794.0,96677.0,1125.0,0.031,25563.0,0.8690000000000001
91604,15.08,2531.0,60299.0,919.0,0.015,26137.0,0.856
90068,15.08,2588.0,52890.0,818.0,0.027999999999999997,21713.0,0.815
90277,15.06,2298.0,68263.0,1060.0,0.012,34174.0,0.838
94973,15.06,1785.0,60833.0,994.0,0.018000000000000002,1434.0,0.9440000000000001
94002,15.05,2453.0,80973.0,1114.0,0.037000000000000005,25548.0,0.752
91024,15.05,1994.0,65862.0,836.0,0.013999999999999999,10545.0,0.857
95746,15.05,2207.0,100986.0,1118.0,0.001,20663.0,0.9079999999999999
92887,15.04,2408.0,103926.0,1278.0,0.004,20876.0,0.7709999999999999
94127,15.04,2372.0,95313.0,1110.0,0.212,20624.0,0.622
94040,15.04,2524.0,69087.0,1208.0,0.066,32132.0,0.654
94115,15.04,3535.0,54879.0,1015.0,0.33899999999999997,33115.0,0.598
90210,15.03,4001.0,112572.0,1307.0,0.027000000000000003,21396.0,0.883
91364,15.03,2264.0,79414.0,1170.0,0.013000000000000001,25985.0,0.851
92128,15.01,1729.0,66676.0,1159.0,0.008,42728.0,0.784
92127,15.01,1804.0,75219.0,1190.0,0.016,20032.0,0.765
92663,14.99,2473.0,66978.0,1118.0,0.006,22123.0,0.9179999999999999
91301,14.99,2207.0,88725.0,1221.0,0.006999999999999999,25302.0,0.87
94930,14.98,2024.0,60971.0,1108.0,0.081,8476.0,0.915
