,Take Public Transp % in 2000,zip
319,4.6%,93647
320,4.6%,92275
321,4.5%,93285
322,4.5%,93117
323,4.5%,91754
324,4.5%,92020
325,4.5%,94506
326,4.5%,94954
327,4.5%,94591
328,4.4%,90024
329,4.4%,90401
330,4.4%,94061
331,4.4%,93301
332,4.4%,91910
333,4.3%,94510
334,4.3%,95822
335,4.3%,91766
336,4.3%,94509
337,4.3%,91755
338,4.3%,90621
339,4.3%,95672
340,4.2%,91356
341,4.2%,94952
342,4.2%,95605
343,4.2%,94589
344,4.2%,93905
345,4.2%,95824
346,4.2%,91203
347,4.2%,93546
348,4.2%,91502
349,4.1%,92804
350,4.1%,95442
351,4.1%,91791
352,4.1%,91201
353,4.1%,92840
354,4.1%,90036
355,4.1%,91324
356,4.1%,94306
357,4.1%,94404
358,4.0%,92110
359,4.0%,95037
360,4.0%,94089
361,4.0%,91803
362,4.0%,91345
363,4.0%,90731
364,4.0%,92518
365,4.0%,94931
366,3.9%,90035
367,3.9%,90660
368,3.9%,95254
369,3.9%,95444
370,3.9%,95449
371,3.9%,95819
372,3.9%,92347
373,3.9%,93641
374,3.9%,95007
375,3.9%,93925
376,3.9%,94025
377,3.8%,92404
378,3.8%,95833
379,3.8%,92025
380,3.8%,95825
381,3.8%,90723
382,3.8%,91101
383,3.7%,90704
384,3.7%,94002
385,3.7%,91722
386,3.7%,90230
387,3.7%,95062
388,3.7%,91702
389,3.7%,94070
390,3.7%,92368
391,3.7%,96150
392,3.6%,92866
393,3.6%,90242
394,3.6%,94065
395,3.6%,95118
396,3.6%,95660
397,3.6%,95134
398,3.6%,90814
399,3.6%,92780
400,3.6%,93703
401,3.6%,95125
402,3.6%,96025
403,3.6%,90048
404,3.6%,95123
405,3.5%,95002
406,3.5%,90746
407,3.5%,91325
408,3.5%,95838
409,3.5%,92867
410,3.5%,93726
411,3.5%,94301
412,3.5%,91790
413,3.5%,93552
414,3.5%,96076
415,3.4%,90807
416,3.4%,94928
417,3.4%,94043
418,3.4%,94060
419,3.4%,90211
420,3.4%,92075
421,3.4%,90706
422,3.4%,94560
423,3.3%,91010
424,3.3%,95018
425,3.3%,95050
426,3.3%,94572
427,3.3%,90241
428,3.3%,90742
429,3.3%,91342
430,3.3%,92054
431,3.3%,95128
432,3.3%,95127
433,3.3%,94041
434,3.3%,95139
435,3.3%,95020
436,3.3%,92231
437,3.3%,92806
438,3.3%,93109
439,3.3%,94951
440,3.2%,94304
441,3.2%,94550
442,3.2%,92084
443,3.2%,95133
444,3.2%,90305
445,3.2%,90405
446,3.2%,93550
447,3.2%,91750
448,3.1%,91501
449,3.1%,91206
450,3.1%,92833
451,3.1%,93901
452,3.1%,95834
453,3.1%,94062
454,3.1%,95823
455,3.1%,95136
456,3.1%,93534
457,3.1%,94946
458,3.0%,90045
459,3.0%,90240
460,3.0%,93307
461,3.0%,91001
462,3.0%,95005
463,3.0%,95670
464,3.0%,91763
465,3.0%,91764
466,3.0%,92024
467,3.0%,91977
468,3.0%,92831
469,3.0%,95019
470,3.0%,95051
471,3.0%,90650
472,3.0%,90716
473,3.0%,92083
474,2.9%,95407
475,2.9%,91780
476,2.9%,92122
477,2.9%,90701
478,2.9%,93013
479,2.9%,94539
480,2.9%,91724
481,2.9%,91016
482,2.9%,91351
483,2.9%,92123
484,2.9%,92314
485,2.9%,95831
486,2.8%,91786
487,2.8%,93940
488,2.8%,95012
489,2.8%,92057
490,2.8%,92234
491,2.8%,96037
492,2.8%,92365
493,2.8%,92405
494,2.8%,91931
495,2.8%,95121
496,2.8%,95389
497,2.8%,95664
498,2.8%,90068
499,2.8%,91504
500,2.8%,90403
501,2.8%,91202
502,2.8%,92240
503,2.7%,91748
504,2.7%,92118
505,2.7%,90745
506,2.7%,90210
507,2.7%,91107
508,2.7%,93405
509,2.7%,90606
510,2.7%,92410
511,2.7%,92624
512,2.7%,94027
513,2.7%,95841
514,2.7%,91007
515,2.7%,95842
516,2.7%,92108
517,2.7%,92675
518,2.7%,93728
519,2.6%,92844
520,2.6%,94970
521,2.6%,92007
522,2.6%,90248
523,2.6%,91711
524,2.6%,95119
525,2.6%,91350
526,2.6%,91403
527,2.6%,92841
528,2.6%,94513
529,2.6%,91978
530,2.6%,93640
531,2.5%,91311
532,2.5%,92507
533,2.5%,95497
534,2.5%,91740
535,2.5%,92056
536,2.5%,92109
537,2.5%,92283
538,2.5%,92335
539,2.5%,96141
540,2.5%,91762
541,2.5%,93705
542,2.5%,95608
543,2.5%,91730
544,2.5%,91765
545,2.5%,94561
546,2.5%,92629
547,2.5%,95469
548,2.5%,95689
549,2.5%,90502
550,2.5%,91761
551,2.5%,95017
552,2.5%,92107
553,2.5%,92119
554,2.4%,91354
555,2.4%,92376
556,2.4%,93401
557,2.4%,95462
558,2.4%,93202
559,2.4%,94956
560,2.4%,92117
561,2.4%,92354
562,2.4%,92553
563,2.4%,92570
564,2.4%,93245
565,2.4%,95452
566,2.4%,92008
567,2.4%,92407
568,2.4%,95351
569,2.4%,92262
570,2.4%,95206
571,2.4%,95203
572,2.3%,92027
573,2.3%,93304
574,2.3%,92865
575,2.3%,95035
576,2.3%,90069
577,2.3%,91006
578,2.3%,91941
579,2.3%,93001
580,2.3%,93105
581,2.3%,90504
582,2.3%,95303
583,2.3%,92626
584,2.3%,92505
585,2.3%,92503
586,2.3%,91739
587,2.3%,92377
588,2.3%,95365
589,2.2%,92336
590,2.2%,91040
591,2.2%,95401
592,2.2%,92311
593,2.2%,94585
594,2.2%,90803
595,2.2%,92021
596,2.2%,93725
597,2.2%,95065
598,2.2%,92869
599,2.2%,95606
600,2.2%,91737
601,2.2%,92504
602,2.2%,93110
603,2.2%,90620
604,2.2%,92337
605,2.2%,95076
606,2.1%,90631
607,2.1%,93204
608,2.1%,94533
609,2.1%,95403
610,2.1%,96113
611,2.1%,91602
612,2.1%,91789
613,2.1%,92037
614,2.1%,93266
615,2.1%,95521
616,2.1%,91505
617,2.1%,95129
618,2.1%,90501
619,2.1%,92551
620,2.1%,95404
621,2.1%,90717
622,2.1%,93535
623,2.1%,94525
624,2.1%,95476
625,2.0%,92683
626,2.0%,95054
627,2.0%,90212
628,2.0%,91942
629,2.0%,93543
630,2.0%,95008
631,2.0%,91709
632,2.0%,93933
633,2.0%,94305
634,2.0%,95835
635,2.0%,90670
636,2.0%,95828
637,2.0%,90056
638,2.0%,91355
639,2.0%,93653
640,2.0%,91316
641,2.0%,92346
642,2.0%,95369
643,2.0%,95691
644,2.0%,92069
645,2.0%,91423
646,2.0%,91745
647,1.9%,91775
648,1.9%,94559
649,1.9%,95124
650,1.9%,95376
651,1.9%,92121
652,1.9%,93704
653,1.9%,95207
654,1.9%,92324
655,1.9%,92325
656,1.9%,91917
657,1.9%,92506
658,1.9%,95628
659,1.9%,90402
660,1.9%,90067
661,1.9%,92009
662,1.9%,92230
663,1.9%,95073
664,1.9%,92672
665,1.9%,95501
666,1.9%,94963
667,1.8%,91773
668,1.8%,92249
669,1.8%,94973
670,1.8%,95204
671,1.8%,95066
672,1.8%,95610
673,1.8%,95926
674,1.8%,93710
675,1.8%,95205
676,1.8%,92264
677,1.8%,92705
678,1.8%,93445
679,1.8%,92647
680,1.8%,95328
681,1.8%,91326
682,1.8%,95148
683,1.8%,95621
684,1.8%,95558
