,white_pop_2014,zip
1359,55.6%,93624
1360,55.5%,90033
1361,55.5%,92780
1362,55.5%,94706
1363,55.4%,90601
1364,55.4%,92316
1365,55.4%,93722
1366,55.2%,91605
1367,55.2%,92335
1368,55.1%,92553
1369,54.9%,94534
1370,54.8%,91030
1371,54.8%,95110
1372,54.7%,90260
1373,54.6%,92377
1374,54.5%,92612
1375,54.5%,93933
1376,54.4%,95548
1377,54.4%,95556
1378,54.3%,90041
1379,54.3%,90242
1380,54.3%,95317
1381,54.3%,95820
1382,54.2%,90712
1383,54.2%,95230
1384,54.1%,91786
1385,54.1%,95655
1386,54.1%,91103
1387,53.8%,93705
1388,53.8%,91762
1389,53.7%,91343
1390,53.7%,92105
1391,53.7%,92336
1392,53.7%,93042
1393,53.7%,92704
1394,53.6%,95742
1395,53.6%,90263
1396,53.6%,90650
1397,53.6%,92880
1398,53.5%,92708
1399,53.4%,95817
1400,53.4%,90621
1401,53.1%,94805
1402,53.1%,92509
1403,53.0%,92337
1404,52.9%,92801
1405,52.9%,90813
1406,52.8%,92239
1407,52.7%,93591
1408,52.6%,91914
1409,52.6%,94065
1410,52.6%,94590
1411,52.5%,95624
1412,52.5%,91913
1413,52.5%,95833
1414,52.4%,90032
1415,52.3%,94005
1416,52.1%,95377
1417,52.1%,95494
1418,52.1%,92782
1419,52.0%,90042
1420,51.9%,92618
1421,51.9%,95815
1422,51.9%,92823
1423,51.8%,91324
1424,51.8%,95209
1425,51.6%,90023
1426,51.6%,91010
1427,51.6%,95126
1428,51.5%,90710
1429,51.5%,94568
1430,51.4%,90073
1431,51.4%,92404
1432,51.3%,95205
1433,51.1%,95070
1434,51.1%,90089
1435,51.0%,95444
1436,51.0%,94922
1437,51.0%,91722
1438,51.0%,94303
1439,50.9%,94512
1440,50.9%,95136
1441,50.9%,91723
1442,50.9%,94609
1443,50.8%,94066
1444,50.7%,91731
1445,50.7%,91709
1446,50.6%,90602
1447,50.6%,94128
1448,50.5%,93726
1449,50.5%,95822
1450,50.4%,90680
1451,50.4%,94564
1452,50.4%,92411
1453,50.3%,94501
1454,50.2%,94572
1455,50.2%,95330
1456,50.2%,94541
1457,50.2%,93234
1458,50.0%,90606
1459,50.0%,95514
1460,49.9%,90001
1461,49.8%,90660
1462,49.7%,90755
1463,49.5%,90014
1464,49.3%,91304
1465,49.3%,94580
1466,49.2%,94803
1467,49.2%,92617
1468,49.1%,92868
1469,49.1%,91406
1470,49.0%,92201
1471,49.0%,92410
1472,49.0%,92145
1473,49.0%,92840
1474,48.9%,90280
1475,48.9%,92804
1476,48.8%,95207
1477,48.8%,94704
1478,48.7%,92555
1479,48.7%,94089
1480,48.7%,90094
1481,48.6%,94085
1482,48.5%,95341
1483,48.4%,90503
1484,48.4%,95736
1485,48.4%,90002
1486,48.4%,94086
1487,48.3%,94030
1488,48.2%,92121
1489,48.1%,92570
1490,48.0%,92551
1491,48.0%,92394
1492,47.9%,91732
1493,47.9%,94806
1494,47.8%,91746
1495,47.8%,93609
1496,47.7%,94801
1497,47.5%,94087
1498,47.4%,95831
1499,47.4%,95829
1500,47.4%,90250
1501,47.2%,92354
1502,47.2%,91402
1503,47.1%,93627
1504,47.0%,94578
1505,47.0%,90065
1506,46.9%,95537
1507,46.9%,92841
1508,46.7%,93634
1509,46.6%,94158
1510,46.5%,94552
1511,46.3%,94404
1512,46.3%,95639
1513,46.2%,96074
1514,46.2%,94121
1515,46.0%,94602
1516,45.8%,95758
1517,45.6%,94613
1518,45.6%,91745
1519,45.4%,95334
1520,45.3%,95111
1521,45.3%,94103
1522,45.1%,93517
1523,44.6%,90063
1524,44.5%,95112
1525,44.4%,93652
1526,44.4%,90807
1527,44.4%,92606
1528,44.3%,96113
1529,44.2%,92408
1530,44.0%,91108
1531,43.8%,94577
1532,43.7%,92139
1533,43.7%,95202
1534,43.7%,93543
1535,43.7%,90029
1536,43.6%,91791
1537,43.6%,94542
1538,43.5%,94608
1539,43.5%,94533
1540,43.4%,93701
1541,43.3%,94502
1542,43.3%,94503
1543,43.1%,90723
1544,43.1%,95051
1545,43.1%,91768
1546,43.0%,91708
1547,43.0%,91306
1548,43.0%,94102
1549,42.9%,91405
1550,42.8%,95653
1551,42.8%,95835
1552,42.8%,95138
1553,42.7%,94122
1554,42.6%,93727
1555,42.5%,92620
1556,42.5%,92602
1557,42.4%,95675
1558,42.3%,93703
1559,42.3%,91763
1560,42.2%,90623
1561,42.1%,91702
1562,42.1%,90806
1563,41.8%,90810
1564,41.5%,90221
1565,41.4%,94133
1566,41.3%,90501
1567,41.2%,93706
1568,41.2%,92401
1569,41.1%,90706
1570,40.9%,95113
1571,40.9%,95834
1572,40.8%,92274
1573,40.8%,90304
1574,40.6%,91330
1575,40.6%,90262
1576,40.3%,95838
1577,40.3%,92833
1578,40.2%,90038
1579,40.1%,92706
1580,40.1%,93656
1581,40.0%,90504
1582,39.9%,94804
1583,39.9%,90701
1584,39.8%,94565
1585,39.6%,94544
1586,39.6%,90222
1587,39.5%,95697
1588,39.5%,94531
1589,39.5%,95135
1590,39.4%,95116
1591,39.4%,95568
1592,39.4%,95824
1593,39.0%,91790
1594,38.9%,92283
1595,38.9%,92254
1596,38.8%,94579
1597,38.8%,94601
1598,38.7%,92683
1599,38.7%,92655
1600,38.6%,93552
1601,38.5%,92571
1602,38.5%,94720
1603,38.3%,92707
1604,38.3%,94591
1605,38.2%,94619
1606,38.2%,90059
1607,38.2%,90021
1608,38.2%,94132
1609,38.1%,94536
1610,38.1%,94116
1611,38.1%,94080
1612,37.9%,93623
1613,37.9%,94560
1614,37.9%,94582
1615,37.8%,92126
1616,37.5%,90031
1617,37.5%,94589
1618,37.5%,94130
1619,37.2%,90019
1620,37.2%,95699
1621,37.1%,95823
1622,36.3%,95127
1623,36.2%,90502
1624,36.2%,95122
1625,35.9%,95828
1626,35.8%,94585
1627,35.8%,92327
1628,35.7%,92236
1629,35.6%,91006
1630,35.6%,91706
1631,35.5%,95206
1632,35.4%,95210
1633,35.4%,90058
1634,35.2%,93721
1635,35.1%,93550
1636,35.0%,90301
1637,35.0%,90061
1638,34.6%,90715
1639,34.5%,90004
1640,34.5%,92703
1641,34.4%,90220
1642,34.1%,92843
1643,34.0%,91765
1644,33.9%,93702
1645,33.9%,95391
1646,33.8%,90745
1647,33.7%,92113
1648,33.6%,91775
1649,33.2%,94545
1650,33.2%,95757
1651,33.1%,93628
1652,33.0%,90805
1653,32.9%,95832
1654,32.9%,93725
1655,32.9%,95134
1656,32.5%,94108
1657,32.5%,95212
1658,32.5%,93616
1659,32.1%,94538
1660,32.0%,90013
1661,31.9%,94612
1662,31.7%,90015
1663,31.7%,95121
1664,31.1%,90248
1665,31.0%,95014
1666,30.8%,92059
1667,30.6%,90017
1668,30.6%,94112
1669,30.3%,94603
1670,29.7%,91007
1671,29.4%,90044
1672,29.3%,90011
1673,29.3%,95129
1674,28.9%,96136
1675,28.9%,95054
1676,28.8%,90007
1677,28.5%,90012
1678,28.5%,90016
1679,28.0%,90302
1680,27.7%,94621
1681,27.4%,94605
1682,27.3%,91780
1683,27.2%,90303
1684,27.1%,94547
1685,27.1%,92844
1686,27.1%,91792
1687,27.0%,90249
1688,26.4%,95637
1689,26.4%,91803
1690,26.3%,91789
1691,25.6%,96126
1692,25.5%,94607
1693,25.1%,94014
1694,25.0%,94964
1695,25.0%,90020
1696,24.7%,94606
1697,24.1%,91748
1698,24.1%,90247
1699,23.6%,95133
1700,23.5%,90703
1701,23.4%,92114
1702,23.2%,90057
1703,22.9%,91801
1704,22.9%,94015
1705,22.9%,91770
1706,22.4%,90003
1707,21.9%,95132
1708,21.5%,95148
1709,21.2%,94587
1710,21.0%,94555
1711,20.3%,90018
1712,20.3%,95035
1713,20.2%,94134
1714,20.1%,91754
1715,20.1%,90037
1716,19.7%,90010
1717,19.6%,90005
1718,19.3%,94539
1719,18.1%,90006
1720,17.7%,91776
1721,17.1%,91755
1722,17.0%,90746
1723,16.9%,90043
1724,16.2%,94124
1725,16.1%,90047
1726,16.0%,90062
1727,15.8%,95131
1728,13.3%,95546
1729,12.2%,90008
1730,12.0%,90056
1731,11.8%,95981
1732,9.7%,90305
