,white_pop_2014,zip
319,90.0%,96143
320,90.0%,93529
321,89.9%,92536
322,89.9%,95662
323,89.9%,95324
324,89.8%,95003
325,89.8%,96034
326,89.8%,95563
327,89.8%,91935
328,89.8%,95389
329,89.8%,92661
330,89.8%,96148
331,89.7%,93022
332,89.7%,95667
333,89.7%,95385
334,89.7%,95466
335,89.7%,95542
336,89.6%,94516
337,89.6%,92014
338,89.5%,92285
339,89.5%,93422
340,89.5%,94930
341,89.5%,95423
342,89.4%,94507
343,89.4%,93562
344,89.4%,96009
345,89.3%,93267
346,89.3%,96022
347,89.3%,92065
348,89.3%,96073
349,89.2%,95607
350,89.2%,96041
351,89.2%,95361
352,89.1%,93561
353,89.1%,93243
354,89.1%,93441
355,89.1%,94599
356,89.1%,95681
357,89.1%,90272
358,89.1%,95322
359,89.1%,95410
360,89.0%,92273
361,89.0%,96003
362,89.0%,96038
363,89.0%,93953
364,88.8%,95603
365,88.8%,95547
366,88.8%,92024
367,88.8%,95460
368,88.7%,93268
369,88.7%,93221
370,88.7%,96128
371,88.6%,93621
372,88.6%,96052
373,88.6%,95258
374,88.6%,95366
375,88.5%,90290
376,88.5%,96055
377,88.5%,94960
378,88.5%,92561
379,88.5%,93426
380,88.4%,94939
381,88.4%,96025
382,88.4%,95922
383,88.4%,94060
384,88.4%,95642
385,88.3%,95490
386,88.2%,95432
387,88.2%,95323
388,88.2%,92210
389,88.2%,93420
390,88.2%,95971
391,88.1%,95320
392,88.1%,92004
393,88.1%,95255
394,88.1%,90402
395,88.1%,92678
396,88.1%,95558
397,88.0%,91901
398,88.0%,92008
399,88.0%,92625
400,88.0%,95345
401,87.9%,96028
402,87.9%,94904
403,87.9%,93653
404,87.9%,93921
405,87.8%,92352
406,87.8%,95421
407,87.8%,96051
408,87.7%,92590
409,87.7%,93201
410,87.7%,95963
411,87.7%,95467
412,87.6%,95975
413,87.6%,95439
414,87.6%,95472
415,87.6%,95987
416,87.6%,96019
417,87.6%,92315
418,87.6%,95565
419,87.5%,92040
420,87.5%,95837
421,87.5%,95013
422,87.5%,96080
423,87.5%,90254
424,87.5%,91436
425,87.5%,95979
426,87.4%,95717
427,87.4%,95916
428,87.3%,93218
429,87.3%,95379
430,87.3%,90077
431,87.2%,95628
432,87.2%,93287
433,87.2%,96058
434,87.2%,92356
435,87.2%,94528
436,87.2%,93461
437,87.1%,96122
438,87.1%,95663
439,87.1%,96035
440,87.0%,94028
441,87.0%,95446
442,86.9%,93602
443,86.8%,95450
444,86.8%,96047
445,86.8%,93636
446,86.8%,92663
447,86.8%,95065
448,86.7%,94971
449,86.7%,92325
450,86.7%,96054
451,86.7%,95326
452,86.7%,95338
453,86.6%,95555
454,86.5%,93545
455,86.5%,95436
456,86.5%,93928
457,86.4%,95030
458,86.4%,95973
459,86.4%,91906
460,86.4%,92342
461,86.3%,95220
462,86.3%,93465
463,86.3%,96023
464,86.2%,95066
465,86.2%,90210
466,86.2%,93460
467,86.2%,95977
468,86.2%,93908
469,86.1%,90265
470,86.1%,92281
471,86.1%,95409
472,86.1%,95525
473,86.1%,95519
474,86.1%,93109
475,86.1%,96031
476,86.0%,95560
477,86.0%,96094
478,85.9%,91361
479,85.8%,95306
480,85.8%,92358
481,85.8%,93546
482,85.7%,95004
483,85.7%,93402
484,85.7%,92066
485,85.7%,95462
486,85.7%,93308
487,85.7%,95819
488,85.7%,92660
489,85.7%,93950
490,85.7%,92264
491,85.6%,92010
492,85.6%,95437
493,85.6%,96001
494,85.5%,93518
495,85.4%,93206
496,85.4%,93514
497,85.3%,92103
498,85.3%,94938
499,85.3%,94941
500,85.3%,94526
501,85.3%,92371
502,85.3%,91916
503,85.2%,90049
504,85.2%,93604
505,85.2%,96076
506,85.2%,92029
507,85.2%,95360
508,85.1%,93105
509,85.1%,95543
510,85.1%,95551
511,85.1%,94576
512,85.1%,92321
513,85.1%,96050
514,85.0%,95493
515,85.0%,92106
516,85.0%,95690
517,85.0%,95329
518,85.0%,92629
519,85.0%,96024
520,84.9%,92173
521,84.9%,95648
522,84.8%,93640
523,84.8%,91301
524,84.8%,94505
525,84.7%,95485
526,84.7%,93263
527,84.7%,93440
528,84.7%,94517
529,84.7%,95417
530,84.7%,90403
531,84.6%,95554
532,84.6%,95043
533,84.6%,95062
534,84.6%,92260
535,84.6%,90742
536,84.6%,96093
537,84.5%,95242
538,84.5%,93401
539,84.5%,93463
540,84.5%,95928
541,84.4%,90803
542,84.4%,93223
543,84.4%,95677
544,84.4%,92211
545,84.4%,93668
546,84.3%,93444
547,84.3%,95010
548,84.3%,92084
549,84.2%,92011
550,84.2%,92637
551,84.2%,92256
552,84.2%,94558
553,84.2%,95380
554,84.1%,94595
555,84.1%,95073
556,84.1%,93638
557,84.1%,93620
558,84.0%,94129
559,84.0%,96106
560,83.9%,95960
561,83.9%,94549
562,83.8%,92624
563,83.8%,92119
564,83.8%,95023
565,83.8%,93675
566,83.8%,95661
567,83.7%,90704
568,83.7%,95912
569,83.7%,96021
570,83.6%,93455
571,83.6%,94123
572,83.6%,92025
573,83.6%,92539
574,83.6%,93930
575,83.6%,93277
576,83.5%,92009
577,83.5%,95988
578,83.4%,93510
579,83.4%,92679
580,83.4%,92308
581,83.3%,95319
582,83.3%,93641
583,83.3%,94062
584,83.3%,93256
585,83.2%,95521
586,83.1%,95552
587,83.1%,95405
588,83.0%,92365
589,83.0%,95503
590,83.0%,95470
591,83.0%,90067
592,82.9%,92227
593,82.9%,93203
594,82.9%,92071
595,82.9%,91302
596,82.9%,95638
597,82.8%,91040
598,82.8%,95926
599,82.8%,92253
600,82.7%,93250
601,82.7%,95570
602,82.7%,93274
603,82.7%,94947
604,82.7%,95246
605,82.7%,90266
606,82.6%,93446
607,82.6%,93615
608,82.5%,93283
609,82.4%,90245
610,82.4%,95746
611,82.4%,95464
612,82.4%,94925
613,82.4%,95672
614,82.3%,95683
615,82.3%,96002
616,82.3%,95476
617,82.2%,92305
618,82.2%,94550
619,82.2%,92399
620,82.1%,93530
621,82.1%,92026
622,82.1%,94952
623,82.0%,95346
624,81.9%,90211
625,81.9%,95621
626,81.9%,95420
627,81.9%,94574
628,81.8%,94027
629,81.8%,94708
630,81.8%,91377
631,81.8%,90048
632,81.8%,92037
633,81.8%,93314
634,81.7%,93286
635,81.7%,95585
636,81.7%,95610
637,81.7%,93433
638,81.7%,93643
639,81.7%,92586
640,81.7%,95540
641,81.7%,94525
642,81.6%,95457
643,81.6%,92673
644,81.6%,91604
645,81.6%,92691
646,81.5%,93258
647,81.5%,92692
648,81.5%,91423
649,81.5%,95249
650,81.4%,93247
651,81.4%,92252
652,81.3%,95425
653,81.3%,92075
654,81.3%,93266
655,81.3%,94559
656,81.2%,91403
657,81.2%,94707
658,81.2%,95762
659,81.1%,96088
660,81.1%,93292
661,81.1%,93004
662,81.1%,90740
663,81.1%,95595
664,81.1%,94951
665,81.0%,93003
666,80.9%,93219
667,80.9%,91316
668,80.9%,94019
669,80.8%,92082
670,80.8%,95686
671,80.8%,95431
672,80.8%,93622
673,80.8%,95060
674,80.7%,94515
675,80.7%,92587
676,80.7%,91741
677,80.7%,92518
678,80.7%,95674
679,80.7%,92506
680,80.7%,92672
681,80.7%,93901
682,80.6%,93667
683,80.6%,93905
684,80.6%,91362
685,80.5%,94705
686,80.5%,92284
687,80.5%,96097
688,80.5%,92021
689,80.5%,92028
690,80.5%,92646
691,80.5%,93252
692,80.4%,94586
693,80.3%,94931
694,80.3%,95415
695,80.3%,92120
696,80.3%,90270
697,80.3%,93013
698,80.2%,95453
699,80.1%,92548
700,80.1%,94596
701,80.1%,90292
702,80.0%,92110
703,80.0%,95951
704,80.0%,90743
705,80.0%,93637
706,80.0%,93730
707,80.0%,90291
708,80.0%,93001
709,80.0%,90046
710,79.9%,93257
711,79.9%,94954
712,79.9%,95608
713,79.9%,94114
714,79.8%,95935
715,79.8%,94563
716,79.7%,95864
717,79.7%,95482
718,79.7%,96032
719,79.6%,95451
720,79.6%,92083
721,79.6%,92805
722,79.5%,92278
723,79.5%,93312
724,79.5%,94598
725,79.4%,95312
726,79.3%,95382
727,79.3%,92648
728,79.3%,95573
729,79.3%,95641
730,79.3%,95919
731,79.3%,91201
732,79.2%,92307
733,79.2%,92694
734,79.2%,95303
735,79.2%,94070
736,79.2%,93230
737,79.2%,93241
738,79.2%,93280
739,79.1%,91207
740,79.1%,93940
741,79.1%,95626
742,79.0%,93065
743,79.0%,95640
744,79.0%,95816
745,78.9%,90405
746,78.9%,92257
747,78.9%,93235
748,78.9%,95367
749,78.8%,92078
750,78.8%,93523
751,78.8%,95567
752,78.7%,92027
753,78.7%,90277
754,78.7%,93553
755,78.7%,95501
756,78.6%,92567
757,78.6%,93021
758,78.6%,92140
759,78.6%,92019
760,78.5%,95678
761,78.5%,95032
762,78.4%,95401
763,78.4%,93619
764,78.4%,91360
765,78.3%,95747
766,78.3%,93555
767,78.3%,92086
768,78.3%,90069
769,78.3%,95765
770,78.2%,94965
771,78.2%,96150
772,78.2%,95659
773,78.1%,93291
774,78.1%,92688
775,78.1%,96086
776,78.0%,95448
777,78.0%,93606
778,78.0%,95404
779,78.0%,93635
780,78.0%,95966
781,77.9%,93618
782,77.9%,94553
783,77.9%,90212
784,77.8%,91202
785,77.8%,94903
786,77.7%,92649
787,77.6%,93063
788,77.5%,91934
789,77.5%,91607
790,77.4%,94571
791,77.4%,93012
792,77.4%,91046
793,77.3%,92064
794,77.3%,92544
795,77.3%,92677
796,77.3%,95531
797,77.3%,93254
798,77.3%,92504
799,77.2%,93608
800,77.1%,90068
801,77.1%,95606
802,77.1%,93111
803,77.1%,93711
804,77.1%,91364
805,77.1%,91390
806,77.1%,95350
807,77.0%,94949
808,77.0%,91320
809,77.0%,93036
810,77.0%,92657
811,77.0%,93512
812,77.0%,94551
813,76.9%,90401
814,76.9%,94945
815,76.9%,93526
816,76.9%,92705
817,76.8%,91941
818,76.8%,92003
819,76.7%,95492
820,76.6%,96084
821,76.6%,91352
822,76.6%,90814
823,76.5%,91208
824,76.5%,95950
825,76.5%,91911
