,Average Education Index 2000,zip
1,17.76,94305
2,17.12,95041
3,17.01,94708
4,17.00,94304
5,16.83,94707
6,16.83,94028
7,16.61,94709
8,16.59,94705
9,16.59,94301
10,16.51,95064
11,16.36,94027
12,16.33,90743
13,16.33,95618
14,16.33,94618
15,16.32,94022
16,16.31,94306
17,16.30,94563
18,16.27,92130
19,16.26,92121
20,16.26,92091
21,16.24,92014
22,16.23,94024
23,16.18,90077
24,16.17,90272
25,16.16,92657
26,16.14,94941
27,16.14,94920
28,16.13,90402
29,16.12,95497
30,16.05,95616
31,16.04,92037
32,16.03,90049
33,16.03,91108
34,16.01,94123
35,16.01,94704
36,16.00,92612
37,16.00,95030
38,15.99,95070
39,15.94,94939
40,15.90,94556
41,15.89,94129
42,15.89,92602
43,15.88,92122
44,15.88,90274
45,15.86,94065
46,15.86,90266
47,15.86,90024
48,15.85,94611
49,15.85,94549
50,15.82,95014
51,15.81,92067
52,15.81,93953
53,15.79,93634
54,15.77,94904
55,15.75,91011
56,15.75,90254
57,15.72,94114
58,15.72,92131
59,15.71,92625
60,15.70,93108
61,15.70,94507
62,15.66,94506
63,15.64,90290
64,15.61,94706
65,15.60,92660
66,15.58,94130
67,15.58,95120
68,15.57,94965
69,15.57,94105
70,15.57,94960
71,15.55,90293
72,15.55,91105
73,15.54,90265
74,15.53,94970
75,15.50,94598
76,15.49,92662
77,15.49,90403
78,15.46,90292
79,15.46,94925
80,15.45,94117
81,15.45,94131
82,15.45,90275
83,15.45,95033
84,15.44,92614
85,15.43,92861
86,15.42,90212
87,15.42,94404
88,15.41,93921
89,15.41,94963
90,15.41,92651
91,15.41,91436
92,15.39,91302
93,15.39,92782
94,15.39,95410
95,15.36,94610
96,15.35,95032
97,15.33,94526
98,15.33,95524
99,15.32,92661
100,15.31,90803
101,15.29,91030
102,15.29,94087
103,15.29,92620
104,15.28,94539
105,15.27,93923
106,15.27,92075
107,15.26,94025
108,15.24,90056
109,15.21,95129
110,15.21,90405
111,15.21,94530
112,15.20,94933
113,15.20,91361
114,15.19,93645
115,15.19,92679
116,15.19,90036
117,15.19,94929
118,15.17,94956
119,15.17,91377
120,15.17,91711
121,15.16,92009
122,15.16,92118
123,15.15,94020
124,15.14,94010
125,15.14,94502
126,15.13,92606
127,15.11,94037
128,15.11,90742
129,15.10,94583
130,15.10,94596
131,15.10,94924
132,15.10,94703
133,15.09,95762
134,15.09,94062
135,15.08,91604
136,15.08,90068
137,15.06,90277
138,15.06,94973
139,15.05,94950
140,15.05,94002
141,15.05,91024
142,15.05,95746
143,15.04,92887
144,15.04,94127
145,15.04,94040
146,15.04,95456
147,15.04,94115
148,15.03,90210
149,15.03,91364
150,15.01,92128
151,15.01,92127
152,15.00,95480
153,14.99,92663
154,14.99,91301
155,14.98,94930
156,14.98,94111
157,14.98,92610
158,14.98,90069
159,14.97,94552
160,14.96,91403
161,14.96,94070
162,14.95,92129
163,14.94,94588
164,14.94,92109
165,14.94,94508
166,14.94,94576
167,14.93,93109
168,14.93,94107
169,14.93,94402
170,14.93,92108
171,14.92,93924
172,14.92,92604
173,14.92,92106
174,14.91,95318
175,14.91,95765
176,14.91,94595
177,14.90,95864
178,14.90,92677
179,14.89,90025
180,14.89,95819
181,14.89,92103
182,14.89,95432
183,14.88,90064
184,14.88,92124
185,14.88,90211
186,14.88,94043
187,14.88,96146
188,14.87,92656
189,14.87,95003
190,14.87,95972
191,14.87,92808
192,14.86,92321
193,14.86,91208
194,14.84,91106
195,14.84,95463
196,14.83,94041
197,14.82,94118
198,14.82,95135
199,14.82,92007
200,14.82,94586
201,14.81,91362
202,14.81,92518
203,14.81,91326
204,14.80,93603
205,14.80,92024
206,14.79,95452
207,14.78,93105
