,Average Education Index 2014,zip
355,14.69,96125
356,14.68,96140
357,14.68,92646
358,14.67,95747
359,14.67,92648
360,14.67,95956
361,14.67,90034
362,14.67,92354
363,14.66,90232
364,14.66,93920
365,14.66,95959
366,14.66,91914
367,14.66,93111
368,14.66,94956
369,14.65,94586
370,14.65,95472
371,14.65,94613
372,14.65,91789
373,14.65,95405
374,14.65,91784
375,14.65,95005
376,14.65,92823
377,14.64,95131
378,14.63,96067
379,14.63,93110
380,14.63,95018
381,14.63,91765
382,14.62,95558
383,14.62,94121
384,14.62,91741
385,14.62,92305
386,14.62,94945
387,14.61,92352
388,14.61,95630
389,14.61,92637
390,14.61,93908
391,14.61,95831
392,14.61,96161
393,14.61,95073
394,14.61,91355
395,14.60,95139
396,14.60,90010
397,14.60,90066
398,14.60,91356
399,14.60,93271
400,14.59,92549
401,14.59,92008
402,14.58,93208
403,14.58,95614
404,14.58,91001
405,14.58,90808
406,14.58,95452
407,14.58,94602
408,14.57,93720
409,14.57,95446
410,14.57,93449
411,14.56,90230
412,14.55,94044
413,14.55,92672
414,14.54,91709
415,14.54,94501
416,14.54,93402
417,14.54,91007
418,14.54,92624
419,14.54,91020
420,14.53,91941
421,14.52,96111
422,14.52,94550
423,14.52,94019
424,14.52,95942
425,14.51,94005
426,14.51,94110
427,14.51,95017
428,14.51,91915
429,14.51,92140
430,14.50,92397
431,14.49,95062
432,14.49,94030
433,14.49,92807
434,14.49,92211
435,14.49,93711
436,14.48,95391
437,14.48,95722
438,14.48,95661
439,14.48,96103
440,14.48,94947
441,14.47,92653
442,14.47,95628
443,14.47,95006
444,14.47,91607
445,14.46,93664
446,14.46,94547
447,14.46,92506
448,14.46,95219
449,14.46,96073
450,14.45,93651
451,14.45,95650
452,14.45,92691
453,14.44,90027
454,14.44,91737
455,14.44,95254
456,14.44,92126
457,14.43,95663
458,14.43,93442
459,14.43,94599
460,14.43,95936
461,14.42,93430
462,14.42,95926
463,14.42,92821
464,14.42,94534
465,14.41,92310
466,14.41,94085
467,14.41,95010
468,14.40,95946
469,14.40,95456
470,14.40,95471
471,14.39,95835
472,14.39,94542
473,14.38,95462
474,14.38,90623
475,14.38,91739
476,14.38,94536
477,14.37,94521
478,14.37,91775
479,14.36,90630
480,14.36,94132
481,14.36,95608
482,14.35,93420
483,14.35,95658
484,14.35,93463
485,14.35,93117
486,14.34,92561
487,14.34,94619
488,14.34,94538
489,14.33,94089
490,14.33,92626
491,14.33,95442
492,14.33,96092
493,14.32,94950
494,14.32,95421
495,14.32,95404
496,14.32,91390
497,14.32,91360
498,14.31,95345
499,14.31,95050
500,14.30,95928
501,14.30,91750
502,14.29,93928
503,14.29,91773
504,14.28,91902
505,14.28,95655
506,14.28,95136
507,14.27,93003
508,14.27,90807
509,14.27,93605
510,14.27,96136
511,14.27,95903
512,14.26,94951
513,14.26,91505
514,14.26,95118
515,14.26,92123
516,14.25,93932
517,14.25,93604
518,14.25,92029
519,14.25,91311
520,14.25,94574
521,14.25,92104
522,14.24,91350
523,14.24,95436
524,14.24,95938
525,14.24,95126
526,14.24,95573
527,14.23,95247
528,14.23,93311
529,14.23,95556
530,14.23,93437
531,14.23,95227
532,14.22,95119
533,14.22,92630
534,14.22,92592
535,14.22,94551
536,14.21,95223
537,14.21,91501
538,14.21,95410
539,14.21,94505
540,14.21,92327
541,14.21,93523
542,14.21,95450
543,14.20,94535
544,14.20,90041
545,14.20,93529
546,14.20,95549
547,14.20,93010
548,14.20,92264
549,14.19,90039
550,14.19,96024
551,14.19,92321
552,14.19,94952
553,14.18,92117
554,14.17,95426
555,14.17,95648
556,14.17,91962
557,14.16,94303
558,14.16,93312
559,14.15,95468
560,14.15,92382
561,14.15,90732
562,14.14,95258
563,14.14,93634
564,14.14,92036
565,14.14,91506
566,14.14,93962
567,14.14,91913
568,14.13,91934
569,14.13,95701
570,14.13,93023
571,14.12,95949
572,14.12,95637
573,14.12,94803
574,14.12,91325
575,14.12,92253
576,14.11,92708
577,14.11,92705
578,14.11,94116
579,14.10,95918
580,14.10,95677
581,14.10,93465
582,14.10,94518
583,14.10,90305
584,14.09,93460
585,14.09,92562
586,14.09,94901
587,14.09,91942
588,14.09,92518
589,14.08,92845
590,14.08,91202
591,14.08,95612
592,14.07,95037
593,14.07,95128
594,14.06,93021
595,14.06,95682
596,14.06,92078
597,14.06,95758
598,14.06,93004
599,14.06,95461
600,14.05,93066
601,14.05,95651
602,14.05,92147
603,14.05,92883
604,14.05,92003
605,14.05,94074
606,14.04,93265
607,14.04,91206
608,14.04,95035
609,14.04,92831
610,14.04,93222
611,14.03,95417
612,14.02,94931
613,14.02,92386
614,14.01,95973
615,14.01,95757
616,14.01,92508
617,14.01,93611
618,14.01,94525
619,14.00,95675
620,14.00,90504
621,14.00,95811
622,14.00,92364
623,14.00,94972
624,14.00,95981
