,Median_Rent_2014,zip
290,"$1,616",94549
291,"$1,615",92708
292,"$1,613",90630
293,"$1,613",95046
294,"$1,612",91978
295,"$1,610",94402
296,"$1,609",90025
297,"$1,609",95757
298,"$1,607",94933
299,"$1,606",92555
300,"$1,606",94010
301,"$1,604",92869
302,"$1,604",95010
303,"$1,602",91214
304,"$1,601",92057
305,"$1,601",92587
306,"$1,600",90720
307,"$1,600",92106
308,"$1,595",95683
309,"$1,594",95829
310,"$1,591",94401
311,"$1,588",94503
312,"$1,586",94002
313,"$1,585",93551
314,"$1,584",94116
315,"$1,583",90620
316,"$1,583",91737
317,"$1,582",94574
318,"$1,578",95124
319,"$1,577",90742
320,"$1,576",90740
321,"$1,576",95033
322,"$1,574",92881
323,"$1,574",93312
324,"$1,573",93103
325,"$1,571",92648
326,"$1,571",92868
327,"$1,570",90069
328,"$1,570",94560
329,"$1,569",90815
330,"$1,568",95701
331,"$1,564",94930
332,"$1,564",95127
333,"$1,563",91403
334,"$1,563",93449
335,"$1,563",94954
336,"$1,562",92676
337,"$1,562",94937
338,"$1,561",91208
339,"$1,561",92056
340,"$1,559",93455
341,"$1,558",92344
342,"$1,558",95212
343,"$1,557",92865
344,"$1,557",94062
345,"$1,555",90245
346,"$1,554",94547
347,"$1,552",90401
348,"$1,552",94597
349,"$1,550",94536
350,"$1,549",91741
351,"$1,547",90405
352,"$1,544",92821
353,"$1,543",94960
354,"$1,541",91202
355,"$1,541",92870
356,"$1,539",94020
357,"$1,539",94551
358,"$1,539",95228
359,"$1,538",91344
360,"$1,534",90505
361,"$1,533",91390
362,"$1,531",90230
363,"$1,530",90638
364,"$1,528",94516
365,"$1,528",95008
366,"$1,527",95722
367,"$1,526",95648
368,"$1,525",94080
369,"$1,524",94305
370,"$1,522",94121
371,"$1,522",95060
372,"$1,521",91006
373,"$1,517",94618
374,"$1,516",94514
375,"$1,513",94587
376,"$1,512",91505
377,"$1,510",92595
378,"$1,508",90623
379,"$1,508",92008
380,"$1,505",93004
381,"$1,505",95946
382,"$1,504",91935
383,"$1,504",94523
384,"$1,503",92806
385,"$1,502",91773
386,"$1,501",95619
387,"$1,500",95064
388,"$1,500",95681
389,"$1,499",95125
390,"$1,495",94585
391,"$1,494",93003
392,"$1,493",95117
393,"$1,492",93041
394,"$1,491",95110
395,"$1,484",90503
396,"$1,484",91423
397,"$1,482",93552
398,"$1,482",94005
399,"$1,481",92867
400,"$1,481",94521
401,"$1,480",92647
402,"$1,480",95471
403,"$1,478",95903
404,"$1,476",92064
405,"$1,474",95330
406,"$1,473",92845
407,"$1,473",93010
408,"$1,471",90715
409,"$1,470",90232
410,"$1,469",92562
411,"$1,469",93955
412,"$1,469",94014
413,"$1,467",95624
414,"$1,466",92707
415,"$1,463",91351
416,"$1,463",93110
417,"$1,463",94579
418,"$1,462",90056
419,"$1,460",93463
420,"$1,460",94530
421,"$1,455",91316
422,"$1,453",90712
423,"$1,453",91792
424,"$1,453",94112
425,"$1,452",93543
426,"$1,452",94542
427,"$1,451",95050
428,"$1,451",95467
429,"$1,450",93117
430,"$1,450",94550
431,"$1,449",95122
432,"$1,448",95655
433,"$1,447",93950
434,"$1,447",94110
435,"$1,446",93636
436,"$1,445",92078
437,"$1,445",92627
438,"$1,444",93013
439,"$1,444",94580
440,"$1,444",95062
441,"$1,443",90068
442,"$1,442",91501
443,"$1,439",91001
444,"$1,439",94519
445,"$1,439",95758
446,"$1,438",91602
447,"$1,437",93940
448,"$1,437",94558
449,"$1,435",92120
450,"$1,434",90066
451,"$1,434",92019
452,"$1,434",95006
453,"$1,433",92109
454,"$1,433",92305
455,"$1,433",92637
456,"$1,432",93314
457,"$1,432",94038
458,"$1,432",95126
459,"$1,432",96161
460,"$1,431",94545
461,"$1,430",91024
462,"$1,430",95073
463,"$1,429",92337
464,"$1,429",94596
465,"$1,428",92591
466,"$1,427",90404
467,"$1,427",90808
468,"$1,427",94109
469,"$1,427",94586
470,"$1,426",91207
471,"$1,425",94709
472,"$1,425",95835
473,"$1,424",94901
474,"$1,424",94971
475,"$1,422",91106
476,"$1,421",92342
477,"$1,421",93022
478,"$1,419",92119
479,"$1,417",91311
480,"$1,417",92704
481,"$1,416",95630
482,"$1,415",92780
483,"$1,414",95650
484,"$1,413",95409
485,"$1,412",93444
486,"$1,412",95687
487,"$1,411",92253
488,"$1,409",92061
489,"$1,409",94561
490,"$1,409",95765
491,"$1,408",92879
492,"$1,407",91730
493,"$1,407",92571
494,"$1,407",92833
495,"$1,406",94946
496,"$1,403",90046
497,"$1,402",90034
498,"$1,399",91324
499,"$1,397",93101
500,"$1,397",93611
501,"$1,396",91107
502,"$1,395",92029
503,"$1,395",95618
504,"$1,394",91030
505,"$1,394",94553
506,"$1,394",95747
507,"$1,393",92333
508,"$1,392",91007
509,"$1,392",94564
510,"$1,390",94518
511,"$1,390",95368
512,"$1,388",92835
513,"$1,387",92321
514,"$1,387",95949
515,"$1,385",92844
516,"$1,385",93405
517,"$1,382",90701
518,"$1,382",92705
519,"$1,382",95128
520,"$1,381",91701
521,"$1,380",91740
522,"$1,380",95130
523,"$1,379",91750
524,"$1,379",92117
525,"$1,379",93313
526,"$1,378",95252
527,"$1,377",91722
528,"$1,377",95133
529,"$1,376",92139
530,"$1,375",94595
531,"$1,375",95405
532,"$1,374",91101
533,"$1,370",93311
534,"$1,370",95626
535,"$1,369",94546
536,"$1,367",92585
537,"$1,366",92110
538,"$1,366",94619
539,"$1,363",92551
540,"$1,362",90504
541,"$1,362",94510
542,"$1,361",90502
543,"$1,361",92866
544,"$1,359",91790
545,"$1,359",94591
546,"$1,358",92071
547,"$1,357",90803
548,"$1,356",95020
549,"$1,355",92683
550,"$1,353",90745
551,"$1,353",94063
552,"$1,352",92145
553,"$1,351",90240
554,"$1,351",94501
555,"$1,351",95843
556,"$1,350",90260
557,"$1,350",94548
558,"$1,350",94705
559,"$1,347",93066
560,"$1,346",93428
561,"$1,345",91711
562,"$1,345",94608
563,"$1,343",92582
564,"$1,340",95005
565,"$1,340",96145
566,"$1,339",90704
567,"$1,339",91746
568,"$1,339",92841
569,"$1,338",91321
570,"$1,338",92066
571,"$1,338",94589
572,"$1,338",94704
573,"$1,337",92557
574,"$1,337",95688
575,"$1,335",91504
576,"$1,335",92703
577,"$1,334",91724
578,"$1,334",91748
579,"$1,334",94952
580,"$1,333",92081
581,"$1,333",95304
582,"$1,332",93222
583,"$1,332",95452
584,"$1,331",92154
585,"$1,330",90039
586,"$1,330",92840
587,"$1,328",91010
588,"$1,328",91020
589,"$1,328",92655
590,"$1,327",90621
591,"$1,327",93720
592,"$1,326",91201
593,"$1,326",92801
594,"$1,321",91345
595,"$1,320",92107
596,"$1,320",92805
597,"$1,318",90650
598,"$1,318",91710
599,"$1,316",94133
600,"$1,315",96062
601,"$1,313",91342
602,"$1,312",95975
603,"$1,311",91761
604,"$1,311",92111
605,"$1,311",95220
606,"$1,310",91016
607,"$1,310",93402
608,"$1,309",91506
609,"$1,309",92832
610,"$1,308",93036
611,"$1,308",93430
612,"$1,307",92804
613,"$1,307",95403
614,"$1,307",95819
615,"$1,306",90631
616,"$1,306",93441
617,"$1,305",91325
618,"$1,303",94703
619,"$1,302",93523
620,"$1,302",94544
621,"$1,300",93626
622,"$1,300",95045
623,"$1,300",95476
624,"$1,298",94803
625,"$1,297",92270
626,"$1,297",95004
627,"$1,295",91916
628,"$1,295",94928
629,"$1,295",95233
630,"$1,292",91331
631,"$1,292",92831
632,"$1,292",94565
633,"$1,292",95432
634,"$1,292",95615
635,"$1,291",95677
636,"$1,290",93536
637,"$1,290",93907
638,"$1,289",91942
639,"$1,289",95448
640,"$1,287",94951
641,"$1,286",93604
642,"$1,286",94710
643,"$1,284",90680
644,"$1,284",91901
645,"$1,283",91755
646,"$1,283",92802
647,"$1,282",92101
648,"$1,282",95111
649,"$1,282",95436
650,"$1,282",95864
651,"$1,281",91780
652,"$1,280",94931
653,"$1,279",90605
654,"$1,279",93518
655,"$1,279",95977
656,"$1,278",91607
657,"$1,278",93420
658,"$1,278",95023
659,"$1,278",95663
660,"$1,276",91206
661,"$1,275",95662
662,"$1,274",90601
663,"$1,274",91104
664,"$1,274",91203
665,"$1,274",93030
666,"$1,273",91764
667,"$1,272",92026
668,"$1,272",95465
669,"$1,271",95376
670,"$1,268",95472
671,"$1,268",95631
672,"$1,267",95442
673,"$1,266",91384
674,"$1,266",91791
675,"$1,266",95407
676,"$1,263",90670
677,"$1,263",93023
678,"$1,263",94610
679,"$1,262",93033
680,"$1,261",93442
681,"$1,261",95017
682,"$1,259",91744
683,"$1,257",94571
684,"$1,256",91601
685,"$1,255",91502
686,"$1,255",92003
687,"$1,251",91776
688,"$1,250",91775
689,"$1,250",95401
690,"$1,249",92203
691,"$1,248",92382
692,"$1,246",91356
693,"$1,246",92843
694,"$1,245",92882
695,"$1,244",95678
696,"$1,243",91752
697,"$1,243",92276
698,"$1,243",95469
699,"$1,243",95661
700,"$1,242",94973
701,"$1,241",91103
702,"$1,241",92065
703,"$1,239",92211
704,"$1,238",95076
705,"$1,238",95247
706,"$1,236",92536
707,"$1,235",90660
708,"$1,235",94541
709,"$1,234",91303
710,"$1,234",94577
711,"$1,233",90242
712,"$1,233",90604
713,"$1,233",95363
714,"$1,232",91801
715,"$1,232",91941
716,"$1,232",92310
717,"$1,231",90606
718,"$1,231",90717
719,"$1,231",92054
720,"$1,230",93001
721,"$1,230",93906
722,"$1,230",95116
723,"$1,229",94805
724,"$1,228",91977
725,"$1,226",91754
726,"$1,225",92392
727,"$1,225",93401
728,"$1,223",92069
729,"$1,222",94559
730,"$1,222",94611
731,"$1,221",96141
732,"$1,220",95357
733,"$1,220",95404
734,"$1,219",90027
735,"$1,219",94702
736,"$1,216",90305
737,"$1,216",92505
738,"$1,216",95209
739,"$1,215",91205
740,"$1,215",91702
741,"$1,215",92278
742,"$1,214",92103
743,"$1,213",90501
744,"$1,211",91335
745,"$1,211",94509
746,"$1,210",91706
747,"$1,210",91911
748,"$1,210",93926
749,"$1,210",95002
750,"$1,208",92617
751,"$1,207",95112
752,"$1,204",90807
753,"$1,204",92114
754,"$1,202",91723
755,"$1,201",92084
756,"$1,201",92506
757,"$1,200",95329
758,"$1,200",95336
759,"$1,200",95668
760,"$1,199",90041
761,"$1,199",92083
762,"$1,199",94511
763,"$1,197",90241
764,"$1,197",91304
765,"$1,195",94134
766,"$1,195",95616
767,"$1,194",91932
768,"$1,191",92027
769,"$1,191",94520
770,"$1,190",92706
771,"$1,190",95918
772,"$1,190",96059
773,"$1,189",91910
774,"$1,189",95673
775,"$1,188",95237
776,"$1,187",90716
777,"$1,187",92394
778,"$1,186",93465
779,"$1,184",90814
780,"$1,184",94806
781,"$1,183",91340
782,"$1,183",91803
783,"$1,182",95337
784,"$1,181",91040
785,"$1,181",96084
786,"$1,180",95658
787,"$1,179",90723
788,"$1,179",91766
789,"$1,179",93932
790,"$1,179",94804
791,"$1,178",95251
792,"$1,177",90706
793,"$1,177",91401
794,"$1,175",90755
795,"$1,174",92313
796,"$1,174",95494
797,"$1,173",93453
798,"$1,171",93461
799,"$1,171",94578
800,"$1,171",95666
801,"$1,170",93933
802,"$1,169",90042
803,"$1,168",91770
804,"$1,168",94603
805,"$1,167",92040
806,"$1,167",95242
807,"$1,167",95717
808,"$1,166",91204
809,"$1,166",95039
810,"$1,165",91343
811,"$1,165",91786
812,"$1,165",92391
813,"$1,165",92503
814,"$1,161",91352
815,"$1,160",92553
816,"$1,159",91411
817,"$1,159",94602
818,"$1,158",93454
819,"$1,158",95485
820,"$1,157",92545
821,"$1,157",95524
822,"$1,157",95713
823,"$1,156",93446
824,"$1,155",91762
825,"$1,154",92509
826,"$1,154",92567
827,"$1,154",95620
828,"$1,153",91945
829,"$1,152",91306
830,"$1,152",93433
831,"$1,152",94533
832,"$1,152",95528
833,"$1,151",94515
834,"$1,150",93067
835,"$1,149",94572
836,"$1,148",92504
837,"$1,147",91042
838,"$1,147",95682
839,"$1,146",92358
840,"$1,145",92234
841,"$1,145",92372
842,"$1,145",93422
843,"$1,143",94609
844,"$1,142",90640
845,"$1,141",92115
846,"$1,139",93535
847,"$1,139",95372
848,"$1,138",93546
849,"$1,138",95634
850,"$1,137",90028
851,"$1,137",92397
852,"$1,137",93451
853,"$1,135",90019
854,"$1,135",92021
855,"$1,134",90248
856,"$1,134",95043
857,"$1,133",91962
858,"$1,133",92373
859,"$1,131",95831
860,"$1,130",91406
861,"$1,130",92530
862,"$1,130",95018
863,"$1,130",95425
864,"$1,130",95697
865,"$1,129",93927
866,"$1,126",95382
867,"$1,126",95959
868,"$1,125",90731
869,"$1,125",91606
870,"$1,125",93426
871,"$1,125",93723
872,"$1,125",94940
873,"$1,124",91732
874,"$1,124",92549
875,"$1,123",92374
876,"$1,123",93060
877,"$1,123",95356
878,"$1,123",95827
879,"$1,122",92025
880,"$1,122",93015
881,"$1,121",94605
882,"$1,121",95543
883,"$1,120",92116
884,"$1,120",93427
885,"$1,120",95421
886,"$1,120",95832
887,"$1,119",90020
888,"$1,119",90303
889,"$1,118",91767
890,"$1,118",92230
891,"$1,118",93591
892,"$1,118",95621
893,"$1,117",90804
894,"$1,117",93458
895,"$1,116",90012
