,house_median_value_2000,zip
287,"$355,700",92009
288,"$355,600",94089
289,"$355,000",92101
290,"$353,600",92007
291,"$351,900",92024
292,"$351,700",94080
293,"$351,700",95007
294,"$350,000",93623
295,"$350,000",96141
296,"$349,500",92121
297,"$348,600",94536
298,"$348,100",92131
299,"$347,800",90045
300,"$347,400",94015
301,"$347,300",94555
302,"$346,000",91202
303,"$345,400",92612
304,"$344,900",92649
305,"$344,500",92620
306,"$343,700",94952
307,"$342,000",91326
308,"$341,200",90066
309,"$341,200",94542
310,"$340,700",92107
311,"$340,600",92122
312,"$340,300",95005
313,"$339,400",95133
314,"$339,400",95460
315,"$338,000",92675
316,"$337,900",95121
317,"$337,300",94933
318,"$337,200",91006
319,"$337,200",92782
320,"$336,600",94063
321,"$335,700",90503
322,"$333,800",94599
323,"$333,600",94501
324,"$331,800",91316
325,"$329,400",94706
326,"$328,900",94568
327,"$328,900",95837
328,"$327,500",91381
329,"$327,100",92029
330,"$326,400",95112
331,"$326,000",94514
332,"$325,500",91501
333,"$323,600",91367
334,"$323,400",90814
335,"$323,100",90278
336,"$322,600",95127
337,"$322,300",95064
338,"$321,500",92835
339,"$321,300",90034
340,"$321,300",93424
341,"$320,900",92606
342,"$318,000",92823
343,"$317,800",94550
344,"$317,700",94112
345,"$317,400",90404
346,"$315,300",92808
347,"$314,600",94587
348,"$314,100",93449
349,"$313,300",92610
350,"$313,300",95410
351,"$313,100",90232
352,"$312,000",92692
353,"$311,700",95004
354,"$311,300",91107
355,"$310,400",92886
356,"$309,800",91935
357,"$309,700",93430
358,"$307,100",94014
359,"$305,700",92646
360,"$305,600",93428
361,"$304,200",91607
362,"$303,700",94560
363,"$302,500",93401
364,"$301,500",95111
365,"$301,400",96140
366,"$300,700",94508
367,"$300,500",95045
368,"$300,300",95476
369,"$300,000",91759
370,"$300,000",93925
371,"$300,000",95735
372,"$299,700",94538
373,"$299,400",91201
374,"$299,400",91902
375,"$299,100",90732
376,"$297,500",94602
377,"$297,400",95006
378,"$297,300",94515
379,"$296,400",92614
380,"$295,100",95404
381,"$294,600",94523
382,"$294,300",95110
383,"$293,500",94703
384,"$293,200",92008
385,"$292,500",94530
386,"$291,500",90230
387,"$291,200",92129
388,"$291,000",91320
389,"$290,600",91360
390,"$290,100",91901
391,"$290,100",95448
392,"$289,800",95409
393,"$289,700",92708
394,"$289,400",91504
395,"$288,700",92270
396,"$288,400",92869
397,"$287,700",91214
398,"$287,600",94134
399,"$287,500",95450
400,"$287,400",90623
401,"$286,600",92110
402,"$285,800",95018
403,"$285,000",92003
404,"$284,200",95023
405,"$283,300",93546
406,"$283,300",95658
407,"$282,800",92691
408,"$282,800",94546
409,"$282,400",91775
410,"$282,400",95412
411,"$282,100",93021
412,"$282,000",92064
413,"$281,400",92082
414,"$281,400",92807
415,"$280,600",92124
416,"$280,500",90703
417,"$280,100",94518
418,"$279,300",92604
419,"$279,100",94954
420,"$279,000",95122
421,"$278,700",92647
422,"$278,400",92127
423,"$277,700",92630
424,"$276,500",93510
425,"$276,100",92867
426,"$276,100",93405
427,"$275,200",91789
428,"$275,200",92128
429,"$275,100",93023
430,"$275,000",94592
431,"$275,000",95441
432,"$275,000",95742
433,"$274,500",92627
434,"$273,600",92626
435,"$273,300",95456
436,"$273,200",95637
437,"$273,000",91741
438,"$272,900",93907
439,"$272,600",91325
440,"$272,400",95762
441,"$272,200",94510
442,"$271,700",93012
443,"$270,300",95116
444,"$269,900",93427
445,"$269,700",95039
446,"$268,700",95492
447,"$265,900",94558
448,"$265,800",91784
449,"$265,200",92870
450,"$264,700",93010
451,"$264,100",95693
452,"$262,900",95076
453,"$262,600",91354
454,"$262,500",94971
455,"$262,400",91355
456,"$261,900",93420
457,"$261,500",90717
458,"$261,200",91311
459,"$260,800",92078
460,"$260,700",92688
461,"$259,200",95405
462,"$259,100",94702
463,"$259,100",95606
464,"$259,000",92656
465,"$258,100",92028
466,"$258,000",91001
467,"$257,900",92821
468,"$257,800",94569
469,"$257,600",90501
470,"$256,900",92780
471,"$256,700",94609
