,White Population % in 2000,zip
319,89.3%,96136
320,89.2%,92320
321,89.2%,93422
322,89.2%,96161
323,89.1%,96032
324,89.1%,95619
325,89.1%,95066
326,89.1%,95550
327,89.0%,93669
328,89.0%,90266
329,88.9%,95595
330,88.9%,94933
331,88.9%,92389
332,88.9%,93529
333,88.9%,93251
334,88.9%,96055
335,88.8%,92624
336,88.8%,96044
337,88.8%,92009
338,88.8%,92358
339,88.8%,93420
340,88.8%,90740
341,88.7%,95329
342,88.7%,96027
343,88.7%,93601
344,88.7%,96109
345,88.6%,93225
346,88.6%,96013
347,88.6%,95587
348,88.6%,96007
349,88.6%,95837
350,88.6%,96080
351,88.6%,91917
352,88.6%,95379
353,88.5%,95540
354,88.5%,95661
355,88.5%,95419
356,88.5%,96011
357,88.4%,93283
358,88.4%,96122
359,88.4%,95446
360,88.4%,95405
361,88.3%,90210
362,88.3%,93675
363,88.3%,94526
364,88.3%,92040
365,88.3%,95252
366,88.3%,95423
367,88.3%,93402
368,88.3%,92587
369,88.2%,93023
370,88.2%,94938
371,88.2%,95458
372,88.2%,92252
373,88.2%,95318
374,88.2%,95564
375,88.1%,92325
376,88.1%,94020
377,88.1%,91901
378,88.1%,95747
379,88.1%,95030
380,88.1%,91935
381,88.1%,92107
382,88.1%,92342
383,88.1%,93950
384,88.0%,95628
385,88.0%,95819
386,88.0%,91377
387,88.0%,93626
388,88.0%,95420
389,88.0%,95570
390,88.0%,96084
391,88.0%,96101
392,88.0%,95519
393,87.9%,92284
394,87.9%,92382
395,87.9%,96133
396,87.8%,95007
397,87.8%,95646
398,87.8%,93645
399,87.8%,93553
400,87.7%,91931
401,87.7%,94925
402,87.6%,93510
403,87.6%,94952
404,87.6%,93920
405,87.5%,90049
406,87.5%,95974
407,87.5%,92679
408,87.5%,96054
409,87.5%,96097
410,87.4%,92386
411,87.4%,92109
412,87.4%,95443
413,87.4%,93531
414,87.4%,94517
415,87.4%,94514
416,87.3%,91302
417,87.3%,93426
418,87.3%,93518
419,87.3%,95864
420,87.3%,90069
421,87.3%,93105
422,87.3%,95226
423,87.3%,92242
424,87.1%,90077
425,87.1%,95255
426,87.1%,92672
427,87.1%,92694
428,87.1%,94549
429,87.1%,93308
430,87.0%,94922
431,87.0%,96002
432,87.0%,91301
433,87.0%,92260
434,87.0%,96056
435,87.0%,95554
436,87.0%,93628
437,87.0%,93634
438,86.9%,96017
439,86.9%,94563
440,86.9%,95957
441,86.9%,95947
442,86.9%,92629
443,86.9%,94062
444,86.8%,93022
445,86.8%,96121
446,86.8%,96028
447,86.8%,95503
448,86.8%,95476
449,86.8%,95073
450,86.8%,96019
451,86.7%,92075
452,86.6%,95765
453,86.6%,95490
454,86.6%,92119
455,86.6%,92024
456,86.6%,91741
457,86.6%,95305
458,86.6%,93562
459,86.6%,96047
460,86.5%,92071
461,86.5%,93401
462,86.5%,95457
463,86.5%,94123
464,86.5%,95973
465,86.5%,90403
466,86.4%,93962
467,86.4%,94586
468,86.4%,92536
469,86.4%,96116
470,86.4%,92518
471,86.4%,96123
472,86.3%,93012
473,86.3%,91355
474,86.3%,92065
475,86.3%,94940
476,86.3%,95488
477,86.3%,92007
478,86.2%,95421
479,86.2%,90067
480,86.2%,95018
481,86.2%,95525
482,86.2%,95471
483,86.1%,95417
484,86.1%,93244
485,86.1%,95453
486,86.1%,95979
487,86.1%,93312
488,86.0%,90048
489,86.0%,95608
490,86.0%,92545
491,86.0%,90803
492,85.9%,95571
493,85.9%,96023
494,85.9%,95429
495,85.9%,94571
496,85.8%,95526
497,85.8%,95361
498,85.8%,95543
499,85.8%,90046
500,85.8%,94923
501,85.7%,91024
502,85.7%,95032
503,85.7%,92384
504,85.7%,95562
505,85.7%,95451
506,85.7%,94567
507,85.7%,95668
508,85.6%,95625
509,85.6%,91604
510,85.5%,94027
511,85.5%,92103
512,85.5%,91362
513,85.5%,93460
514,85.5%,95982
515,85.4%,94963
516,85.4%,95485
517,85.4%,92399
518,85.4%,93109
519,85.4%,95431
520,85.3%,93641
521,85.3%,95621
522,85.3%,95502
523,85.3%,96041
524,85.2%,92120
525,85.2%,92561
526,85.2%,92649
527,85.2%,95521
528,85.2%,95674
529,85.1%,95010
530,85.1%,95926
531,85.1%,91364
532,85.1%,94525
533,85.0%,93603
534,85.0%,95065
535,85.0%,96014
536,85.0%,95693
537,84.9%,92584
538,84.9%,90212
539,84.9%,94946
540,84.9%,92539
541,84.8%,93602
542,84.8%,94070
543,84.7%,91320
544,84.7%,92241
545,84.6%,93516
546,84.6%,94945
547,84.6%,95220
548,84.6%,94903
549,84.6%,95430
550,84.5%,95463
551,84.5%,95470
552,84.5%,91360
553,84.5%,93517
554,84.4%,92118
555,84.4%,95914
556,84.4%,92886
557,84.4%,92264
558,84.4%,95437
559,84.3%,95514
560,84.3%,95934
561,84.3%,91350
562,84.2%,94301
563,84.2%,92356
564,84.2%,95610
565,84.2%,93546
566,84.1%,95659
567,84.1%,94931
568,84.1%,94947
569,84.0%,92008
570,83.9%,94708
571,83.9%,94574
572,83.8%,95469
573,83.8%,90277
574,83.8%,95242
575,83.7%,92365
576,83.7%,95450
577,83.7%,94566
578,83.7%,96092
579,83.6%,93440
580,83.6%,95916
581,83.6%,90245
582,83.6%,93282
583,83.6%,92691
584,83.6%,93455
585,83.5%,92086
586,83.5%,92364
587,83.5%,95366
588,83.5%,92544
589,83.5%,92677
590,83.4%,95464
591,83.4%,92019
592,83.3%,92653
593,83.3%,95501
594,83.3%,91942
595,83.3%,90292
596,83.2%,94707
597,83.2%,93555
598,83.2%,95569
599,83.1%,92646
600,83.1%,95537
601,83.1%,93268
602,83.1%,95323
603,83.1%,91316
604,83.0%,93532
605,83.0%,93526
606,82.9%,90211
607,82.9%,92064
608,82.9%,94114
609,82.8%,92328
610,82.8%,95673
611,82.8%,93063
612,82.8%,95320
613,82.8%,93544
614,82.8%,95678
615,82.8%,92692
616,82.7%,93110
617,82.7%,91354
618,82.6%,92562
619,82.6%,95720
620,82.6%,96107
621,82.6%,95970
622,82.6%,93611
623,82.6%,95935
624,82.6%,95422
625,82.6%,94558
626,82.5%,92037
627,82.5%,96094
628,82.5%,94598
629,82.5%,95648
630,82.5%,94949
631,82.5%,92029
632,82.5%,90720
633,82.5%,95454
634,82.5%,91423
635,82.4%,92845
636,82.4%,95404
637,82.4%,92259
638,82.4%,92860
639,82.3%,92003
640,82.3%,93446
641,82.2%,93514
642,82.2%,92861
643,82.2%,95573
644,82.2%,93932
645,82.2%,91367
646,82.1%,94550
647,82.1%,95345
648,82.1%,92657
649,82.1%,94954
650,82.1%,92648
651,82.1%,93429
652,82.0%,94596
653,82.0%,91403
654,81.9%,95555
655,81.9%,94523
656,81.8%,96010
657,81.8%,93226
658,81.7%,93667
659,81.7%,92595
660,81.6%,95981
661,81.5%,90068
662,81.4%,92267
663,81.4%,93111
664,81.4%,95928
665,81.4%,93940
666,81.3%,92596
667,81.3%,96108
668,81.3%,93563
669,81.3%,95258
670,81.0%,94553
671,81.0%,93621
672,81.0%,95966
673,81.0%,95448
674,81.0%,93908
675,81.0%,92078
676,81.0%,92110
677,81.0%,90808
678,81.0%,92323
679,80.9%,96150
680,80.9%,95062
681,80.9%,94556
682,80.8%,93427
683,80.8%,95626
684,80.8%,92371
685,80.8%,95551
686,80.8%,92004
687,80.8%,94038
688,80.7%,93549
689,80.7%,91941
690,80.7%,93003
691,80.7%,94515
692,80.7%,95563
693,80.7%,92373
694,80.7%,95043
695,80.6%,95389
696,80.6%,93065
697,80.5%,95681
698,80.5%,93277
699,80.5%,95316
700,80.4%,92130
701,80.3%,94928
702,80.3%,95236
703,80.2%,91105
704,80.2%,95531
705,80.2%,95382
706,80.1%,94022
707,80.1%,96075
708,80.1%,93405
709,80.0%,92548
710,80.0%,95140
711,79.9%,95060
712,79.9%,92021
713,79.8%,92591
714,79.8%,95124
715,79.8%,93433
716,79.7%,95688
717,79.7%,92688
718,79.7%,94019
719,79.7%,94618
720,79.6%,92398
721,79.6%,95511
722,79.6%,93254
723,79.5%,90293
724,79.5%,94937
725,79.5%,95917
726,79.5%,95425
727,79.4%,96065
728,79.4%,93452
729,79.3%,92332
730,79.2%,96130
731,79.2%,95492
732,79.2%,92835
733,79.2%,93711
734,79.2%,95606
735,79.1%,94510
736,79.0%,92592
737,79.0%,93004
738,79.0%,91307
739,79.0%,91207
740,78.9%,91356
741,78.9%,91784
742,78.9%,94965
743,78.9%,94559
744,78.6%,90401
745,78.6%,95355
746,78.6%,95225
747,78.5%,92276
748,78.5%,92253
749,78.5%,90405
750,78.5%,96090
751,78.5%,91040
752,78.4%,95004
753,78.4%,92675
754,78.4%,92128
755,78.4%,92131
756,78.4%,92266
757,78.4%,95965
758,78.4%,93010
759,78.3%,95816
760,78.3%,93720
761,78.2%,94024
762,78.2%,91980
763,78.1%,92282
764,78.1%,95237
765,78.1%,92082
766,77.9%,93287
767,77.9%,96085
768,77.9%,92307
769,77.9%,95585
770,77.9%,95630
771,77.9%,93444
772,77.9%,91602
773,77.9%,94060
774,77.8%,95324
775,77.8%,90603
776,77.8%,95692
777,77.8%,95480
778,77.8%,91505
779,77.8%,92532
780,77.8%,95830
781,77.7%,94705
782,77.6%,92656
783,77.6%,95403
784,77.6%,92582
785,77.6%,90732
786,77.5%,93643
787,77.5%,90713
788,77.5%,95482
789,77.5%,92327
790,77.5%,93545
791,77.4%,94508
792,77.3%,94506
793,77.3%,92117
794,77.2%,94583
795,77.2%,95841
796,77.2%,95955
797,77.2%,92563
798,77.1%,93554
799,77.1%,92887
800,77.0%,96040
801,77.0%,94519
802,77.0%,96021
803,76.9%,94512
804,76.9%,95212
805,76.9%,95230
806,76.9%,92028
807,76.8%,92821
808,76.8%,90274
809,76.8%,91750
810,76.8%,96031
811,76.8%,95821
812,76.7%,92339
813,76.6%,94546
814,76.6%,95459
815,76.5%,92127
816,76.5%,93243
817,76.5%,95017
818,76.4%,94129
819,76.4%,94588
820,76.4%,92026
821,76.3%,92543
822,76.3%,95356
823,76.3%,92506
824,76.3%,93252
825,76.2%,91351
826,76.2%,91506
827,76.1%,92347
828,76.1%,94061
829,76.1%,96074
830,76.0%,92630
831,76.0%,92275
832,76.0%,92807
833,75.9%,93013
834,75.8%,92308
835,75.8%,95641
836,75.8%,95374
837,75.8%,95968
838,75.7%,95125
839,75.6%,92223
840,75.6%,95963
841,75.6%,94010
842,75.5%,94521
843,75.5%,92363
844,75.5%,92359
845,75.5%,90815
846,75.5%,94561
847,75.4%,95972
848,75.3%,95439
849,75.3%,95326
850,75.2%,92345
851,75.2%,94002
852,75.2%,95336
853,75.1%,91978
854,75.1%,90278
855,75.1%,92108
856,75.0%,91011
857,74.9%,95369
858,74.8%,95494
859,74.7%,91905
860,74.7%,92567
861,74.7%,93454
862,74.6%,93001
863,74.6%,94518
864,74.6%,93451
865,74.5%,94402
866,74.5%,91773
867,74.5%,91607
868,74.4%,93066
869,74.4%,92610
870,74.4%,95350
871,74.4%,96134
872,74.4%,95327
873,74.4%,95412
874,74.3%,93021
875,74.3%,91740
876,74.3%,92883
877,74.2%,95386
878,74.2%,92313
879,74.1%,94025
880,74.1%,95401
881,74.1%,94513
882,74.0%,95337
883,74.0%,96148
884,74.0%,92122
885,74.0%,96143
886,74.0%,92262
887,73.8%,92020
888,73.8%,93523
889,73.8%,95988
890,73.8%,91311
891,73.8%,93311
892,73.8%,93561
893,73.6%,92056
894,73.6%,96113
895,73.5%,91711
896,73.5%,96035
897,73.4%,92866
898,73.4%,93541
899,73.3%,93221
900,73.2%,93117
901,73.1%,91381
902,73.1%,95468
903,73.1%,95632
904,73.1%,94304
905,73.0%,92257
906,73.0%,91906
907,73.0%,93461
908,72.9%,91208
909,72.9%,91701
910,72.8%,94901
911,72.8%,92277
912,72.7%,94117
913,72.7%,95008
914,72.7%,94306
915,72.6%,92867
916,72.6%,94005
917,72.6%,92865
918,72.5%,91214
919,72.5%,95118
920,72.4%,92585
921,72.4%,93928
922,72.4%,91321
923,72.4%,95612
924,72.3%,95037
925,72.3%,90064
926,72.3%,93292
927,72.3%,96068
928,72.3%,93437
929,72.2%,93560
930,72.0%,95466
931,72.0%,90035
932,71.9%,92626
933,71.9%,91737
