,White Population % in 2000,zip
1359,48.2%,91790
1360,48.2%,90041
1361,48.2%,90501
1362,48.2%,92335
1363,48.1%,90242
1364,48.1%,92243
1365,48.1%,91761
1366,48.0%,95351
1367,47.9%,94805
1368,47.9%,93201
1369,47.7%,93930
1370,47.7%,94086
1371,47.7%,95820
1372,47.6%,93235
1373,47.2%,94122
1374,47.2%,93906
1375,47.1%,90201
1376,47.1%,90504
1377,47.0%,91775
1378,46.9%,92251
1379,46.9%,90802
1380,46.9%,95686
1381,46.8%,92231
1382,46.8%,90640
1383,46.6%,91007
1384,46.5%,93630
1385,46.4%,90710
1386,46.3%,93955
1387,46.3%,90034
1388,46.3%,92602
1389,46.2%,95231
1390,46.1%,90040
1391,46.1%,90706
1392,46.0%,94102
1393,46.0%,95203
1394,45.8%,93305
1395,45.8%,92683
1396,45.8%,93616
1397,45.8%,93263
1398,45.6%,92655
1399,45.6%,92707
1400,45.6%,93434
1401,45.5%,93662
1402,45.5%,92126
1403,45.5%,91768
1404,45.4%,91605
1405,45.3%,91764
1406,45.3%,93627
1407,45.1%,92377
1408,45.1%,93458
1409,45.1%,94602
1410,44.9%,91763
1411,44.9%,94103
1412,44.8%,90650
1413,44.8%,92225
1414,44.7%,95834
1415,44.7%,93703
1416,44.6%,92173
1417,44.6%,94702
1418,44.6%,93241
1419,44.5%,90621
1420,44.5%,94565
1421,44.4%,95817
1422,44.4%,94080
1423,44.3%,91204
1424,44.2%,90701
1425,44.1%,92324
1426,44.1%,94578
1427,44.1%,91746
1428,44.0%,95655
1429,43.9%,92507
1430,43.9%,93622
1431,43.9%,90260
1432,43.8%,92336
1433,43.6%,93218
1434,43.6%,92154
1435,43.4%,95012
1436,43.4%,93223
1437,43.3%,90623
1438,43.3%,93270
1439,43.2%,95112
1440,43.1%,93030
1441,43.0%,93954
1442,43.0%,90270
1443,42.8%,94303
1444,42.8%,95127
1445,42.7%,95113
1446,42.7%,94116
1447,42.7%,94590
1448,42.6%,92571
1449,42.6%,95387
1450,42.3%,94592
1451,42.2%,90038
1452,42.2%,91001
1453,42.2%,93666
1454,42.1%,90255
1455,42.0%,92701
1456,41.9%,90065
1457,41.9%,92553
1458,41.9%,94132
1459,41.8%,95838
1460,41.8%,94539
1461,41.8%,91765
1462,41.6%,90280
1463,41.6%,94544
1464,41.5%,91767
1465,41.4%,92337
1466,41.4%,93927
1467,41.4%,95110
1468,41.4%,90022
1469,41.4%,92401
1470,41.1%,90502
1471,41.1%,93272
1472,41.0%,91745
1473,41.0%,95828
1474,40.8%,91340
1475,40.8%,95002
1476,40.8%,90042
1477,40.6%,93721
1478,40.4%,92274
1479,40.3%,95334
1480,40.2%,91706
1481,40.1%,90010
1482,40.1%,92551
1483,40.1%,91744
1484,40.1%,92059
1485,40.0%,95202
1486,39.9%,95951
1487,39.9%,90715
1488,39.8%,91766
1489,39.7%,94591
1490,39.6%,94133
1491,39.5%,93608
1492,39.5%,93307
1493,39.5%,92703
1494,39.3%,95019
1495,39.1%,90023
1496,39.1%,91731
1497,39.0%,93206
1498,39.0%,92283
1499,39.0%,95822
1500,38.9%,92236
1501,38.8%,93266
1502,38.8%,93615
1503,38.6%,90804
1504,38.4%,91950
1505,38.4%,90716
1506,38.4%,90029
1507,38.3%,92704
1508,38.2%,95054
1509,38.1%,92408
1510,37.8%,95205
1511,37.8%,92102
1512,37.6%,92376
1513,37.4%,92843
1514,37.4%,94710
1515,37.0%,93905
1516,37.0%,91331
1517,36.9%,94545
1518,36.9%,93665
1519,36.8%,94108
1520,36.8%,90063
1521,36.6%,92410
1522,36.5%,95653
1523,36.5%,93925
1524,36.3%,93646
1525,36.2%,91733
1526,36.2%,90026
1527,36.2%,90744
1528,35.9%,93204
1529,35.8%,91402
1530,35.7%,93280
1531,35.6%,90032
1532,35.6%,93033
1533,35.5%,92233
1534,35.4%,93725
1535,35.4%,94609
1536,35.4%,91732
1537,35.2%,92249
1538,35.2%,93648
1539,35.1%,93647
1540,34.9%,93660
1541,34.8%,95824
1542,34.7%,90723
1543,34.7%,93256
1544,34.5%,91103
1545,34.3%,93960
1546,34.0%,95132
1547,33.9%,94619
1548,33.8%,90004
1549,33.7%,90262
1550,33.5%,90033
1551,33.5%,94806
1552,33.4%,93926
1553,33.2%,92105
1554,32.7%,94589
1555,32.7%,94547
1556,32.6%,93212
1557,32.3%,95210
1558,32.2%,90250
1559,32.1%,90007
1560,32.1%,94555
1561,32.1%,90304
1562,31.9%,93650
1563,31.7%,91789
1564,31.6%,95823
1565,31.6%,91803
1566,31.5%,92254
1567,31.5%,93239
1568,31.5%,95111
1569,31.4%,92113
1570,31.1%,92844
1571,31.0%,95035
1572,30.8%,90058
1573,30.5%,95116
1574,30.4%,94801
1575,30.4%,90017
1576,30.4%,91792
1577,30.1%,93250
1578,30.0%,94587
1579,29.9%,90248
1580,29.7%,90745
1581,29.7%,90805
1582,29.6%,90015
1583,29.4%,93706
1584,29.2%,91801
1585,29.1%,94015
1586,29.0%,92139
1587,28.9%,90031
1588,28.9%,91776
1589,28.9%,94112
1590,28.8%,93624
1591,28.7%,93640
1592,28.7%,90057
1593,28.4%,92411
1594,28.3%,93702
1595,28.0%,90249
1596,28.0%,91748
1597,27.9%,90011
1598,27.9%,90013
1599,27.8%,93701
1600,27.8%,95148
1601,27.8%,90005
1602,27.4%,93215
1603,27.3%,91770
1604,27.2%,95206
1605,27.2%,90806
1606,26.9%,90006
1607,26.9%,90703
1608,26.8%,90021
1609,26.7%,94804
1610,26.5%,95121
1611,25.7%,94601
1612,25.6%,90020
1613,25.5%,93216
1614,25.2%,90813
1615,25.2%,95133
1616,24.9%,94104
1617,24.7%,94014
1618,24.7%,90014
1619,24.7%,94608
1620,24.6%,90001
1621,24.3%,95365
1622,24.1%,90247
1623,23.9%,90301
1624,23.9%,90810
1625,23.6%,95122
1626,23.5%,94612
1627,23.0%,93219
1628,22.9%,90019
1629,22.8%,91754
1630,22.3%,95131
1631,21.2%,93249
1632,21.2%,92114
1633,21.1%,95832
1634,20.6%,93234
1635,20.5%,90037
1636,20.4%,90221
1637,20.4%,94605
1638,20.3%,90303
1639,20.3%,90012
1640,20.0%,92318
1641,19.5%,91755
1642,19.4%,95481
1643,19.3%,90003
1644,18.9%,94134
1645,18.7%,94606
1646,18.6%,90222
1647,18.5%,93261
1648,18.4%,90016
1649,18.3%,90056
1650,18.1%,90302
1651,17.0%,94603
1652,17.0%,90044
1653,16.6%,90002
1654,16.0%,94621
1655,16.0%,90018
1656,15.7%,90220
1657,14.5%,90062
1658,14.5%,90061
1659,14.1%,95546
1660,13.8%,90059
1661,13.2%,90746
1662,11.7%,93606
1663,11.3%,94607
1664,10.7%,93447
1665,9.6%,94124
1666,8.4%,90047
1667,8.4%,90043
1668,6.1%,90008
1669,4.8%,90305
