,total_pop_2000,zip
399,34120,95205
400,34041,92821
401,34036,93551
402,33865,91773
403,33863,94555
404,33838,93612
405,33803,91722
406,33742,90266
407,33525,90621
408,33520,90049
409,33373,91340
410,33299,90260
411,33263,91754
412,33170,94124
413,33115,94115
414,33087,92065
415,33080,92116
416,33039,91362
417,33024,96150
418,32978,93021
419,32898,93001
420,32885,90036
421,32874,95307
422,32853,94526
423,32840,93940
424,32831,95928
425,32799,95128
426,32714,91780
427,32671,94523
428,32557,90038
429,32552,95688
430,32509,93060
431,32484,94401
432,32360,91107
433,32350,94063
434,32300,91325
435,32292,92649
436,32267,92679
437,32190,95660
438,32143,90606
439,32132,94040
440,32039,90601
441,32035,95662
442,31972,93405
443,31945,90230
444,31917,94952
445,31916,95118
446,31866,94404
447,31859,92307
448,31717,93101
449,31664,90504
450,31620,91792
451,31585,96001
452,31549,90807
453,31427,92841
454,31414,95833
455,31389,94603
456,31369,95842
457,31349,90803
458,31284,91206
459,31273,92311
460,31246,95472
461,31228,92373
462,31168,93703
463,31018,90291
464,30987,95482
465,30925,91007
466,30868,95407
467,30840,90008
468,30812,95209
469,30795,91746
470,30770,90302
471,30744,94621
472,30727,91321
473,30708,95825
474,30665,95358
475,30629,91803
476,30597,95678
477,30577,90012
478,30577,95070
479,30574,94114
480,30568,95824
481,30562,90028
482,30522,93454
483,30465,95204
484,30442,91791
485,30402,93245
486,30393,93292
487,30333,96002
488,30206,91731
489,30187,92124
490,30186,92103
491,30171,90712
492,30010,91006
493,29963,94610
494,29903,95117
495,29845,92337
496,29823,90222
497,29762,93555
498,29679,90680
499,29674,92543
500,29633,94568
501,29532,93422
502,29370,91423
503,29327,93710
504,29322,92260
505,29306,90039
506,29279,90062
507,29279,92131
508,29235,91505
509,29120,93635
510,29101,91214
511,28991,94102
512,28975,93657
513,28880,94602
514,28805,92308
515,28718,94941
516,28679,90304
517,28672,92660
518,28557,94588
519,28481,92173
520,28437,94801
521,28431,93637
522,28401,94903
523,28368,95966
524,28304,95969
525,28187,92130
526,28083,90270
527,28079,94070
528,28049,91326
529,27956,92107
530,27897,94131
531,27887,91103
532,27864,90041
533,27821,94043
534,27798,92231
535,27794,95301
536,27792,90035
537,27784,95993
538,27773,90303
539,27728,92629
540,27599,94561
541,27595,91316
542,27549,90713
543,27494,92101
544,27439,91607
545,27407,91356
546,27400,91010
547,27392,94518
548,27379,93004
549,27359,92604
550,27295,94545
551,27115,95354
552,27034,93401
553,27021,95126
554,26954,95973
555,26925,91755
556,26891,94559
557,26827,94133
558,26738,91042
559,26655,91932
560,26565,93704
561,26560,94513
562,26433,90249
563,26426,96080
564,26415,92620
565,26384,95131
566,26355,92571
567,26291,94132
568,26253,90602
569,26237,94580
570,26211,93662
571,26137,91604
572,26089,90405
573,26038,95356
574,26018,95133
575,26011,94598
576,25987,92316
