zip,Average Education Index 2000,Average Education Index 2014,Index Change,Take Public Transp % in 2000,Take Public Transp % in 2014,Change in Public Transp %,Total Population in 2000,Total Population in 2014,% Change in Total Population,White Population % in 2000,White Population % in 2014,% Change in White Population %,Outcome
90266,15.86,16.17,0.3100000000000023,0.004,0.018000000000000002,0.014000000000000002,33742.0,35534.0,0.053,0.89,0.827,-0.071,
90024,15.86,16.19,0.33000000000000185,0.044000000000000004,0.049,0.0049999999999999975,44141.0,50117.0,0.135,0.645,0.607,-0.059,
94611,15.85,16.22,0.3699999999999992,0.147,0.16699999999999998,0.01999999999999999,36508.0,37225.0,0.02,0.716,0.693,-0.032,
94549,15.85,16.22,0.3699999999999992,0.122,0.163,0.04100000000000001,23995.0,28298.0,0.179,0.871,0.839,-0.037,
95014,15.82,16.46,0.6400000000000006,0.01,0.021,0.011000000000000001,54412.0,62478.0,0.148,0.5,0.31,-0.38,
92067,15.81,16.51,0.7000000000000011,0.009000000000000001,0.004,-0.005000000000000001,7601.0,9020.0,0.187,0.929,0.924,-0.005,
94904,15.77,15.97,0.20000000000000107,0.102,0.084,-0.017999999999999988,11999.0,12271.0,0.023,0.927,0.879,-0.052,
91011,15.75,16.26,0.5100000000000016,0.006,0.006,0.0,20187.0,20671.0,0.024,0.75,0.683,-0.089,
90254,15.75,15.92,0.16999999999999993,0.01,0.012,0.002,18682.0,19725.0,0.056,0.896,0.875,-0.023,
94114,15.72,16.48,0.7599999999999998,0.324,0.36700000000000005,0.04300000000000004,30574.0,32229.0,0.054,0.829,0.799,-0.036,
92131,15.72,15.91,0.1899999999999995,0.006,0.008,0.002,29279.0,33868.0,0.157,0.784,0.685,-0.126,
92625,15.71,15.88,0.16999999999999993,0.006999999999999999,0.008,0.0010000000000000009,13407.0,12572.0,-0.062,0.93,0.88,-0.054,
93108,15.7,16.01,0.3100000000000023,0.004,0.008,0.004,12737.0,12119.0,-0.049,0.937,0.909,-0.03,
94507,15.7,15.99,0.2900000000000009,0.051,0.07200000000000001,0.02100000000000001,15186.0,15973.0,0.052,0.904,0.894,-0.011,
94506,15.66,16.07,0.41000000000000014,0.045,0.043,-0.0020000000000000018,19768.0,21896.0,0.108,0.773,0.737,-0.047,
94706,15.61,16.34,0.7300000000000004,0.188,0.244,0.055999999999999994,15865.0,20206.0,0.274,0.642,0.555,-0.136,
92660,15.6,15.76,0.16000000000000014,0.008,0.01,0.002,28672.0,35308.0,0.231,0.915,0.857,-0.063,
94130,15.58,13.85,-1.7300000000000004,0.37,0.47600000000000003,0.10600000000000004,1453.0,3083.0,1.122,0.653,0.375,-0.426,
95120,15.58,15.81,0.23000000000000043,0.01,0.021,0.011000000000000001,37089.0,37673.0,0.016,0.708,0.631,-0.109,
94965,15.57,15.69,0.11999999999999922,0.18100000000000002,0.161,-0.020000000000000018,11206.0,11114.0,-0.008,0.789,0.782,-0.009,
94105,15.57,16.83,1.259999999999998,0.09699999999999999,0.172,0.075,2058.0,6282.0,2.052,0.701,0.564,-0.195,
94960,15.57,15.87,0.29999999999999893,0.09699999999999999,0.106,0.009000000000000008,16846.0,15999.0,-0.05,0.924,0.885,-0.042,
90293,15.55,15.5,-0.05000000000000071,0.009000000000000001,0.013999999999999999,0.0049999999999999975,11252.0,11997.0,0.066,0.795,0.691,-0.131,
91105,15.55,16.19,0.6400000000000006,0.01,0.046,0.036,10245.0,11373.0,0.11,0.802,0.699,-0.128,
90265,15.54,15.58,0.040000000000000924,0.004,0.005,0.001,19614.0,17660.0,-0.1,0.894,0.861,-0.037,
94970,15.53,16.47,0.9399999999999995,0.026000000000000002,0.02,-0.006000000000000002,772.0,495.0,-0.359,0.951,0.99,0.041,
94598,15.5,15.87,0.3699999999999992,0.145,0.16699999999999998,0.021999999999999992,26011.0,26974.0,0.037,0.825,0.795,-0.036,
90403,15.49,16.2,0.7099999999999991,0.027999999999999997,0.045,0.017,23556.0,25116.0,0.066,0.865,0.847,-0.021,
90292,15.46,15.94,0.47999999999999865,0.013000000000000001,0.011000000000000001,-0.002,18057.0,21507.0,0.191,0.833,0.801,-0.038,
94925,15.46,15.51,0.049999999999998934,0.09300000000000001,0.1,0.006999999999999992,9019.0,9478.0,0.051,0.877,0.824,-0.06,
94117,15.45,15.95,0.5,0.35600000000000004,0.371,0.014999999999999958,38738.0,42638.0,0.101,0.727,0.743,0.022,
94131,15.45,15.96,0.5100000000000016,0.256,0.299,0.04299999999999998,27897.0,28370.0,0.017,0.693,0.671,-0.032,
90275,15.45,15.89,0.4400000000000013,0.01,0.013000000000000001,0.003000000000000001,41261.0,42420.0,0.028,0.673,0.618,-0.082,
95033,15.45,15.82,0.370000000000001,0.002,0.001,-0.001,10170.0,9628.0,-0.053,0.921,0.907,-0.015,
92614,15.44,15.64,0.20000000000000107,0.006,0.008,0.002,22493.0,25657.0,0.141,0.616,0.574,-0.068,
90212,15.42,16.02,0.5999999999999996,0.02,0.040999999999999995,0.020999999999999994,11347.0,12415.0,0.094,0.849,0.779,-0.082,
94404,15.42,15.73,0.3100000000000005,0.040999999999999995,0.053,0.012000000000000004,31866.0,35045.0,0.1,0.607,0.463,-0.237,
93921,15.41,15.41,0.0,0.013000000000000001,0.021,0.008,2963.0,3164.0,0.068,0.943,0.879,-0.068,
92651,15.41,15.93,0.5199999999999996,0.016,0.006999999999999999,-0.009000000000000001,25186.0,23668.0,-0.06,0.921,0.904,-0.018,
91436,15.41,15.85,0.4399999999999995,0.011000000000000001,0.025,0.014,13109.0,14563.0,0.111,0.899,0.875,-0.027,
91302,15.39,15.95,0.5599999999999987,0.006,0.005,-0.001,23644.0,25165.0,0.064,0.873,0.829,-0.05,
92782,15.39,15.68,0.28999999999999915,0.009000000000000001,0.006999999999999999,-0.0020000000000000018,17485.0,22583.0,0.292,0.669,0.521,-0.221,
94610,15.36,16.03,0.6700000000000017,0.17800000000000002,0.168,-0.010000000000000009,29963.0,29734.0,-0.008,0.533,0.58,0.088,
95032,15.35,15.88,0.5300000000000011,0.012,0.008,-0.004,24427.0,25898.0,0.06,0.857,0.785,-0.084,
94526,15.33,15.57,0.2400000000000002,0.049,0.062,0.012999999999999998,32853.0,32274.0,-0.018,0.883,0.853,-0.034,
92661,15.32,15.87,0.5499999999999989,0.011000000000000001,0.027000000000000003,0.016,4225.0,3152.0,-0.254,0.942,0.898,-0.047,
90803,15.31,15.64,0.33000000000000007,0.022000000000000002,0.023,0.0009999999999999974,31349.0,30805.0,-0.017,0.86,0.844,-0.019,
91030,15.29,15.6,0.3100000000000005,0.011000000000000001,0.06,0.048999999999999995,23975.0,25914.0,0.081,0.604,0.548,-0.093,
94087,15.29,15.99,0.7000000000000011,0.017,0.043,0.025999999999999995,50051.0,55229.0,0.103,0.613,0.475,-0.225,
92620,15.29,15.72,0.4300000000000015,0.003,0.006999999999999999,0.003999999999999999,26415.0,43802.0,0.658,0.65,0.425,-0.346,
94539,15.28,16.05,0.7700000000000014,0.028999999999999998,0.053,0.024,46910.0,51459.0,0.097,0.418,0.193,-0.538,
93923,15.27,15.67,0.40000000000000036,0.003,0.003,0.0,13108.0,12954.0,-0.012,0.935,0.938,0.003,
