zip,Median_Income_2000,Median_Income_2014,Median_Rent_2000,Median_Rent_2014,Total_Pop_2000,Total_Pop_2014,White_Pop_2000,White_Pop_2014,Outcome
94502,"$87,855","$105,480","$1,568","$2,001",13980,13192,53.5%,43.3%,
95131,"$87,486","$108,366","$1,504","$1,868",26384,29660,22.3%,15.8%,
91381,"$87,112","$114,608","$1,098","$1,780",9919,20296,73.1%,66.8%,
91361,"$86,646","$103,306","$1,198","$1,908",18724,20266,90.5%,85.9%,
95139,"$86,515","$98,400","$1,500","$1,654",7006,6632,70.8%,68.4%,
92620,"$86,467","$102,160","$1,165","$1,861",26415,43802,65.0%,42.5%,
92782,"$85,977","$102,755","$1,340","$2,001",17485,22583,66.9%,52.1%,
93908,"$85,488","$113,826",$927,"$1,756",13020,12350,81.0%,86.2%,
94598,"$85,479","$121,337","$1,246","$1,770",26011,26974,82.5%,79.5%,
95054,"$85,124","$116,855","$1,489","$2,001",13013,23914,38.2%,28.9%,
94514,"$85,109","$51,992","$1,287","$1,516",10138,1174,87.4%,95.5%,
91354,"$84,858","$111,098","$1,294","$2,000",17841,29034,82.7%,69.5%,
94087,"$84,856","$122,354","$1,244","$1,701",50051,55229,61.3%,47.5%,
94123,"$84,710","$121,200","$1,281","$1,899",22903,25528,86.5%,83.6%,
95035,"$84,565","$98,899","$1,279","$1,798",62840,69635,31.0%,20.3%,
94555,"$84,442","$114,603","$1,273","$1,808",33863,35654,32.1%,21.0%,
90049,"$84,342","$116,732","$1,148","$1,872",33520,35262,87.5%,85.2%,
91362,"$83,750","$100,747","$1,150","$1,822",33039,35564,85.5%,80.6%,
91105,"$83,737","$108,882","$1,017","$1,958",10245,11373,80.2%,69.9%,
93563,"$83,367","$67,917",$817,$967,406,375,81.3%,62.1%,
95765,"$83,095","$87,100","$1,125","$1,409",15476,36391,86.6%,78.3%,
94402,"$82,796","$115,807","$1,220","$1,610",23373,24306,74.5%,70.4%,
95132,"$82,779","$98,026","$1,387","$1,723",40563,41222,34.0%,21.9%,
94038,"$82,777","$81,622","$1,405","$1,432",3061,3435,80.8%,68.9%,
94019,"$82,735","$103,378","$1,222","$1,760",17923,18382,79.7%,80.9%,
92692,"$82,690","$102,045","$1,105","$1,827",46210,48967,82.8%,81.5%,
94904,"$82,528","$102,237","$1,217","$1,725",11999,12271,92.7%,87.9%,
94306,"$82,314","$111,602","$1,262","$1,925",24484,27094,72.7%,57.9%,
91326,"$82,310","$98,831",$840,"$1,787",28049,36024,65.1%,57.2%,
95037,"$82,258","$95,435","$1,099","$1,631",41690,46834,72.3%,68.0%,
92886,"$82,188","$110,054","$1,143","$1,648",39452,48649,84.4%,76.4%,
