,Median_Household_Income_2014,Zip
290,"$87,652",94538
291,"$87,598",94530
292,"$87,596",96121
293,"$87,500",95136
294,"$87,425",92336
295,"$87,361",92532
296,"$87,251",90603
297,"$87,156",95819
298,"$87,110",92646
299,"$87,100",95765
300,"$87,095",90713
301,"$86,967",92663
302,"$86,573",90064
303,"$86,521",94560
304,"$86,505",93010
305,"$86,469",92649
306,"$86,196",94903
307,"$86,070",94122
308,"$86,031",95065
309,"$85,914",92596
310,"$85,857",92648
311,"$85,707",92126
312,"$85,655",91001
313,"$85,514",95121
314,"$85,361",92860
315,"$85,330",94115
316,"$85,251",92865
317,"$85,200",93551
318,"$85,000",94548
319,"$85,000",94586
320,"$84,828",94116
321,"$84,819",94521
322,"$84,785",92630
323,"$84,761",91107
324,"$84,750",92676
325,"$84,741",91913
326,"$84,620",91775
327,"$84,588",90293
328,"$84,537",90732
329,"$84,516",90212
330,"$84,488",94110
331,"$84,250",92678
332,"$84,133",95650
333,"$84,051",90630
334,"$84,021",91006
335,"$84,004",90245
336,"$83,974",93063
337,"$83,902",95003
338,"$83,767",90623
339,"$83,638",94945
340,"$83,542",94158
341,"$83,467",95864
342,"$83,269",92210
343,"$83,194",93465
344,"$83,038",93035
345,"$82,993",94118
346,"$82,917",93605
347,"$82,857",92662
348,"$82,748",95020
349,"$82,675",92705
350,"$82,564",94587
351,"$82,313",90505
352,"$82,076",91387
353,"$82,005",92708
354,"$81,980",94954
355,"$81,973",92106
356,"$81,918",94503
357,"$81,907",94061
358,"$81,879",94947
359,"$81,860",95688
360,"$81,788",94574
361,"$81,746",94706
362,"$81,685",94523
363,"$81,667",94525
364,"$81,622",94038
365,"$81,471",95618
366,"$81,379",91901
367,"$81,369",94066
368,"$81,328",96073
369,"$81,308",93105
370,"$81,250",91741
371,"$81,093",95492
372,"$81,025",90291
373,"$80,729",92384
374,"$80,625",92124
375,"$80,479",91030
376,"$80,449",95835
377,"$80,341",94104
378,"$80,327",94542
379,"$80,313",96106
380,"$80,288",93962
381,"$80,279",91311
382,"$80,278",90620
383,"$80,233",94005
384,"$80,233",95624
385,"$80,163",92821
386,"$80,133",95073
387,"$80,132",92626
388,"$80,130",92377
389,"$80,037",92870
390,"$79,895",92120
391,"$79,858",90638
392,"$79,525",90815
393,"$79,485",94963
394,"$79,457",95372
395,"$79,348",92082
396,"$79,327",95664
397,"$79,121",95693
398,"$78,856",94596
399,"$78,756",90405
400,"$78,750",96061
401,"$78,676",94619
402,"$78,640",95304
403,"$78,630",92561
404,"$78,607",90069
405,"$78,564",94015
406,"$78,558",95251
407,"$78,501",91773
408,"$78,378",94080
409,"$78,175",90712
410,"$78,116",92506
411,"$78,114",95452
412,"$78,082",90045
413,"$78,072",92867
414,"$77,930",93611
415,"$77,706",94561
416,"$77,679",91505
417,"$77,679",93424
418,"$77,583",95918
419,"$77,416",95682
420,"$77,361",92065
421,"$77,305",94923
422,"$77,250",93928
423,"$77,247",91344
424,"$77,188",95699
425,"$77,152",91367
426,"$77,105",92563
427,"$77,092",93720
428,"$77,047",90503
429,"$76,994",91701
430,"$76,912",91750
431,"$76,909",94901
432,"$76,688",90056
433,"$76,669",94553
434,"$76,542",95236
435,"$76,526",92251
436,"$76,447",91745
437,"$76,389",95722
438,"$76,232",94803
439,"$76,027",93004
440,"$75,928",92584
441,"$75,915",93110
442,"$75,862",93067
443,"$75,750",95637
444,"$75,714",95697
445,"$75,671",91423
446,"$75,556",95639
447,"$75,510",95006
448,"$75,500",94546
449,"$75,481",94579
450,"$75,448",92562
451,"$75,420",91724
452,"$75,411",92672
453,"$75,380",93066
454,"$75,334",91403
455,"$75,327",90035
456,"$75,309",95219
457,"$75,300",95366
458,"$75,221",94952
459,"$75,180",90504
460,"$75,172",96161
461,"$75,163",95625
462,"$75,160",93636
463,"$75,031",90746
464,"$74,797",92019
465,"$74,637",92647
466,"$74,583",95674
467,"$74,530",95829
468,"$74,393",92071
469,"$74,283",94564
470,"$74,009",94949
471,"$73,870",94591
472,"$73,850",94610
473,"$73,786",90230
474,"$73,684",95687
475,"$73,621",94924
476,"$73,542",95439
477,"$73,433",93022
478,"$73,373",90068
479,"$73,352",92555
480,"$73,333",95002
481,"$73,125",95429
482,"$73,040",94518
483,"$72,939",95368
484,"$72,913",90048
485,"$72,877",95126
486,"$72,739",95628
487,"$72,720",94558
488,"$72,607",95444
489,"$72,479",92352
490,"$72,465",92675
491,"$72,459",95133
492,"$72,459",95661
493,"$72,452",95258
494,"$72,411",94508
495,"$72,366",90403
496,"$72,279",94401
497,"$72,276",90807
498,"$72,255",91007
499,"$72,218",95209
500,"$72,212",93455
501,"$72,204",96140
502,"$72,192",91106
503,"$72,168",91016
504,"$72,161",95018
505,"$72,156",95405
506,"$72,120",95254
507,"$72,025",90803
508,"$71,939",90240
509,"$71,911",92123
510,"$71,825",91710
511,"$71,793",92882
512,"$71,757",90745
513,"$71,723",94545
514,"$71,697",92253
515,"$71,688",92270
516,"$71,668",94014
517,"$71,667",94933
518,"$71,661",91941
519,"$71,505",94112
520,"$71,469",92624
521,"$71,316",90232
522,"$71,307",92122
523,"$71,301",95417
524,"$71,296",91504
525,"$71,278",90025
526,"$71,177",94580
527,"$71,063",95920
528,"$71,049",90036
529,"$71,000",92358
530,"$70,938",95633
531,"$70,935",94501
532,"$70,858",91351
533,"$70,841",90601
534,"$70,841",91791
535,"$70,830",91040
536,"$70,820",95648
537,"$70,811",91104
538,"$70,781",96128
539,"$70,724",93536
540,"$70,721",94585
541,"$70,692",95127
542,"$70,417",95709
543,"$70,408",91506
544,"$70,380",92591
545,"$70,261",92119
546,"$70,230",93950
547,"$70,220",94121
548,"$70,096",95128
549,"$70,003",95758
550,"$69,966",92337
551,"$69,942",90211
552,"$69,872",95005
553,"$69,760",95524
554,"$69,750",95703
555,"$69,702",92347
556,"$69,702",95607
557,"$69,688",96114
558,"$69,678",95023
559,"$69,616",93003
560,"$69,583",95677
561,"$69,341",95050
562,"$69,205",92003
563,"$69,171",92344
564,"$69,148",91356
565,"$69,055",93723
566,"$68,887",96145
567,"$68,884",93013
568,"$68,813",94602
569,"$68,804",95472
570,"$68,701",94572
571,"$68,693",95110
572,"$68,679",95831
573,"$68,636",92378
574,"$68,636",95465
575,"$68,620",92587
576,"$68,346",90066
577,"$68,333",92061
578,"$68,261",92518
579,"$68,108",92029
580,"$68,078",93907
581,"$68,027",92203
582,"$67,917",93563
583,"$67,878",90755
584,"$67,718",95117
585,"$67,716",93940
586,"$67,652",91020
587,"$67,639",95316
588,"$67,607",94519
589,"$67,500",93449
590,"$67,383",93103
591,"$67,188",95004
592,"$67,170",90039
593,"$67,048",91740
594,"$67,039",92612
595,"$67,031",95017
596,"$67,025",92109
597,"$67,019",92833
598,"$67,001",95404
599,"$66,983",93531
600,"$66,932",91917
601,"$66,875",92382
602,"$66,848",91792
603,"$66,825",92107
604,"$66,775",92342
605,"$66,771",93463
606,"$66,750",95426
607,"$66,711",95337
608,"$66,706",90605
609,"$66,679",93628
610,"$66,607",94132
611,"$66,590",92374
612,"$66,553",90631
613,"$66,506",93420
614,"$66,483",91978
615,"$66,417",92059
616,"$66,291",95620
617,"$66,136",94599
618,"$66,079",94805
619,"$66,057",91790
620,"$66,014",93422
621,"$66,000",92008
622,"$65,938",95668
623,"$65,793",92103
624,"$65,769",95691
625,"$65,735",93287
626,"$65,706",95467
627,"$65,701",93036
628,"$65,640",90604
629,"$65,625",96006
630,"$65,425",95409
631,"$65,319",92117
632,"$65,297",92108
633,"$65,208",95356
634,"$65,156",93546
635,"$65,122",95662
636,"$65,114",95651
637,"$65,035",90404
638,"$64,976",92057
639,"$64,974",93446
640,"$64,874",95382
641,"$64,843",93023
642,"$64,803",93313
643,"$64,787",92040
644,"$64,773",95843
645,"$64,738",92223
646,"$64,712",95442
647,"$64,701",90715
648,"$64,660",94577
649,"$64,625",94931
650,"$64,612",92321
651,"$64,583",94512
652,"$64,545",90041
653,"$64,479",95669
654,"$64,375",95545
655,"$64,355",95242
656,"$64,219",96085
657,"$64,140",92313
658,"$64,089",92780
659,"$64,034",95993
660,"$63,948",92373
661,"$63,934",93711
662,"$63,901",95631
663,"$63,871",92354
664,"$63,833",90606
665,"$63,816",95982
666,"$63,750",92398
667,"$63,750",95776
668,"$63,740",91722
669,"$63,728",92056
670,"$63,722",91905
671,"$63,721",95602
672,"$63,610",92868
673,"$63,604",95658
674,"$63,544",91602
675,"$63,529",95941
676,"$63,514",93428
677,"$63,413",92585
678,"$63,248",95330
679,"$63,173",94109
680,"$63,112",93440
681,"$63,111",91202
682,"$63,105",93675
683,"$63,045",91780
684,"$63,029",95403
685,"$62,969",93427
686,"$62,969",95678
687,"$62,828",92806
688,"$62,677",92879
689,"$62,589",92866
690,"$62,558",90305
691,"$62,533",90502
692,"$62,533",93555
693,"$62,500",91501
694,"$62,500",95043
695,"$62,424",95245
696,"$62,384",95252
697,"$62,372",91752
698,"$62,365",95060
699,"$62,262",95376
700,"$62,253",95062
701,"$62,230",93921
702,"$62,182",94515
703,"$62,180",95946
704,"$62,109",92305
705,"$62,076",95448
706,"$62,056",95223
707,"$62,043",95692
708,"$62,016",91316
709,"$61,952",91730
710,"$61,934",92840
711,"$61,563",94571
712,"$61,525",92595
713,"$61,500",95113
714,"$61,488",96062
715,"$61,466",93601
716,"$61,379",93444
717,"$61,319",93239
718,"$61,310",94573
719,"$61,308",93437
720,"$61,296",91916
721,"$61,270",91761
722,"$61,255",95632
723,"$61,250",95228
724,"$61,157",96120
725,"$60,959",91306
726,"$60,952",94710
727,"$60,920",92110
728,"$60,899",91342
729,"$60,899",95220
730,"$60,896",91748
731,"$60,802",90401
732,"$60,750",95938
733,"$60,724",93243
734,"$60,720",95713
735,"$60,660",95619
736,"$60,655",92557
737,"$60,648",95685
738,"$60,625",92549
739,"$60,587",93265
740,"$60,579",95626
741,"$60,556",95075
742,"$60,544",90701
743,"$60,536",95064
744,"$60,532",91723
745,"$60,523",90650
746,"$60,513",93561
747,"$60,459",95949
748,"$60,268",96103
749,"$60,230",94134
750,"$60,162",92154
751,"$60,148",91345
752,"$60,139",93517
753,"$60,124",91977
754,"$60,118",91010
755,"$60,100",95476
756,"$60,089",94060
757,"$60,000",93925
758,"$59,995",92346
759,"$59,965",95212
760,"$59,878",90501
761,"$59,844",95634
762,"$59,832",95962
763,"$59,738",93461
764,"$59,728",92278
765,"$59,699",94544
766,"$59,679",92139
767,"$59,628",94702
768,"$59,545",95441
769,"$59,502",91746
770,"$59,412",92704
771,"$59,375",95497
772,"$59,302",92399
773,"$59,150",94709
774,"$59,125",90024
775,"$59,125",93602
776,"$59,099",91103
777,"$59,056",95367
778,"$59,028",95615
779,"$58,993",91324
780,"$58,913",95959
781,"$58,889",96096
782,"$58,854",93226
783,"$58,853",92832
784,"$58,810",95470
785,"$58,659",94595
786,"$58,643",94567
787,"$58,613",94703
788,"$58,517",95694
789,"$58,500",92706
790,"$58,500",95232
791,"$58,438",95957
792,"$58,381",93631
793,"$58,365",91101
794,"$58,363",94559
795,"$58,361",91304
796,"$58,353",91906
797,"$58,289",95421
798,"$58,272",95818
799,"$58,262",92582
800,"$58,191",95329
801,"$58,012",93238
802,"$57,969",95975
803,"$57,917",96014
804,"$57,895",94541
805,"$57,883",91325
806,"$57,860",93030
807,"$57,789",91744
808,"$57,731",93505
809,"$57,708",92627
810,"$57,670",93920
811,"$57,664",95627
812,"$57,654",91321
813,"$57,652",95361
814,"$57,640",91042
815,"$57,639",95970
816,"$57,610",94605
817,"$57,588",93543
818,"$57,557",92211
819,"$57,484",94928
820,"$57,470",95122
821,"$57,400",95425
822,"$57,333",92831
823,"$57,287",92114
824,"$57,286",92509
825,"$57,241",93402
826,"$57,223",92028
827,"$57,212",96141
828,"$57,124",92307
829,"$57,095",90242
830,"$57,052",92504
831,"$57,047",95111
832,"$57,038",92707
833,"$57,014",93426
834,"$56,973",94533
835,"$56,923",95956
836,"$56,885",95336
837,"$56,875",93560
838,"$56,875",95689
839,"$56,767",91754
840,"$56,743",90034
841,"$56,738",93552
842,"$56,696",95640
843,"$56,683",95488
844,"$56,671",95076
845,"$56,667",95720
846,"$56,651",95834
847,"$56,646",95355
848,"$56,632",91803
849,"$56,607",90660
850,"$56,607",95549
851,"$56,567",93015
852,"$56,563",96009
853,"$56,541",95973
