,median_cost for house_2014,zip
290,"$2,849",95452
291,"$2,844",94973
292,"$2,838",91325
293,"$2,837",91202
294,"$2,830",92629
295,"$2,828",94949
296,"$2,828",95065
297,"$2,827",92618
298,"$2,823",95003
299,"$2,822",95119
300,"$2,816",91390
301,"$2,814",94044
302,"$2,813",91107
303,"$2,806",91915
304,"$2,803",91901
305,"$2,801",91902
306,"$2,801",95050
307,"$2,800",91307
308,"$2,790",95060
309,"$2,789",95460
310,"$2,783",90028
311,"$2,776",92270
312,"$2,776",92867
313,"$2,775",95391
314,"$2,774",91354
315,"$2,768",92688
316,"$2,767",91316
317,"$2,765",92101
318,"$2,765",92692
319,"$2,763",92880
320,"$2,763",94530
321,"$2,763",95131
322,"$2,760",92610
323,"$2,757",94542
324,"$2,755",93023
325,"$2,752",91913
326,"$2,751",95035
327,"$2,747",92656
328,"$2,746",93021
329,"$2,745",92649
330,"$2,744",94502
331,"$2,739",90015
332,"$2,736",91214
333,"$2,732",92107
334,"$2,729",93950
335,"$2,725",94514
336,"$2,725",96161
337,"$2,724",94555
338,"$2,717",95699
339,"$2,716",92129
340,"$2,716",95618
341,"$2,716",95693
342,"$2,714",91401
343,"$2,712",94947
344,"$2,710",92029
345,"$2,710",92675
346,"$2,709",94595
347,"$2,709",95007
348,"$2,708",95304
349,"$2,706",94599
350,"$2,706",95136
351,"$2,705",90814
352,"$2,700",94102
353,"$2,699",94080
354,"$2,699",94602
355,"$2,697",93110
356,"$2,696",93921
357,"$2,691",94597
358,"$2,690",93013
359,"$2,689",95051
360,"$2,688",94505
361,"$2,685",93510
362,"$2,684",92627
363,"$2,683",91324
364,"$2,682",90019
365,"$2,682",91741
366,"$2,681",95132
367,"$2,678",92807
368,"$2,677",95663
369,"$2,677",95728
370,"$2,676",95004
371,"$2,673",90503
372,"$2,668",91711
373,"$2,667",93664
374,"$2,665",91101
375,"$2,662",95556
376,"$2,660",91206
377,"$2,656",92008
378,"$2,654",92869
379,"$2,652",92626
380,"$2,651",90038
381,"$2,650",93067
382,"$2,649",91789
383,"$2,647",94923
384,"$2,645",91504
385,"$2,644",91506
386,"$2,637",92103
387,"$2,635",91344
388,"$2,633",94548
389,"$2,629",94551
390,"$2,628",92064
391,"$2,623",94401
392,"$2,621",94587
393,"$2,618",92653
394,"$2,615",95006
395,"$2,614",93012
396,"$2,613",91304
397,"$2,609",92078
398,"$2,607",91709
399,"$2,606",96136
400,"$2,604",91775
401,"$2,603",90012
402,"$2,603",90230
403,"$2,603",91737
404,"$2,603",93117
405,"$2,602",92612
406,"$2,600",95017
407,"$2,594",94112
408,"$2,594",94536
409,"$2,594",94609
410,"$2,592",94015
411,"$2,587",93065
412,"$2,586",92870
413,"$2,586",93730
414,"$2,582",91411
415,"$2,581",95476
416,"$2,579",94513
417,"$2,579",95449
418,"$2,577",95018
419,"$2,573",92676
420,"$2,572",90815
421,"$2,572",94066
422,"$2,570",90623
423,"$2,570",95236
424,"$2,565",92646
425,"$2,561",91311
426,"$2,561",91360
427,"$2,560",92647
428,"$2,558",95615
429,"$2,555",91104
430,"$2,552",94014
431,"$2,552",95123
432,"$2,549",90807
433,"$2,546",91387
434,"$2,543",91201
435,"$2,543",91941
436,"$2,543",95112
437,"$2,541",93465
