,median_cost for house_2014,zip
1242,"$1,495",95207
1243,"$1,495",95301
1244,"$1,495",95961
1245,"$1,492",93927
1246,"$1,491",92408
1247,"$1,491",95659
1248,"$1,489",95345
1249,"$1,489",95369
1250,"$1,489",96122
1251,"$1,488",95322
1252,"$1,487",95380
1253,"$1,486",93292
1254,"$1,485",92394
1255,"$1,481",95307
1256,"$1,481",95828
1257,"$1,480",95666
1258,"$1,480",95991
1259,"$1,479",92243
1260,"$1,478",95937
1261,"$1,475",93225
1262,"$1,470",92335
1263,"$1,470",93550
1264,"$1,470",95039
1265,"$1,469",93643
1266,"$1,467",95420
1267,"$1,466",92342
1268,"$1,466",95963
1269,"$1,466",96024
1270,"$1,461",95827
1271,"$1,459",95206
1272,"$1,458",92250
1273,"$1,458",92314
1274,"$1,458",95568
1275,"$1,456",93553
1276,"$1,456",93626
1277,"$1,455",93222
1278,"$1,455",95953
1279,"$1,455",96086
1280,"$1,453",92325
1281,"$1,453",95232
1282,"$1,451",95962
1283,"$1,449",93635
1284,"$1,449",95350
1285,"$1,449",96020
1286,"$1,448",92086
1287,"$1,448",93309
1288,"$1,448",95233
1289,"$1,446",95386
1290,"$1,445",96088
1291,"$1,444",95653
1292,"$1,440",95358
1293,"$1,440",95982
1294,"$1,438",93954
1295,"$1,438",95627
1296,"$1,438",96048
1297,"$1,437",92249
1298,"$1,437",92404
1299,"$1,431",96052
1300,"$1,429",92241
1301,"$1,429",95542
1302,"$1,429",96105
1303,"$1,428",92004
1304,"$1,427",95947
1305,"$1,426",92553
1306,"$1,425",92376
1307,"$1,423",92365
1308,"$1,423",95607
1309,"$1,419",93306
1310,"$1,417",92309
1311,"$1,417",93612
1312,"$1,417",95605
1313,"$1,417",95686
1314,"$1,417",95823
1315,"$1,415",96069
1316,"$1,414",92358
1317,"$1,414",93710
1318,"$1,414",96050
1319,"$1,412",92231
1320,"$1,410",95932
1321,"$1,403",93274
1322,"$1,403",95501
1323,"$1,402",92392
1324,"$1,402",92545
1325,"$1,402",95372
1326,"$1,400",92544
1327,"$1,400",93434
1328,"$1,400",93637
1329,"$1,400",95490
1330,"$1,400",95956
1331,"$1,398",92395
1332,"$1,398",96010
1333,"$1,397",93654
1334,"$1,395",93534
1335,"$1,393",95842
1336,"$1,393",96092
1337,"$1,391",95562
1338,"$1,390",92227
1339,"$1,390",96094
1340,"$1,389",95916
1341,"$1,388",95969
1342,"$1,388",96009
1343,"$1,385",93452
1344,"$1,385",93628
1345,"$1,383",92372
1346,"$1,381",95204
1347,"$1,380",93040
1348,"$1,380",93610
1349,"$1,379",92236
1350,"$1,377",95348
1351,"$1,377",95917
1352,"$1,376",95246
1353,"$1,375",93226
1354,"$1,375",95720
1355,"$1,370",93560
1356,"$1,370",95423
1357,"$1,369",92549
1358,"$1,369",93526
1359,"$1,367",95531
1360,"$1,366",92583
1361,"$1,366",96034
1362,"$1,362",92285
1363,"$1,358",95428
1364,"$1,357",92225
1365,"$1,357",95526
1366,"$1,357",95715
1367,"$1,357",95951
1368,"$1,357",95966
1369,"$1,354",92308
1370,"$1,354",96016
1371,"$1,351",93555
1372,"$1,351",95988
1373,"$1,350",93270
1374,"$1,349",93263
1375,"$1,346",95645
1376,"$1,344",92385
1377,"$1,344",96134
1378,"$1,343",93535
1379,"$1,343",95948
1380,"$1,340",93527
1381,"$1,338",92345
1382,"$1,338",92548
1383,"$1,338",95820
1384,"$1,335",96051
1385,"$1,335",96097
1386,"$1,332",93721
1387,"$1,332",95210
1388,"$1,331",92220
1389,"$1,330",95979
1390,"$1,327",96032
1391,"$1,326",93656
1392,"$1,326",95838
1393,"$1,323",96028
1394,"$1,321",93206
1395,"$1,321",96007
1396,"$1,320",96113
1397,"$1,319",96019
1398,"$1,318",93247
1399,"$1,316",95360
1400,"$1,314",95203
1401,"$1,313",92347
1402,"$1,313",95202
1403,"$1,313",95432
1404,"$1,312",95328
1405,"$1,302",95255
1406,"$1,298",95551
1407,"$1,297",93505
1408,"$1,295",95315
1409,"$1,294",93268
1410,"$1,293",93591
1411,"$1,293",95333
1412,"$1,293",95354
1413,"$1,293",95458
1414,"$1,288",93638
1415,"$1,287",95965
1416,"$1,286",93254
1417,"$1,286",93618
1418,"$1,283",96054
1419,"$1,275",96063
1420,"$1,274",92284
1421,"$1,274",93242
1422,"$1,271",95527
1423,"$1,270",92363
1424,"$1,270",96055
1425,"$1,269",95379
1426,"$1,267",95660
1427,"$1,266",93647
1428,"$1,264",95950
1429,"$1,263",92341
1430,"$1,260",93272
1431,"$1,260",95815
1432,"$1,256",92405
1433,"$1,252",96064
1434,"$1,250",93461
1435,"$1,247",96025
1436,"$1,245",93609
1437,"$1,243",92539
1438,"$1,243",95351
1439,"$1,242",96080
1440,"$1,239",93215
1441,"$1,235",93518
1442,"$1,231",93249
1443,"$1,229",93257
1444,"$1,226",95955
1445,"$1,224",93523
1446,"$1,223",93517
1447,"$1,222",95552
1448,"$1,218",93728
1449,"$1,217",92301
1450,"$1,215",95954
1451,"$1,211",92356
1452,"$1,209",92410
1453,"$1,209",95824
1454,"$1,208",93622
1455,"$1,205",92411
1456,"$1,203",92240
1457,"$1,201",96035
1458,"$1,200",93726
1459,"$1,199",92256
1460,"$1,199",92378
1461,"$1,197",93286
1462,"$1,197",95422
1463,"$1,197",96056
1464,"$1,196",92368
1465,"$1,193",95041
1466,"$1,192",93705
1467,"$1,191",96118
1468,"$1,188",93207
1469,"$1,188",93244
1470,"$1,182",93725
1471,"$1,181",95388
1472,"$1,180",93650
1473,"$1,179",96033
1474,"$1,178",93304
1475,"$1,177",93224
1476,"$1,175",92311
1477,"$1,174",93648
1478,"$1,173",93212
1479,"$1,165",92586
1480,"$1,162",93307
1481,"$1,161",95914
1482,"$1,160",92274
1483,"$1,159",95341
1484,"$1,158",91934
1485,"$1,158",96057
1486,"$1,157",93280
1487,"$1,155",93201
1488,"$1,155",95464
1489,"$1,154",92277
1490,"$1,145",96109
1491,"$1,143",93620
1492,"$1,141",96014
1493,"$1,136",93305
1494,"$1,136",96084
1495,"$1,135",95919
1496,"$1,132",95205
1497,"$1,131",92386
1498,"$1,129",93267
1499,"$1,128",92281
1500,"$1,126",93616
1501,"$1,125",93429
1502,"$1,125",96110
1503,"$1,123",93640
1504,"$1,123",95935
1505,"$1,122",93255
1506,"$1,119",93240
1507,"$1,118",96038
1508,"$1,116",96021
1509,"$1,110",93234
1510,"$1,109",95601
1511,"$1,106",93204
1512,"$1,106",96013
1513,"$1,104",96090
1514,"$1,104",96112
1515,"$1,103",96044
1516,"$1,100",93673
1517,"$1,098",93266
1518,"$1,091",93218
1519,"$1,090",95548
1520,"$1,090",96027
1521,"$1,089",93541
1522,"$1,088",92543
1523,"$1,087",93660
1524,"$1,084",92252
1525,"$1,084",93250
1526,"$1,082",93646
1527,"$1,071",95543
1528,"$1,070",93706
1529,"$1,069",95257
1530,"$1,063",95365
1531,"$1,062",93703
1532,"$1,059",92254
1533,"$1,058",92275
1534,"$1,055",93203
1535,"$1,050",96058
1536,"$1,050",96101
1537,"$1,049",95346
1538,"$1,047",93241
1539,"$1,042",93652
1540,"$1,037",93615
1541,"$1,022",95546
1542,"$1,012",93702
1543,"$1,007",96071
1544,"$1,000",96039
1545,$999,92322
1546,$996,93501
1547,$989,93202
1548,$987,93285
1549,$986,93219
1550,$986,93235
1551,$986,96104
1552,$983,92239
1553,$982,95960
1554,$981,93223
1555,$979,93666
1556,$975,92273
1557,$970,96115
1558,$955,92242
1559,$953,92233
1560,$951,96006
1561,$950,93251
1562,$950,93252
1563,$950,93260
1564,$950,95939
1565,$938,93276
1566,$923,93239
1567,$921,93701
1568,$918,92257
1569,$895,92282
1570,$878,93549
1571,$870,95968
1572,$869,93287
1573,$862,93256
1574,$858,93516
1575,$850,91963
1576,$839,96023
1577,$819,92230
1578,$818,93261
1579,$808,93258
1580,$769,93562
1581,$755,93205
1582,$753,92327
1583,$752,93283
1584,$750,92283
1585,$717,96075
1586,$669,95569
1587,$667,96116
1588,$665,93606
1589,$659,95224
1590,$597,93512
1591,$583,93608
1592,$427,92328
