<<<<<<< HEAD
,Total Population % in 2014,zip
241,47297,95240
242,47172,95843
243,47159,94303
244,47148,95060
245,47136,92544
246,47130,92069
247,47051,94086
248,46999,90047
249,46993,95148
250,46874,91352
251,46834,95037
252,46719,92223
253,46623,92648
254,46433,95336
255,46346,92584
256,46254,90065
257,46163,92705
258,46153,93720
259,46059,91790
260,46025,90027
261,45993,92506
262,45992,90620
263,45926,92078
264,45886,90023
265,45808,94577
266,45747,90057
267,45685,92058
268,45552,94116
269,45518,90503
270,45495,95008
271,45467,91606
272,45304,92109
273,45284,90025
274,45074,92688
275,44958,91320
276,44918,95403
277,44893,92102
278,44638,95757
279,44602,92122
280,44590,92104
281,44569,92867
282,44468,92843
283,44398,96003
284,44358,93311
285,44357,92019
286,44288,93446
287,44277,93036
288,44208,91360
289,43802,92620
290,43790,91733
291,43779,90007
292,43743,92802
293,43655,91913
294,43644,93313
295,43635,94560
296,43627,92009
297,43596,90241
298,43572,95610
299,43448,94546
300,43407,90501
301,43369,91789
302,43234,93010
303,43199,90242
304,43168,94605
305,43140,90806
306,43118,90043
307,43037,92236
308,42992,92054
309,42907,95822
310,42668,94928
311,42638,94117
312,42618,93726
313,42587,94531
314,42523,94566
315,42518,91387
316,42513,93455
317,42481,92395
318,42470,90059
319,42470,95307
320,42420,90275
321,42323,92040
322,42235,91016
323,42223,94010
324,42103,90605
325,42100,94066
326,42073,93552
327,42043,94121
328,42029,91367
329,42027,94901
330,41929,95678
331,41900,92127
332,41852,95136
333,41597,95831
334,41474,95621
335,41459,95209
336,41453,90045
337,41222,95132
338,41212,95991
339,41138,94521
340,41078,92545
341,41069,95380
342,40945,94025
343,40941,94804
344,40911,92374
345,40839,90278
346,40822,91701
347,40820,95210
348,40767,95628
349,40679,90804
350,40657,95407
351,40603,95762
352,40572,90815
353,40530,95129
354,40503,91401
355,40419,92555
356,40343,94134
357,40253,95404
358,40161,90029
359,40102,94118
360,40101,93637
361,40032,94403
362,39953,92308
363,39834,90808
364,39794,93706
365,39775,94551
366,39767,92591
367,39721,94582
368,39675,92231
369,39616,92806
370,39541,90604
371,39439,93635
372,39438,91942
373,39333,90031
374,39241,92037
375,39120,93534
376,39117,95833
377,39102,90020
378,39073,95835
379,38825,93292
380,38822,95476
381,38816,90802
382,38790,95695
383,38781,91601
384,38743,94520
385,38638,90005
386,38629,94578
387,38604,95401
388,38603,95121
389,38481,94561
390,38462,92253
391,38421,91104
392,38416,94044
393,38378,95826
394,38276,95926
395,38204,92307
396,38138,91205
397,38130,93705
398,38009,91739
399,38007,95301
400,37871,93305
401,37844,92337
402,37769,91311
403,37714,95050
404,37673,95120
405,37667,94061
406,37630,93711
407,37580,92821
408,37481,91001
409,37450,92139
410,37432,91763
411,37390,92869
412,37381,90505
413,37378,91776
414,37362,93454
415,37225,94611
416,37163,95382
417,37062,93245
418,37026,95128
419,37001,94606
420,36928,95205
421,36838,94401
422,36736,90810
423,36714,90301
424,36639,95667
425,36624,94954
426,36604,92083
427,36585,92706
428,36583,92508
429,36499,94534
430,36484,91711
431,36454,91768
432,36425,90036
433,36407,93021
434,36391,95765
435,36358,95062
436,36352,91722
437,36323,92807
438,36081,95928
439,36039,92065
440,36024,91326
441,35935,95838
442,35929,95691
443,35893,92101
444,35878,92240
445,35854,90260
446,35847,95993
447,35826,91350
448,35820,95688
449,35654,94555
450,35653,93657
451,35596,92675
452,35564,91362
453,35534,90266
454,35478,90621
455,35455,91340
456,35366,93012
457,35316,92831
458,35308,92660
459,35274,91780
460,35272,94583
461,35262,90049
462,35201,94124
463,35081,94952
464,35045,94404
465,35041,92672
466,34859,94590
467,34833,93405
468,34814,93612
469,34745,95340
470,34680,92543
471,34618,95126
472,34576,91321
473,34556,94115
474,34546,90277
475,34529,95820
476,34479,92394
477,34469,96001
478,34439,95821
479,34428,94523
480,34246,93561
481,34198,91007
482,34143,90601
483,34122,93703
484,34084,93955
485,34017,92373
486,33969,91750
487,33958,94040
488,33869,91773
489,33868,92131
490,33836,93060
491,33760,93940
492,33744,95341
493,33726,90807
494,33706,91206
495,33635,91355
496,33622,91754
497,33511,95973
498,33474,91941
499,33202,96002
500,33174,91791
501,33157,95482
502,33114,93710
503,33090,90230
504,33050,92551
505,33014,95660
506,33012,90008
507,32978,90606
508,32976,92649
509,32967,93555
510,32943,92116
511,32860,93101
512,32855,92260
513,32839,92841
514,32831,92311
515,32823,91325
516,32822,92679
517,32817,92881
518,32794,95356
519,32793,92220
520,32777,90504
521,32742,95901
522,32675,90062
523,32667,92301
524,32544,95361
525,32453,95377
526,32433,91351
527,32392,91006
528,32362,90222
529,32360,93001
530,32306,94603
531,32274,94526
532,32269,94621
533,32229,94114
534,32130,91423
535,32074,95117
536,32015,90712
537,31940,92883
538,31927,92103
539,31926,94132
540,31910,94588
541,31899,93422
542,31881,94063
543,31828,91107
544,31814,95662
545,31720,92316
546,31709,95358
547,31671,95842
548,31579,95118
549,31575,93654
550,31518,92173
551,31399,90035
552,31399,95337
553,31387,95348
554,31167,92583
555,31139,92595
556,31133,91505
557,31093,95070
558,31083,95825
559,31078,91214
560,30936,94545
561,30916,95966
562,30811,94589
563,30805,90803
564,30770,90680
565,30700,93662
566,30605,94941
567,30586,91803
568,30559,95661
569,30417,93004
570,30409,93619
571,30219,90302
572,30196,92124
573,30110,94903
574,30102,91792
575,30076,93420
576,30064,95632
577,30029,90012
578,29994,90028
579,29972,95682
580,29879,94070
581,29875,92673
582,29847,91356
583,29794,94602
584,29781,95824
585,29734,94610
586,29660,95131
587,29629,95492
588,29628,93618
589,29591,91607
590,29526,92405
591,29420,91746
592,29408,95472
593,29325,92612
594,29311,94580
595,29280,94043
596,29269,94801
597,29246,95204
598,29240,92123
599,29209,91731
600,29205,94585
601,29178,91324
602,29072,91604
603,29034,91354
604,28949,91384
605,28853,92653
606,28843,92081
607,28798,90038
608,28652,95603
609,28649,91752
610,28641,90061
611,28618,96150
612,28535,90405
613,28439,90041
614,28425,92604
615,28411,90713
616,28370,94131
617,28354,95219
618,28298,94549
619,28190,91316
620,28126,91042
621,28013,94102
622,28006,92110
623,27920,93401
624,27843,90039
625,27827,91303
626,27803,90291
627,27792,94107
628,27684,91103
629,27663,90270
630,27662,94133
631,27650,96080
632,27550,90710
633,27515,94510
634,27466,92203
635,27451,90249
636,27443,95969
637,27390,93280
638,27381,95133
639,27353,92868
640,27305,91755
641,27304,92860
642,27290,91915
643,27222,95618
644,27212,93960
645,27094,94306
646,27062,94559
647,27014,94062
648,26979,95961
649,26975,91364
650,26974,94598
651,26966,93035
652,26955,92629
653,26947,92107
654,26936,90304
655,26904,95370
656,26879,93725
657,26818,92227
658,26738,90746
659,26693,92262
660,26679,94002
661,26676,90602
662,26647,94518
663,26464,92008
664,26453,90303
665,26439,91301
666,26438,93901
667,26364,92411
668,26334,94704
669,26324,91740
670,26323,94608
671,26287,90240
672,26257,91932
673,26187,95242
674,26087,95363
675,26044,92596
676,26034,91784
677,26027,91945
678,26009,93704
679,25998,94803
680,25969,94947
681,25914,91030
682,25898,95032
683,25797,91010
684,25788,90064
685,25786,95829
686,25784,95409
687,25772,95815
688,25678,91741
689,25657,92614
690,25597,91307
691,25544,91504
692,25528,94123
693,25482,90274
694,25405,91724
695,25395,91775
696,25365,92120
697,25247,92832
698,25244,95212
699,25223,95945
700,25204,93212
701,25165,91302
702,25116,90403
703,25045,92284
704,24967,93105
705,24900,95503
706,24861,91106
707,24830,94607
708,24759,91737
709,24622,94547
710,24568,92694
711,24564,92211
712,24383,95003
713,24356,95354
714,24353,91403
715,24314,92844
716,24306,94402
717,24301,94530
718,24288,90740
719,24202,95531
720,24151,93610
721,24146,91411
722,24146,94619
723,24112,92277
724,24108,94103
725,24045,95367
726,23998,93041
727,23986,95834
728,23964,94085
729,23926,92119
730,23914,95054
731,23883,92011
732,23769,95501
733,23764,95215
734,23719,90017
735,23715,95746
736,23668,92651
737,23529,92602
738,23509,92225
739,23497,90272
740,23378,92835
741,23264,93314
742,23007,91202
743,22985,91201
744,22942,96007
745,22808,95677
746,22772,92663
747,22698,95864
748,22696,93933
749,22664,92118
750,22583,92782
751,22573,94024
752,22409,90048
753,22348,92251
754,22325,90720
755,22294,92606
756,22216,92501
757,22203,94030
758,22059,94609
759,21943,90068
760,21920,96130
761,21896,94506
762,21842,94579
763,21827,95776
764,21812,93907
765,21784,93203
766,21641,90404
767,21612,90717
768,21555,92354
769,21516,95405
770,21507,90292
771,21478,90210
772,21421,94703
773,21392,92344
774,21349,95135
775,21345,92618
776,21303,93210
777,21260,92532
778,21098,91101
779,21005,95620
780,20778,94596
781,20769,95521
782,20671,91011
783,20645,94597
784,20603,93023
785,20599,95965
786,20476,94089
787,20475,90603
788,20426,90069
789,20296,91381
790,20294,95827
791,20283,90715
792,20271,93103
793,20266,91361
794,20206,94706
795,20204,93263
796,20173,92603
797,20148,92585
798,20137,92808
799,20135,95818
800,20116,94503
801,20071,92887
802,20017,91040
803,20010,91723
804,19927,94519
805,19829,91501
806,19825,92082
807,19810,90732
808,19754,92264
809,19750,92377
810,19737,94022
811,19725,90254
812,19715,92865
813,19691,91390
814,19640,95949
815,19578,93444
816,19539,92106
817,19528,92029
818,19504,91902
819,19384,92586
820,19361,95841
821,19356,94127
822,19245,92108
823,19239,95110
824,19189,93560
825,19136,95138
826,18990,93630
827,18937,92274
828,18932,93247
829,18789,90814
830,18704,94564
831,18498,95602
832,18496,95519
833,18475,96161
834,18474,93241
835,18428,91506
836,18382,94019
837,18374,95819
838,18315,91602
839,18284,94563
840,18226,90015
841,18196,91345
842,18184,91901
843,17973,94945
844,17971,95304
845,17702,95330
846,17697,93927
847,17660,90265
848,17634,92270
849,17554,93111
850,17488,96022
851,17423,93015
852,17321,93110
853,17202,92845
854,17135,90502
855,17078,95448
856,17013,95959
857,17007,94618
858,16927,94301
859,16926,91914
860,16890,93268
861,16868,94702
862,16845,95816
863,16844,93631
864,16843,93930
865,16839,90245
866,16837,94595
867,16811,95134
868,16787,92587
869,16734,95366
870,16698,90701
871,16548,91208
872,16386,94949
873,16330,95334
874,16292,91204
875,16284,92637
876,16200,92582
877,16121,96021
878,16102,93648
879,15999,94960
880,15973,94507
881,15944,93013
882,15805,92617
883,15767,90623
884,15711,95203
885,15594,90670
886,15505,94556
887,15501,90305
888,15473,92866
889,15453,95422
890,15391,93221
891,15365,93950
892,15353,90232
893,15318,92408
894,15283,92010
895,15209,94552
896,15095,95066
897,15018,95963
898,14880,93402
899,14773,95673
900,14729,92371
901,14711,93728
902,14563,91436
903,14559,95130
904,14553,93204
905,14512,91377
906,14500,94612
907,14474,95368
908,14472,93514
909,14472,95817
910,14410,95388
911,14358,90716
912,14353,94505
913,14351,95437
914,14329,94805
915,14326,95605
916,14143,95252
917,13930,94108
918,13925,93250
919,13740,91203
920,13613,91108
921,13578,93543
922,13551,94041
923,13538,94305
924,13525,92014
925,13429,95030
926,13337,93433
927,13232,93505
928,13192,94502
929,13012,95540
930,12954,93923
931,12905,95490
932,12830,90040
933,12790,94705
934,12781,94517
935,12739,95320
936,12725,92055
937,12605,91502
938,12583,94920
939,12572,92625
940,12535,95954
941,12498,94542
942,12437,92075
943,12415,90212
944,12402,94707
945,12381,95315
946,12359,95391
947,12350,93908
948,12300,92254
949,12271,94904
950,12255,95650
951,12252,92313
952,12140,93640
953,12119,93108
954,12035,95451
955,12030,94709
956,11997,90293
957,11926,93647
958,11919,93636
959,11908,95832
960,11799,92610
961,11782,92007
962,11756,95360
963,11685,93301
964,11585,94065
965,11503,90402
966,11400,90755
967,11373,91105
968,11353,95357
969,11143,94708
970,11114,94965
971,11075,95338
972,11060,91024
973,11031,93109
974,10998,93442
975,10865,93614
976,10849,95073
977,10788,93701
978,10759,93223
979,10716,93646
980,10699,95425
981,10681,95640
982,10631,95953
983,10595,95119
984,10575,90013
985,10572,92314
986,10470,95012
987,10460,92233
988,10378,93219
989,10349,95948
990,10345,95453
991,10334,91207
992,10206,95946
993,10137,93730
994,10129,96019
995,10076,95814
996,10066,95386
997,10028,93620
998,9942,93286
999,9936,90248
1000,9920,95713
1001,9812,91978
1002,9790,96097
1003,9780,95742
1004,9751,92657
1005,9747,93622
1006,9652,93465
1007,9648,94572
1008,9628,95033
1009,9574,95694
1010,9487,95326
1011,9478,94925
1012,9469,92567
1013,9408,93546
1014,9367,95010
1015,9300,94574
1016,9271,93723
1017,9249,91020
1018,9228,92252
1019,9191,92310
1020,9162,95006
1021,9156,92241
1022,9139,92655
1023,9128,93926
1024,9020,92067
1025,8913,95988
1026,8756,94930
1027,8727,95322
1028,8679,95327
1029,8570,94931
1030,8566,95726
1031,8461,92250
1032,8426,91935
1033,8425,95064
1034,8380,90056
1035,8331,95065
1036,8328,90077
1037,8318,92325
1038,8298,92359
1039,8171,94571
1040,8132,93463
1041,8097,92320
1042,8080,90211
1043,7921,92276
1044,7808,95932
1045,7789,93449
1046,7733,95324
1047,7660,95018
1048,7501,95220
1049,7434,93644
1050,7374,95019
1051,7314,94515
1052,7289,93510
1053,7230,94027
1054,7194,93656
1055,7178,93434
1056,7168,93445
1057,7147,92249
1058,7131,95811
1059,7069,93022
1060,7068,93625
1061,7035,90401
1062,7020,92548
1063,6994,96067
1064,6962,93267
1065,6935,94939
1066,6902,90290
1067,6896,93234
1068,6874,95470
1069,6783,92352
1070,6733,95316
1071,6720,94028
1072,6659,90014
1073,6632,95139
1074,6619,95642
1075,6615,95005
1076,6558,93591
1077,6555,95683
1078,6450,92624
1079,6439,94710
1080,6370,96094
1081,6348,93428
1082,6335,95626
1083,6308,93721
1084,6303,92342
1085,6303,95046
1086,6293,92356
1087,6282,94105
1088,6261,95658
1089,6168,95467
1090,6062,90094
1091,6035,93256
1092,5979,95987
1093,5967,93924
1094,5943,95693
1095,5929,92372
1096,5923,93615
1097,5911,92861
1098,5910,95631
1099,5843,93609
1100,5798,95971
1101,5667,93240
1102,5582,95436
1103,5572,93225
1104,5533,95666
1105,5530,94158
1106,5519,93270
1107,5409,95202
1108,5355,92363
1109,5279,93427
1110,5260,96101
1111,5258,93501
1112,5236,92315
1113,5228,95222
1114,5166,95672
1115,5161,92382
1116,4961,95231
1117,4953,95709
1118,4944,93460
1119,4937,95619
1120,4862,95665
1121,4839,92210
1122,4832,92121
1123,4812,94951
1124,4812,95692
1125,4796,95365
1126,4762,96064
1127,4717,95328
1128,4689,95247
1129,4621,93660
1130,4616,92397
1131,4592,95655
1132,4578,93953
1133,4576,95228
1134,4550,95912
1135,4543,94535
1136,4524,95722
1137,4502,96073
1138,4478,94964
1139,4421,94005
1140,4419,95446
1141,4382,96122
1142,4317,95623
1143,4306,92003
1144,4283,95614
1145,4278,95685
1146,4207,93602
1147,4187,93451
1148,4156,92278
1149,4118,94508
1150,4099,96088
1151,4097,96055
1152,4044,93235
1153,4006,96093
1154,3973,95258
1155,3969,95045
1156,3952,90704
1157,3936,95938
1158,3890,92539
1159,3886,95004
1160,3881,96013
1161,3855,96143
1162,3841,92590
1163,3837,95379
1164,3829,95236
1165,3796,95249
1166,3792,90010
1167,3767,93650
1168,3728,95383
1169,3688,94304
1170,3665,93252
1171,3644,91906
1172,3631,92256
1173,3606,96137
1174,3604,96035
1175,3508,95917
1176,3498,95627
1177,3486,93202
1178,3486,93453
1179,3477,94111
1180,3464,93437
1181,3461,95321
1182,3447,91708
1183,3438,93272
1184,3435,94038
1185,3435,95562
1186,3434,95546
1187,3378,93523
1188,3334,94129
1189,3334,95458
1190,3331,95457
1191,3326,90089
1192,3318,95461
1193,3315,96114
1194,3297,92230
1195,3251,95982
1196,3248,93261
1197,3247,95633
1198,3230,93242
1199,3215,96145
1200,3187,94599
1201,3179,93066
1202,3164,93921
1203,3154,95442
1204,3152,92661
1205,3151,94525
1206,3143,95634
1207,3083,94130
1208,3078,95536
1209,3064,95333
1210,3059,94720
1211,3042,95223
1212,3040,95423
1213,3018,92662
1214,3001,92391
1215,2999,95237
1216,2980,95684
1217,2977,92036
1218,2960,92823
1219,2948,95951
1220,2913,90021
1221,2892,93265
1222,2880,94037
1223,2808,93675
1224,2795,96041
1225,2750,92536
1226,2748,90058
1227,2735,93430
1228,2731,92285
1229,2730,95053
1230,2724,93643
1231,2718,95542
1232,2708,91330
1233,2698,93249
1234,2676,95669
1235,2654,95329
1236,2652,92549
1237,2624,92004
1238,2594,92140
1239,2508,95485
1240,2506,96134
1241,2491,95428
1242,2485,95663
1243,2462,96027
1244,2457,93601
1245,2419,93532
1246,2364,90067
1247,2339,96032
1248,2338,95460
1249,2334,92283
1250,2328,95465
1251,2313,93283
1252,2294,96113
1253,2292,93258
1254,2278,93271
1255,2271,93516
1256,2246,96020
1257,2218,93285
1258,2208,95464
1259,2196,93206
1260,2158,94511
1261,2135,95454
1262,2126,93616
1263,2110,95645
1264,2104,92401
1265,2102,96025
1266,2099,93545
1267,2089,93667
1268,2083,95570
1269,2073,95311
1270,2072,95975
1271,2065,93205
1272,2064,95245
1273,2047,95638
1274,2037,93040
1275,2033,92676
1276,1991,95255
1277,1989,95441
1278,1987,90263
1279,1975,93553
1280,1969,95372
1281,1968,92145
1282,1960,92281
1283,1960,95469
1284,1953,92365
1285,1950,93239
1286,1949,92386
1287,1934,95310
1288,1932,95690
1289,1914,93527
1290,1902,95524
1291,1887,95977
1292,1854,95567
1293,1847,95374
1294,1831,94973
1295,1826,95551
1296,1824,92061
1297,1814,95211
1298,1805,95918
1299,1781,93562
1300,1772,95903
1301,1757,92257
1302,1732,95641
1303,1722,91962
1304,1720,93243
1305,1687,94956
1306,1681,93222
1307,1672,93925
1308,1668,95525
1309,1663,95947
1310,1661,93461
1311,1660,95002
1312,1659,95426
1313,1652,96052
1314,1650,94060
1315,1633,96028
1316,1600,92561
1317,1591,95415
1318,1590,96118
1319,1584,93513
1320,1583,95449
1321,1581,95319
1322,1580,91916
1323,1575,93238
1324,1569,93651
1325,1554,92347
1326,1545,95039
1327,1541,95346
1328,1537,95421
1329,1529,95919
1330,1522,93426
1331,1522,95445
1332,1483,94020
1333,1475,95681
1334,1472,93440
1335,1465,93266
1336,1459,95548
1337,1450,92059
1338,1438,95968
1339,1434,94924
1340,1433,92091
1341,1433,95573
1342,1413,92275
1343,1407,96056
1344,1384,95955
1345,1374,95560
1346,1370,91905
1347,1359,93624
1348,1357,93653
1349,1357,96103
1350,1347,95547
1351,1339,96023
1352,1335,92086
1353,1332,96057
1354,1314,95452
1355,1312,95389
1356,1291,95916
1357,1285,95962
1358,1274,94575
1359,1273,95528
1360,1258,95246
1361,1253,96062
1362,1244,92321
1363,1235,92242
1364,1228,92273
1365,1226,95589
1366,1216,95462
1367,1215,93668
1368,1206,96039
1369,1202,92327
1370,1195,93441
1371,1193,92070
1372,1192,95468
1373,1174,94514
1374,1173,93201
1375,1173,95553
1376,1165,92398
1377,1163,95113
1378,1163,96024
1379,1149,91008
1380,1135,95664
1381,1133,95937
1382,1129,92518
1383,1128,96008
1384,1127,92358
1385,1126,96140
1386,1110,96051
1387,1098,95942
1388,1092,95565
1389,1091,96120
1390,1090,95615
1391,1077,96107
1392,1069,94933
1393,1065,95703
1394,1064,92368
1395,1063,94957
1396,1045,95612
1397,1043,91963
1398,1040,96044
1399,1033,95317
1400,1019,95303
1401,1010,95652
1402,1009,93218
1403,1006,95313
1404,1002,95629
1405,998,95323
1406,997,92339
1407,986,93518
1408,984,94586
1409,983,95497
1410,977,95369
1411,977,96048
1412,974,95960
1413,970,94937
1414,965,95686
1415,955,92135
1416,952,95306
1417,951,93544
1418,939,93962
1419,938,95227
1420,922,95674
1421,916,92309
1422,915,94528
1423,913,95466
1424,911,92322
1425,910,93673
1426,904,95689
1427,896,91917
1428,886,95410
1429,884,94938
1430,880,96069
1431,874,93604
1432,874,95251
1433,870,95635
1434,869,95549
1435,853,93424
1436,842,90742
1437,842,94613
1438,839,93920
1439,823,96146
1440,814,93450
1441,814,96015
1442,814,96096
1443,813,93626
1444,805,95943
1445,801,90073
1446,798,93432
1447,796,93517
1448,783,92282
1449,781,96148
1450,775,95659
1451,775,96047
1452,774,95444
1453,773,95957
1454,771,95636
1455,768,95387
1456,762,95830
1457,758,96128
1458,752,95668
1459,752,96058
1460,736,94923
1461,731,96109
1462,731,96142
1463,730,94567
1464,727,95007
1465,725,93608
1466,724,95950
1467,721,93452
1468,718,95701
1469,714,92155
1470,714,93526
1471,711,96059
1472,703,93664
1473,700,93254
1474,694,95637
1475,685,95979
1476,683,93666
1477,682,94946
1478,682,95254
1479,669,96141
1480,655,95556
1481,654,95017
1482,651,93541
1483,651,94592
1484,641,93067
1485,640,92333
1486,636,95043
1487,635,95230
1488,631,91980
1489,614,91210
1490,613,95335
1491,612,93665
1492,605,92268
1493,604,93606
1494,601,95318
1495,600,95456
1496,599,96038
1497,598,93255
1498,596,95459
1499,595,95922
1500,594,95935
1501,591,95233
1502,589,93529
1503,587,95552
1504,578,96091
1505,570,95225
1506,566,95439
1507,565,95653
1508,564,93932
1509,562,92147
1510,559,95563
1511,555,95914
1512,554,95697
1513,553,95527
1514,551,95543
1515,548,96104
1516,532,96016
1517,530,96084
1518,528,95471
1519,526,96033
1520,525,96087
1521,520,92258
1522,517,95651
1523,515,95385
1524,512,95939
1525,511,95431
1526,505,95941
1527,504,95934
1528,500,95564
1529,495,94970
1530,495,95728
1531,492,94922
1532,482,95970
1533,461,94963
1534,459,95956
1535,454,95585
1536,452,95511
1537,448,95345
1538,442,95420
1539,440,95983
1540,429,93224
1541,428,92239
1542,427,92678
1543,417,95920
1544,408,96050
1545,400,94548
1546,400,96006
1547,397,96090
1548,387,96065
1549,385,95257
1550,379,96086
1551,375,93563
1552,369,91759
1553,366,96124
1554,363,93226
1555,362,93928
1556,362,94971
1557,360,95558
1558,355,95435
1559,352,95412
1560,348,95432
1561,340,93244
1562,338,93531
1563,334,93549
1564,331,91931
1565,330,90743
1566,330,95075
1567,329,95555
1568,329,96009
1569,325,95554
1570,321,92305
1571,320,94074
1572,320,94569
1573,315,95607
1574,311,95639
1575,309,95488
1576,309,95675
1577,308,96075
1578,307,93621
1579,295,95226
1580,294,92341
1581,294,96054
1582,293,91934
1583,289,95837
1584,288,93652
1585,285,96034
1586,285,96125
1587,284,93669
1588,284,95714
1589,281,92328
1590,277,95569
1591,277,96092
1592,276,95312
1593,275,96106
1594,274,93603
1595,273,92066
1596,269,92259
1597,269,92385
1598,269,95550
1599,268,95443
1600,267,93558
1601,266,93628
1602,266,95224
1603,265,93220
1604,263,93207
1605,263,93524
1606,261,95234
1607,260,95680
1608,255,96046
1609,250,95736
1610,249,96121
1611,246,93954
1612,244,95936
1613,244,96117
1614,237,95526
1615,234,96017
1616,233,93641
1617,233,95140
1618,230,96112
1619,229,93251
1620,229,96040
1621,228,95375
1622,228,95450
1623,227,95427
1624,223,94104
1625,222,96063
1626,220,96037
1627,219,95698
1628,217,95232
1629,214,94512
1630,212,93645
1631,212,96115
1632,211,94021
1633,201,93605
1634,200,95625
1635,199,95717
1636,199,96074
1637,194,94940
1638,188,95494
1639,187,95493
1640,187,96010
1641,180,95595
1642,178,93512
1643,178,95248
1644,176,93276
1645,175,93260
1646,170,95417
1647,170,95514
1648,169,90822
1649,168,91046
1650,166,92378
1651,165,96029
1652,165,96031
1653,165,96105
1654,162,96116
1655,161,95601
1656,160,96133
1657,155,96011
1658,154,94516
1659,152,95571
1660,152,96014
1661,151,92134
1662,148,95699
1663,146,95041
1664,142,94573
1665,141,93287
1666,135,96068
1667,135,96136
1668,133,96126
1669,130,95537
1670,129,96110
1671,128,93554
1672,128,95587
1673,125,93208
1674,116,93043
1675,115,92389
1676,115,95910
1677,114,93429
1678,103,95559
1679,103,96132
1680,102,95981
1681,99,95545
1682,98,95646
1683,97,93519
1684,94,95568
1685,90,96049
1686,88,96076
