<<<<<<< HEAD
,Total Population % in 2014,zip
=======
,total_pop_2014,zip
>>>>>>> 39c8b22d51bd5db3dc518fd7a7d4fe84c1320722
1,106521,90650
2,102926,90011
3,102515,90201
4,102367,91331
5,99580,92335
6,95515,90280
7,95223,90250
8,94561,90805
9,92959,92503
10,91701,91342
11,91510,92336
12,91204,92683
13,88412,90044
14,87395,94565
15,87121,92704
16,87096,91744
17,86740,92154
18,85969,92804
19,85647,92376
20,84587,95076
21,84184,93307
22,83710,91911
23,83042,91710
24,83032,94112
25,82263,93033
26,81049,92345
27,80455,93722
28,78221,92509
29,78201,92126
30,77952,91335
31,77692,91706
32,77455,90706
33,76797,91910
34,76508,94544
35,76206,90255
36,76187,91709
37,75390,93257
38,74558,92592
39,74203,93550
40,73803,92553
41,73671,93727
42,73641,95823
43,73356,95630
44,73282,93535
45,72273,93065
46,71851,91766
47,71675,94587
48,71430,93274
49,71422,94110
50,71334,92105
51,71313,93536
52,70839,92805
53,70781,91402
54,70696,94536
55,70650,90262
56,70634,94533
57,70188,92882
58,69890,92703
59,69635,95035
60,69516,90022
61,69305,92114
62,68910,93306
63,68899,90631
64,67986,90026
65,67967,94558
66,67606,90019
67,66979,91730
68,66913,90003
69,66854,92021
70,66316,93230
71,66002,94080
72,65781,95687
73,65324,95206
74,64642,92677
75,64602,95123
76,64498,95127
77,63915,92201
78,63883,92801
79,63850,94538
80,63849,91732
81,63686,90660
82,63595,92707
83,63547,90004
84,63529,93906
85,63400,90640
86,63351,94509
87,63293,92562
88,63131,95624
89,63119,91770
90,62941,94015
91,62738,94541
92,62571,94501
93,62478,95014
94,62348,90731
95,62099,95758
96,61976,91343
97,61718,92115
98,61536,90037
99,61490,95828
100,61419,90006
101,61262,91950
102,61215,93030
103,61187,92880
104,61034,90042
105,60907,95111
106,60887,93905
107,60806,92627
108,60729,95608
109,60631,93309
110,60501,92404
111,60475,91702
112,60438,92780
113,60118,92407
114,60101,94806
115,60017,90813
116,59955,95355
117,59892,91761
118,59741,92647
119,59666,95020
120,59657,92630
121,59481,91977
122,58968,90034
123,58845,92346
124,58547,94122
125,58337,90066
126,58305,92020
127,58061,90744
128,58013,92324
129,57727,90745
130,57605,92563
131,57580,92113
132,57564,95122
133,57503,95112
134,57441,92708
135,56929,94513
136,56892,92027
137,56766,92570
138,56687,93063
139,56514,93458
140,56461,92392
141,56415,95747
142,56314,90001
143,56313,93312
144,56291,92840
145,56148,91762
146,56060,91605
147,56028,93215
148,55618,92057
149,55505,92646
150,55362,92071
151,55237,91745
152,55229,94087
153,55176,93436
154,55156,92507
155,55064,93117
156,54899,93291
157,54825,92571
158,54813,90723
159,54768,94109
160,54696,95125
161,54664,92129
162,54530,94591
163,54406,95051
164,54353,90063
165,54132,93308
166,54078,91764
167,54056,92399
168,53960,92504
169,53792,91801
170,53657,90221
171,53528,91406
172,53517,91304
173,53474,92870
174,53406,91405
175,53309,92833
176,53205,92117
177,53165,91344
178,52886,95670
179,52758,92056
180,52597,95116
181,52588,92701
182,52534,92234
183,52152,91786
184,51871,92557
185,51849,93277
186,51816,92530
187,51607,93304
188,51575,92626
189,51459,94539
190,51454,93003
191,51370,92656
192,51329,90046
193,50676,95350
194,50625,95023
195,50572,93551
196,50280,92130
197,50222,90220
198,50117,90024
199,50098,90002
200,50069,90703
201,49990,94601
202,49981,92026
203,49761,93638
204,49734,92025
205,49543,90638
206,49398,95376
207,49264,92128
208,49226,92024
209,49079,92064
210,49064,92505
211,49027,91767
212,48967,92692
213,48891,94553
214,48869,95648
215,48852,90018
216,48844,90630
217,48748,95207
218,48707,91306
219,48654,92879
220,48649,92886
221,48615,92243
222,48597,93611
223,48567,90033
224,48536,94014
225,48505,95124
226,48437,95351
227,48335,92028
228,48275,92084
229,48129,92691
230,48106,95616
231,48097,94568
232,48050,94550
233,47859,91748
234,47850,93702
235,47786,90016
236,47590,92111
237,47562,91765
238,47510,92410
239,47374,90247
240,47309,90032
