,Median_cost_for_house_2000,zip
1255,$965,92394
1256,$964,95659
1257,$962,95204
1258,$962,95838
1259,$961,92404
1260,$961,95246
1261,$960,93643
1262,$960,95202
1263,$959,95379
1264,$958,95323
1265,$956,95542
1266,$955,93654
1267,$955,95315
1268,$954,92358
1269,$953,95215
1270,$952,93291
1271,$950,91934
1272,$950,93287
1273,$950,93623
1274,$950,95387
1275,$950,95552
1276,$950,95932
1277,$949,92539
1278,$949,93513
1279,$949,96093
1280,$947,95419
1281,$945,93653
1282,$943,93638
1283,$943,95345
1284,$943,95936
1285,$941,92113
1286,$941,95969
1287,$940,92268
1288,$940,92301
1289,$938,93534
1290,$938,96050
1291,$936,95692
1292,$935,95919
1293,$931,95351
1294,$930,95346
1295,$929,93274
1296,$926,93527
1297,$923,95551
1298,$922,95203
1299,$918,93225
1300,$917,95944
1301,$916,92276
1302,$916,93210
1303,$913,92249
1304,$911,93601
1305,$910,93927
1306,$910,95573
1307,$910,96028
1308,$909,92583
1309,$909,96056
1310,$908,96020
1311,$906,93205
1312,$905,92405
1313,$904,96007
1314,$902,93725
1315,$902,96080
1316,$900,95947
1317,$900,96124
1318,$897,95987
1319,$895,93505
1320,$895,95041
1321,$895,95681
1322,$894,92318
1323,$892,95245
1324,$890,93257
1325,$889,92004
1326,$888,93541
1327,$888,93545
1328,$888,95454
1329,$887,93591
1330,$887,95660
1331,$886,96122
1332,$885,95444
1333,$883,92341
1334,$883,92410
1335,$883,96047
1336,$882,92220
1337,$881,93618
1338,$881,95560
1339,$881,95605
1340,$878,95458
1341,$876,93726
1342,$876,95501
1343,$875,93555
1344,$875,96126
1345,$874,92586
1346,$874,93526
1347,$874,95335
1348,$871,95494
1349,$871,95824
1350,$871,95832
1351,$870,95555
1352,$868,95820
1353,$868,96055
1354,$868,96105
1355,$866,93304
1356,$864,92365
1357,$861,95983
1358,$860,93705
1359,$860,95388
1360,$860,95901
1361,$859,95988
1362,$858,92311
1363,$858,95334
1364,$858,95815
1365,$855,93267
1366,$850,92059
1367,$850,95585
1368,$850,96075
1369,$850,96108
1370,$848,93610
1371,$844,95675
1372,$843,92273
1373,$843,95457
1374,$842,96048
1375,$842,96091
1376,$841,95963
1377,$840,92233
1378,$840,93270
1379,$840,93647
1380,$840,95922
1381,$840,96027
1382,$839,93268
1383,$839,93280
1384,$839,93307
1385,$839,95525
1386,$838,96037
1387,$836,93215
1388,$834,95563
1389,$832,93263
1390,$830,96069
1391,$829,93247
1392,$829,93721
1393,$829,96097
1394,$828,92543
1395,$825,92309
1396,$825,93203
1397,$825,95423
1398,$825,95953
1399,$825,95957
1400,$825,96086
1401,$823,92241
1402,$822,96016
1403,$822,96094
1404,$821,95916
1405,$817,93640
1406,$815,93223
1407,$815,95966
1408,$811,93622
1409,$810,93242
1410,$810,96019
1411,$809,96052
1412,$808,93305
1413,$808,95255
1414,$808,96071
1415,$807,95369
1416,$807,95422
1417,$805,95728
1418,$802,92236
1419,$800,95558
1420,$800,95914
1421,$800,95920
1422,$795,92240
1423,$795,93703
1424,$795,96118
1425,$794,95464
1426,$794,95965
1427,$792,93609
1428,$792,96021
1429,$791,93286
1430,$790,95230
1431,$790,95485
1432,$790,95562
1433,$789,95917
1434,$788,95948
1435,$787,93212
1436,$787,93240
1437,$786,93648
1438,$783,93616
1439,$783,93646
1440,$781,93238
1441,$780,96035
1442,$779,93255
1443,$778,93450
1444,$776,96057
1445,$775,92401
1446,$775,96010
1447,$775,96112
1448,$771,92284
1449,$770,92327
1450,$770,95205
1451,$769,93241
1452,$769,93620
1453,$769,93668
1454,$768,92411
1455,$768,93239
1456,$766,92281
1457,$766,95968
1458,$765,95443
1459,$763,96032
1460,$761,92254
1461,$761,92363
1462,$761,95567
1463,$760,92368
1464,$760,93249
1465,$760,93252
1466,$760,93549
1467,$758,96113
1468,$756,92356
1469,$755,95306
1470,$754,93272
1471,$752,93728
1472,$752,95955
1473,$751,92347
1474,$750,92338
1475,$750,95225
1476,$750,95537
1477,$750,95571
1478,$750,96011
1479,$745,92386
1480,$744,93283
1481,$744,95939
1482,$743,93206
1483,$743,93285
1484,$743,93656
1485,$741,93706
1486,$740,92258
1487,$738,93235
1488,$736,93218
1489,$733,96109
1490,$728,92256
1491,$728,93202
1492,$728,93702
1493,$727,93660
1494,$727,95935
1495,$727,96006
1496,$727,96044
1497,$725,95548
1498,$725,96025
1499,$725,96115
1500,$723,95943
1501,$720,96038
1502,$718,96013
1503,$717,92277
1504,$717,96074
1505,$713,93606
1506,$709,93254
1507,$708,95428
1508,$706,93234
1509,$706,93615
1510,$705,95328
1511,$701,92398
1512,$700,93673
1513,$700,95417
1514,$700,96084
1515,$697,93501
1516,$695,96064
1517,$693,96092
1518,$692,93266
1519,$692,93516
1520,$692,95527
1521,$692,95559
1522,$690,96059
1523,$689,93523
1524,$687,93204
1525,$687,93219
1526,$684,95951
1527,$683,91759
1528,$683,95925
1529,$679,93641
1530,$677,93208
1531,$677,95961
1532,$676,93250
1533,$675,93518
1534,$675,96101
1535,$674,95333
1536,$673,96090
1537,$664,95930
1538,$661,93650
1539,$659,92230
1540,$658,96017
1541,$652,93701
1542,$650,92328
1543,$650,93224
1544,$650,93282
1545,$650,93554
1546,$650,95224
1547,$650,95312
1548,$650,95550
1549,$650,95910
1550,$650,95934
1551,$650,96009
1552,$650,96054
1553,$650,96061
1554,$650,96065
1555,$648,96134
1556,$641,92252
1557,$641,93256
1558,$640,96104
1559,$633,93665
1560,$632,96041
1561,$619,92242
1562,$613,93562
1563,$613,93669
1564,$611,95365
1565,$605,92285
1566,$604,96039
1567,$600,93261
1568,$600,93666
1569,$600,96058
1570,$600,96106
1571,$593,92275
1572,$582,93608
1573,$574,92259
1574,$559,92257
1575,$550,92389
1576,$550,93251
1577,$550,95526
1578,$550,95587
1579,$550,95972
1580,$550,95978
1581,$550,96014
1582,$550,96034
1583,$550,96076
1584,$535,95556
1585,$525,92266
1586,$521,96023
1587,$520,93201
1588,$513,93207
1589,$513,96110
1590,$506,92283
1591,$500,93530
1592,$486,95424
1593,$475,93522
1594,$450,93528
1595,$450,95735
1596,$400,95546
1597,$371,96046
1598,$350,93276
1599,$350,95318
