,house_median_value_2014,zip
278,"$619,900",92808
279,"$619,500",95460
280,"$619,200",95452
281,"$617,500",94703
282,"$617,000",94501
283,"$616,300",91201
284,"$615,900",95472
285,"$614,600",95037
286,"$614,600",95442
287,"$614,100",94044
288,"$613,400",92210
289,"$613,100",91501
290,"$612,700",94112
291,"$612,600",91326
292,"$610,900",95050
293,"$610,600",92614
294,"$609,900",92008
295,"$609,700",94005
296,"$608,400",91789
297,"$608,200",95017
298,"$606,400",92626
299,"$605,200",91202
300,"$604,800",92708
301,"$603,900",92647
302,"$603,400",95073
303,"$603,200",93013
304,"$602,000",94066
305,"$601,800",92610
306,"$600,900",95148
307,"$600,500",93908
308,"$600,200",95465
309,"$599,800",95746
310,"$597,500",91104
311,"$597,100",90814
312,"$596,800",91214
313,"$596,500",92604
314,"$596,100",91206
315,"$595,600",95448
316,"$595,400",90703
317,"$594,100",92646
318,"$594,100",94599
319,"$593,600",91607
320,"$593,600",92122
321,"$592,400",92121
322,"$592,400",92653
323,"$590,600",90026
324,"$589,900",94080
325,"$589,300",96145
326,"$587,600",92867
327,"$587,500",94530
328,"$587,200",95126
329,"$587,000",94555
330,"$586,600",91780
331,"$586,500",91320
332,"$586,300",95128
333,"$585,200",93449
334,"$584,800",92612
335,"$584,100",94517
336,"$583,500",92129
337,"$582,800",95132
338,"$581,800",94015
339,"$581,200",90623
340,"$579,300",94102
341,"$578,700",92692
342,"$578,200",93424
343,"$575,500",91504
344,"$575,500",94568
345,"$574,700",91381
346,"$573,100",94401
347,"$571,900",94550
348,"$571,100",90028
349,"$569,900",90010
350,"$569,500",94597
351,"$569,200",91741
352,"$567,400",94947
353,"$566,900",95062
354,"$566,300",93405
355,"$564,400",94536
356,"$563,900",94952
357,"$562,300",91367
358,"$562,100",91001
359,"$561,800",92807
360,"$561,400",92103
361,"$560,700",94710
362,"$558,800",95618
363,"$558,500",92869
364,"$557,900",92003
365,"$557,200",91360
366,"$557,100",90230
367,"$557,000",92627
368,"$556,100",91506
369,"$555,900",93401
370,"$555,700",94134
371,"$554,900",91106
372,"$553,500",92866
373,"$553,300",95227
374,"$552,100",92618
375,"$552,000",95007
376,"$551,900",94702
377,"$549,100",94933
378,"$548,900",90038
379,"$548,900",92678
380,"$547,600",90041
381,"$547,500",94602
382,"$547,400",95035
383,"$547,200",95420
384,"$546,200",94508
385,"$545,800",92691
386,"$544,300",95131
387,"$543,800",94949
388,"$542,000",91505
389,"$539,000",91765
390,"$538,300",95616
391,"$537,900",95139
392,"$537,300",91711
393,"$537,100",91020
394,"$536,900",93021
395,"$536,500",91103
396,"$535,400",94542
397,"$534,200",94014
398,"$532,900",95119
399,"$531,900",95005
400,"$531,600",95123
401,"$527,200",92124
402,"$525,400",90504
403,"$524,900",95136
404,"$524,600",91316
405,"$524,500",93023
406,"$523,400",90501
407,"$520,800",90029
408,"$520,800",93420
409,"$517,700",91902
410,"$517,500",94085
411,"$517,500",94609
412,"$516,700",96148
413,"$516,000",92821
414,"$515,800",94523
415,"$515,600",90020
416,"$513,800",92128
417,"$513,400",91307
418,"$513,000",91016
419,"$512,300",92870
420,"$511,900",95466
421,"$511,700",90815
422,"$510,900",91776
423,"$510,900",95439
424,"$510,700",95488
425,"$509,800",93962
426,"$509,100",96141
427,"$508,900",92270
428,"$508,600",90808
429,"$507,600",96136
430,"$506,700",92010
431,"$504,300",91935
432,"$504,200",95587
433,"$502,200",92064
434,"$502,100",96106
435,"$501,700",96142
436,"$500,800",91803
437,"$500,700",91401
438,"$498,300",90293
439,"$498,300",90630
440,"$498,000",91754
441,"$497,700",91941
442,"$497,500",92675
443,"$495,100",94538
444,"$494,000",90732
445,"$492,700",95404
446,"$491,500",91325
447,"$491,400",92688
448,"$489,700",91709
449,"$488,700",95010
450,"$487,500",92630
451,"$487,400",90807
452,"$486,900",93664
453,"$486,100",91784
454,"$485,600",95476
455,"$485,400",95020
456,"$484,600",92110
457,"$484,300",94587
458,"$483,900",96140
459,"$482,300",93012
460,"$481,300",92831
461,"$481,200",92845
462,"$480,200",92029
463,"$478,000",91748
464,"$477,300",95412
465,"$477,200",95762
466,"$476,700",94546
467,"$474,400",93010
468,"$474,400",95612
469,"$474,300",94124
470,"$474,200",94063
471,"$473,300",91914
472,"$472,900",93465
473,"$471,800",91901
474,"$471,800",93546
475,"$471,600",91755
476,"$471,600",91801
477,"$471,500",93442
478,"$471,400",94929
479,"$471,100",92116
480,"$470,000",90065
481,"$467,800",91745
482,"$467,700",92656
483,"$467,100",92833
484,"$465,700",92120
485,"$463,900",91344
486,"$463,400",91390
487,"$463,300",94515
488,"$463,200",91411
489,"$462,700",95121
490,"$462,100",92780
491,"$461,900",92104
492,"$461,900",92117
493,"$461,700",95549
494,"$460,500",90717
495,"$460,000",95469
496,"$459,900",96161
497,"$459,400",94558
498,"$457,500",94619
499,"$457,100",95432
500,"$456,400",95133
501,"$455,600",91354
502,"$455,500",91601
503,"$455,500",94560
504,"$455,300",92865
505,"$455,200",92683
506,"$454,600",91739
507,"$454,000",95018
508,"$452,100",95041
509,"$451,800",94551
510,"$451,500",91324
511,"$451,000",91205
512,"$450,500",93065
513,"$449,700",91750
514,"$448,800",91311
515,"$446,300",91791
516,"$445,500",90731
517,"$443,800",90008
518,"$443,800",95830
519,"$442,900",91304
520,"$442,900",95450
521,"$442,800",92082
522,"$441,900",95445
523,"$441,700",90240
524,"$439,300",91737
525,"$439,100",92706
526,"$438,900",95006
527,"$438,500",95816
