,Median Income 2000,zip
290,"$63,983",94117
291,"$63,971",91962
292,"$63,838",94949
293,"$63,777",94561
294,"$63,774",95829
295,"$63,750",92860
296,"$63,750",93605
297,"$63,620",90808
298,"$63,614",90732
299,"$63,611",90630
300,"$63,611",95835
301,"$63,581",92029
302,"$63,543",91001
303,"$63,526",91773
304,"$63,458",90713
305,"$63,367",92870
306,"$63,349",92270
307,"$63,266",92823
308,"$63,245",93010
309,"$63,161",95492
310,"$63,096",95127
311,"$63,043",93066
312,"$63,039",92867
313,"$62,937",92675
314,"$62,922",95747
315,"$62,917",95944
316,"$62,877",92007
317,"$62,528",94951
318,"$62,509",92555
319,"$62,452",91901
320,"$62,368",92705
321,"$62,357",92506
322,"$62,347",91207
323,"$62,270",91311
324,"$62,121",92106
325,"$61,939",94066
326,"$61,828",95688
327,"$61,800",95376
328,"$61,797",93720
329,"$61,786",90743
330,"$61,776",94121
331,"$61,724",90638
332,"$61,609",94118
333,"$61,583",92562
334,"$61,583",93312
335,"$61,494",94803
336,"$61,429",94569
337,"$61,389",94508
338,"$61,362",94107
339,"$61,356",91367
340,"$61,349",91351
341,"$61,341",90245
342,"$61,339",93441
343,"$61,289",94080
344,"$61,250",95978
345,"$61,074",90815
346,"$61,039",90212
347,"$61,022",94591
348,"$61,000",92384
349,"$60,971",94930
350,"$60,964",94574
351,"$60,868",95722
352,"$60,833",94973
353,"$60,829",92352
354,"$60,817",95122
355,"$60,804",94564
356,"$60,797",92624
357,"$60,769",94938
358,"$60,737",90505
359,"$60,733",94122
360,"$60,711",94014
361,"$60,700",93311
362,"$60,560",95663
363,"$60,513",90803
364,"$60,404",92065
365,"$60,402",94553
366,"$60,383",95628
367,"$60,375",94509
368,"$60,366",91750
369,"$60,299",91604
370,"$60,270",95018
371,"$60,257",92612
372,"$60,229",92126
373,"$60,208",95658
374,"$60,179",93907
375,"$60,082",94572
376,"$60,000",94567
377,"$59,923",90064
378,"$59,889",94901
379,"$59,642",91745
380,"$59,570",95864
381,"$59,390",90746
382,"$59,347",90712
383,"$59,328",90603
384,"$59,313",93022
385,"$59,189",92821
386,"$59,164",92124
387,"$59,158",91724
388,"$59,151",95843
389,"$59,099",93004
390,"$59,042",92532
391,"$59,006",94060
392,"$58,961",95050
393,"$58,874",93035
394,"$58,807",95111
395,"$58,779",91006
396,"$58,750",95714
397,"$58,656",92587
398,"$58,606",95661
399,"$58,559",95023
400,"$58,519",93962
401,"$58,490",95065
402,"$58,472",95233
403,"$58,429",92591
404,"$58,421",95452
405,"$58,333",94963
406,"$58,304",95002
407,"$58,147",92082
408,"$58,127",90503
409,"$58,113",96161
410,"$58,075",95368
411,"$58,059",92003
412,"$58,000",96140
413,"$57,992",95703
414,"$57,976",94546
415,"$57,929",92626
416,"$57,922",92377
417,"$57,917",95429
418,"$57,861",90620
419,"$57,780",93105
420,"$57,746",90211
421,"$57,629",94112
422,"$57,626",95117
423,"$57,614",93669
424,"$57,601",94519
425,"$57,528",92647
426,"$57,461",92120
427,"$57,329",95831
428,"$57,303",92313
429,"$57,214",94579
430,"$57,153",94706
431,"$57,110",92672
432,"$57,045",94923
433,"$57,034",95073
434,"$56,973",94545
435,"$56,945",95405
436,"$56,934",94952
437,"$56,927",93711
438,"$56,905",94530
439,"$56,898",93109
440,"$56,811",95687
441,"$56,750",95017
442,"$56,657",91775
